type,start_date,end_date,duration_blocks,basin
Dry,2001-03-01,2005-03-01,9,Amazon Basin
Wet,2005-09-01,2006-03-01,2,Amazon Basin
Dry,2006-09-01,2007-03-01,2,Amazon Basin
Wet,2007-09-01,2007-09-01,1,Amazon Basin
Dry,2008-03-01,2008-03-01,1,Amazon Basin
Wet,2008-09-01,2009-03-01,2,Amazon Basin
Dry,2009-09-01,2010-03-01,2,Amazon Basin
Wet,2010-09-01,2014-09-01,9,Amazon Basin
Dry,2015-03-01,2016-03-01,3,Amazon Basin
Wet,2016-09-01,2019-03-01,6,Amazon Basin
Dry,2019-09-01,2020-09-01,3,Amazon Basin
Wet,2021-03-01,2021-03-01,1,Amazon Basin
Dry,2021-09-01,2021-09-01,1,Amazon Basin
Wet,2022-03-01,2022-03-01,1,Amazon Basin
Dry,2022-09-01,2024-09-01,5,Amazon Basin
Wet,2001-03-01,2001-03-01,1,California
Dry,2001-09-01,2002-09-01,3,California
Wet,2003-03-01,2003-09-01,2,California
Dry,2004-03-01,2004-03-01,1,California
Wet,2004-09-01,2006-03-01,4,California
Dry,2006-09-01,2007-03-01,2,California
Wet,2007-09-01,2007-09-01,1,California
Dry,2008-03-01,2009-09-01,4,California
Wet,2010-03-01,2011-03-01,3,California
Dry,2011-09-01,2015-09-01,9,California
Wet,2016-03-01,2017-03-01,3,California
Dry,2017-09-01,2018-03-01,2,California
Wet,2018-09-01,2019-03-01,2,California
Dry,2019-09-01,2022-03-01,6,California
Wet,2022-09-01,2023-03-01,2,California
Dry,2023-09-01,2024-09-01,3,California
Wet,2001-03-01,2001-03-01,1,Colorado
Dry,2001-09-01,2004-03-01,6,Colorado
Wet,2004-09-01,2005-03-01,2,Colorado
Dry,2005-09-01,2005-09-01,1,Colorado
Wet,2006-03-01,2006-09-01,2,Colorado
Dry,2007-03-01,2007-03-01,1,Colorado
Wet,2007-09-01,2008-03-01,2,Colorado
Dry,2008-09-01,2009-09-01,3,Colorado
Wet,2010-03-01,2011-03-01,3,Colorado
Dry,2011-09-01,2013-03-01,4,Colorado
Wet,2013-09-01,2014-09-01,3,Colorado
Dry,2015-03-01,2015-03-01,1,Colorado
Wet,2015-09-01,2015-09-01,1,Colorado
Dry,2016-03-01,2016-03-01,1,Colorado
Wet,2016-09-01,2017-03-01,2,Colorado
Dry,2017-09-01,2018-03-01,2,Colorado
Wet,2018-09-01,2019-03-01,2,Colorado
Dry,2019-09-01,2022-03-01,6,Colorado
Wet,2022-09-01,2023-03-01,2,Colorado
Dry,2023-09-01,2023-09-01,1,Colorado
Wet,2024-03-01,2024-03-01,1,Colorado
Dry,2024-09-01,2024-09-01,1,Colorado
Dry,2001-03-01,2002-03-01,3,Congo
Wet,2002-09-01,2002-09-01,1,Congo
Dry,2003-03-01,2004-03-01,3,Congo
Wet,2004-09-01,2004-09-01,1,Congo
Dry,2005-03-01,2007-03-01,5,Congo
Wet,2007-09-01,2007-09-01,1,Congo
Dry,2008-03-01,2009-09-01,4,Congo
Wet,2010-03-01,2011-09-01,4,Congo
Dry,2012-03-01,2012-03-01,1,Congo
Wet,2012-09-01,2013-03-01,2,Congo
Dry,2013-09-01,2014-03-01,2,Congo
Wet,2014-09-01,2014-09-01,1,Congo
Dry,2015-03-01,2015-09-01,2,Congo
Wet,2016-03-01,2016-03-01,1,Congo
Dry,2016-09-01,2016-09-01,1,Congo
Wet,2017-03-01,2018-03-01,3,Congo
Dry,2018-09-01,2018-09-01,1,Congo
Wet,2019-03-01,2019-03-01,1,Congo
Dry,2019-09-01,2019-09-01,1,Congo
Wet,2020-03-01,2020-03-01,1,Congo
Dry,2020-09-01,2020-09-01,1,Congo
Wet,2021-03-01,2021-03-01,1,Congo
Dry,2021-09-01,2021-09-01,1,Congo
Wet,2022-03-01,2023-03-01,3,Congo
Dry,2023-09-01,2023-09-01,1,Congo
Wet,2024-03-01,2024-03-01,1,Congo
Dry,2024-09-01,2024-09-01,1,Congo
Wet,2001-03-01,2001-03-01,1,Danube
Dry,2001-09-01,2002-03-01,2,Danube
Wet,2002-09-01,2002-09-01,1,Danube
Dry,2003-03-01,2003-03-01,1,Danube
Wet,2003-09-01,2004-03-01,2,Danube
Dry,2004-09-01,2004-09-01,1,Danube
Wet,2005-03-01,2006-03-01,3,Danube
Dry,2006-09-01,2007-03-01,2,Danube
Wet,2007-09-01,2007-09-01,1,Danube
Dry,2008-03-01,2008-03-01,1,Danube
Wet,2008-09-01,2008-09-01,1,Danube
Dry,2009-03-01,2009-03-01,1,Danube
Wet,2009-09-01,2011-03-01,4,Danube
Dry,2011-09-01,2011-09-01,1,Danube
Wet,2012-03-01,2013-03-01,3,Danube
Dry,2013-09-01,2014-03-01,2,Danube
Wet,2014-09-01,2014-09-01,1,Danube
Dry,2015-03-01,2015-03-01,1,Danube
Wet,2015-09-01,2015-09-01,1,Danube
Dry,2016-03-01,2016-03-01,1,Danube
Wet,2016-09-01,2016-09-01,1,Danube
Dry,2017-03-01,2017-09-01,2,Danube
Wet,2018-03-01,2018-03-01,1,Danube
Dry,2018-09-01,2020-03-01,4,Danube
Wet,2020-09-01,2020-09-01,1,Danube
Dry,2021-03-01,2024-09-01,8,Danube
Dry,2001-03-01,2001-03-01,1,Ganges / Brahmaputra Basin
Wet,2001-09-01,2002-03-01,2,Ganges / Brahmaputra Basin
