type,start_date,end_date,duration_blocks,basin,variable
Wet,2002-01-01 00:00:00,2002-01-01 00:00:00,1,Amazon Basin,ET
Dry,2002-07-01 00:00:00,2002-07-01 00:00:00,1,Amazon Basin,ET
Wet,2003-01-01 00:00:00,2007-01-01 00:00:00,9,Amazon Basin,ET
Dry,2007-07-01 00:00:00,2009-01-01 00:00:00,4,Amazon Basin,ET
Wet,2009-07-01 00:00:00,2010-01-01 00:00:00,2,Amazon Basin,ET
Dry,2010-07-01 00:00:00,2014-01-01 00:00:00,8,Amazon Basin,ET
Wet,2014-07-01 00:00:00,2014-07-01 00:00:00,1,Amazon Basin,ET
Dry,2015-01-01 00:00:00,2015-01-01 00:00:00,1,Amazon Basin,ET
Wet,2015-07-01 00:00:00,2016-07-01 00:00:00,3,Amazon Basin,ET
Dry,2017-01-01 00:00:00,2017-01-01 00:00:00,1,Amazon Basin,ET
Wet,2017-07-01 00:00:00,2019-01-01 00:00:00,4,Amazon Basin,ET
Dry,2019-07-01 00:00:00,2019-07-01 00:00:00,1,Amazon Basin,ET
Wet,2020-01-01 00:00:00,2020-01-01 00:00:00,1,Amazon Basin,ET
Dry,2020-07-01 00:00:00,2022-07-01 00:00:00,5,Amazon Basin,ET
Wet,2023-01-01 00:00:00,2024-01-01 00:00:00,3,Amazon Basin,ET
Dry,2024-07-01 00:00:00,2024-07-01 00:00:00,1,Amazon Basin,ET
Dry,1998-01-01 00:00:00,1998-01-01 00:00:00,1,Amazon Basin,Precip
Wet,1998-07-01 00:00:00,1999-01-01 00:00:00,2,Amazon Basin,Precip
Dry,1999-07-01 00:00:00,1999-07-01 00:00:00,1,Amazon Basin,Precip
Wet,2000-01-01 00:00:00,2001-07-01 00:00:00,4,Amazon Basin,Precip
Dry,2002-01-01 00:00:00,2002-01-01 00:00:00,1,Amazon Basin,Precip
Wet,2002-07-01 00:00:00,2004-07-01 00:00:00,5,Amazon Basin,Precip
Dry,2005-01-01 00:00:00,2005-01-01 00:00:00,1,Amazon Basin,Precip
Wet,2005-07-01 00:00:00,2006-07-01 00:00:00,3,Amazon Basin,Precip
Dry,2007-01-01 00:00:00,2007-01-01 00:00:00,1,Amazon Basin,Precip
Wet,2007-07-01 00:00:00,2009-01-01 00:00:00,4,Amazon Basin,Precip
Dry,2009-07-01 00:00:00,2010-07-01 00:00:00,3,Amazon Basin,Precip
Wet,2011-01-01 00:00:00,2012-01-01 00:00:00,3,Amazon Basin,Precip
Dry,2012-07-01 00:00:00,2012-07-01 00:00:00,1,Amazon Basin,Precip
Wet,2013-01-01 00:00:00,2015-01-01 00:00:00,5,Amazon Basin,Precip
Dry,2015-07-01 00:00:00,2016-01-01 00:00:00,2,Amazon Basin,Precip
Wet,2016-07-01 00:00:00,2019-07-01 00:00:00,7,Amazon Basin,Precip
Dry,2020-01-01 00:00:00,2020-07-01 00:00:00,2,Amazon Basin,Precip
Wet,2021-01-01 00:00:00,2021-07-01 00:00:00,2,Amazon Basin,Precip
Dry,2022-01-01 00:00:00,2025-01-01 00:00:00,7,Amazon Basin,Precip
Dry,2002-01-01 00:00:00,2002-07-01 00:00:00,2,California,ET
Wet,2003-01-01 00:00:00,2003-07-01 00:00:00,2,California,ET
Dry,2004-01-01 00:00:00,2004-01-01 00:00:00,1,California,ET
Wet,2004-07-01 00:00:00,2006-07-01 00:00:00,5,California,ET
Dry,2007-01-01 00:00:00,2007-01-01 00:00:00,1,California,ET
Wet,2007-07-01 00:00:00,2007-07-01 00:00:00,1,California,ET
Dry,2008-01-01 00:00:00,2009-07-01 00:00:00,4,California,ET
Wet,2010-01-01 00:00:00,2011-07-01 00:00:00,4,California,ET
Dry,2012-01-01 00:00:00,2012-01-01 00:00:00,1,California,ET
Wet,2012-07-01 00:00:00,2012-07-01 00:00:00,1,California,ET
Dry,2013-01-01 00:00:00,2013-01-01 00:00:00,1,California,ET
Wet,2013-07-01 00:00:00,2013-07-01 00:00:00,1,California,ET
Dry,2014-01-01 00:00:00,2015-01-01 00:00:00,3,California,ET
Wet,2015-07-01 00:00:00,2016-01-01 00:00:00,2,California,ET
Dry,2016-07-01 00:00:00,2016-07-01 00:00:00,1,California,ET
Wet,2017-01-01 00:00:00,2017-01-01 00:00:00,1,California,ET
Dry,2017-07-01 00:00:00,2018-07-01 00:00:00,3,California,ET
Wet,2019-01-01 00:00:00,2020-01-01 00:00:00,3,California,ET
Dry,2020-07-01 00:00:00,2022-07-01 00:00:00,5,California,ET
Wet,2023-01-01 00:00:00,2024-01-01 00:00:00,3,California,ET
Dry,2024-07-01 00:00:00,2024-07-01 00:00:00,1,California,ET
Wet,1998-01-01 00:00:00,1998-01-01 00:00:00,1,California,Precip
Dry,1998-07-01 00:00:00,1999-07-01 00:00:00,3,California,Precip
Wet,2000-01-01 00:00:00,2000-01-01 00:00:00,1,California,Precip
Dry,2000-07-01 00:00:00,2001-01-01 00:00:00,2,California,Precip
Wet,2001-07-01 00:00:00,2001-07-01 00:00:00,1,California,Precip
Dry,2002-01-01 00:00:00,2002-01-01 00:00:00,1,California,Precip
Wet,2002-07-01 00:00:00,2002-07-01 00:00:00,1,California,Precip
Dry,2003-01-01 00:00:00,2003-01-01 00:00:00,1,California,Precip
Wet,2003-07-01 00:00:00,2003-07-01 00:00:00,1,California,Precip
Dry,2004-01-01 00:00:00,2004-01-01 00:00:00,1,California,Precip
Wet,2004-07-01 00:00:00,2006-01-01 00:00:00,4,California,Precip
Dry,2006-07-01 00:00:00,2009-07-01 00:00:00,7,California,Precip
Wet,2010-01-01 00:00:00,2011-01-01 00:00:00,3,California,Precip
Dry,2011-07-01 00:00:00,2012-01-01 00:00:00,2,California,Precip
Wet,2012-07-01 00:00:00,2012-07-01 00:00:00,1,California,Precip
Dry,2013-01-01 00:00:00,2014-01-01 00:00:00,3,California,Precip
Wet,2014-07-01 00:00:00,2014-07-01 00:00:00,1,California,Precip
Dry,2015-01-01 00:00:00,2015-01-01 00:00:00,1,California,Precip
Wet,2015-07-01 00:00:00,2017-01-01 00:00:00,4,California,Precip
Dry,2017-07-01 00:00:00,2018-07-01 00:00:00,3,California,Precip
Wet,2019-01-01 00:00:00,2019-01-01 00:00:00,1,California,Precip
Dry,2019-07-01 00:00:00,2021-01-01 00:00:00,4,California,Precip
Wet,2021-07-01 00:00:00,2021-07-01 00:00:00,1,California,Precip
Dry,2022-01-01 00:00:00,2022-01-01 00:00:00,1,California,Precip
Wet,2022-07-01 00:00:00,2023-01-01 00:00:00,2,California,Precip
Dry,2023-07-01 00:00:00,2023-07-01 00:00:00,1,California,Precip
Wet,2024-01-01 00:00:00,2024-07-01 00:00:00,2,California,Precip
Dry,2025-01-01 00:00:00,2025-01-01 00:00:00,1,California,Precip
Dry,2002-01-01 00:00:00,2004-01-01 00:00:00,5,Colorado,ET
Wet,2004-07-01 00:00:00,2005-01-01 00:00:00,2,Colorado,ET
Dry,2005-07-01 00:00:00,2006-01-01 00:00:00,2,Colorado,ET
Wet,2006-07-01 00:00:00,2006-07-01 00:00:00,1,Colorado,ET
Dry,2007-01-01 00:00:00,2008-07-01 00:00:00,4,Colorado,ET
Wet,2009-01-01 00:00:00,2009-01-01 00:00:00,1,Colorado,ET
Dry,2009-07-01 00:00:00,2009-07-01 00:00:00,1,Colorado,ET
Wet,2010-01-01 00:00:00,2011-07-01 00:00:00,4,Colorado,ET
Dry,2012-01-01 00:00:00,2013-01-01 00:00:00,3,Colorado,ET
Wet,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Colorado,ET
Dry,2014-01-01 00:00:00,2014-01-01 00:00:00,1,Colorado,ET
Wet,2014-07-01 00:00:00,2017-01-01 00:00:00,6,Colorado,ET
Dry,2017-07-01 00:00:00,2018-01-01 00:00:00,2,Colorado,ET
Wet,2018-07-01 00:00:00,2020-01-01 00:00:00,4,Colorado,ET
Dry,2020-07-01 00:00:00,2021-01-01 00:00:00,2,Colorado,ET
Wet,2021-07-01 00:00:00,2021-07-01 00:00:00,1,Colorado,ET
Dry,2022-01-01 00:00:00,2022-01-01 00:00:00,1,Colorado,ET
Wet,2022-07-01 00:00:00,2024-01-01 00:00:00,4,Colorado,ET
Dry,2024-07-01 00:00:00,2024-07-01 00:00:00,1,Colorado,ET
Wet,1998-01-01 00:00:00,1998-07-01 00:00:00,2,Colorado,Precip
Dry,1999-01-01 00:00:00,2000-01-01 00:00:00,3,Colorado,Precip
Wet,2000-07-01 00:00:00,2001-01-01 00:00:00,2,Colorado,Precip
Dry,2001-07-01 00:00:00,2003-07-01 00:00:00,5,Colorado,Precip
Wet,2004-01-01 00:00:00,2005-01-01 00:00:00,3,Colorado,Precip
Dry,2005-07-01 00:00:00,2006-01-01 00:00:00,2,Colorado,Precip
Wet,2006-07-01 00:00:00,2006-07-01 00:00:00,1,Colorado,Precip
Dry,2007-01-01 00:00:00,2007-01-01 00:00:00,1,Colorado,Precip
Wet,2007-07-01 00:00:00,2007-07-01 00:00:00,1,Colorado,Precip
Dry,2008-01-01 00:00:00,2008-01-01 00:00:00,1,Colorado,Precip
Wet,2008-07-01 00:00:00,2009-01-01 00:00:00,2,Colorado,Precip
Dry,2009-07-01 00:00:00,2009-07-01 00:00:00,1,Colorado,Precip
Wet,2010-01-01 00:00:00,2010-07-01 00:00:00,2,Colorado,Precip
Dry,2011-01-01 00:00:00,2011-01-01 00:00:00,1,Colorado,Precip
Wet,2011-07-01 00:00:00,2011-07-01 00:00:00,1,Colorado,Precip
Dry,2012-01-01 00:00:00,2013-01-01 00:00:00,3,Colorado,Precip
Wet,2013-07-01 00:00:00,2013-07-01 00:00:00,1,Colorado,Precip
Dry,2014-01-01 00:00:00,2014-01-01 00:00:00,1,Colorado,Precip
Wet,2014-07-01 00:00:00,2017-01-01 00:00:00,6,Colorado,Precip
Dry,2017-07-01 00:00:00,2018-01-01 00:00:00,2,Colorado,Precip
Wet,2018-07-01 00:00:00,2019-01-01 00:00:00,2,Colorado,Precip
