basin,year,ET_annual_anomaly_mm
Amazon Basin,2002,7.303937025870667
Amazon Basin,2003,34.9674799516788
Amazon Basin,2004,19.033406903926803
Amazon Basin,2005,25.500831638077017
Amazon Basin,2006,39.08882719168021
Amazon Basin,2007,18.801739059866236
Amazon Basin,2008,-12.819363714735005
Amazon Basin,2009,-10.509162772369223
Amazon Basin,2010,-29.22126588393951
Amazon Basin,2011,-46.60178480192813
Amazon Basin,2012,-30.638982324681066
Amazon Basin,2013,-28.01286487779197
Amazon Basin,2014,-13.750264730206283
Amazon Basin,2015,16.482901837414417
Amazon Basin,2016,13.711127566470779
Amazon Basin,2017,-6.803144741462617
Amazon Basin,2018,23.949262554865697
Amazon Basin,2019,-4.650084913553812
Amazon Basin,2020,-2.689137779656633
Amazon Basin,2021,-31.02292877804574
Amazon Basin,2022,-12.399568083705574
Amazon Basin,2023,21.485469026930787
Amazon Basin,2024,8.793570645293485
California,2002,-16.570646472418225
California,2003,14.479638080587241
California,2004,13.7431617845324
California,2005,51.82045668484177
California,2006,17.766187995101436
California,2007,-16.398154815251175
California,2008,-18.61643881557596
California,2009,-10.03867075872639
California,2010,33.62563321918279
California,2011,38.868389640983885
California,2012,-9.508405789322842
California,2013,-12.969405689973415
California,2014,-29.87211202445117
California,2015,-10.876265493051552
California,2016,5.163930336038167
California,2017,2.283241039411145
California,2018,-19.958919292937825
California,2019,34.515298078044516
California,2020,-11.865346703680894
California,2021,-48.29648906468445
California,2022,-35.30710460159864
California,2023,34.9258822562889
California,2024,-6.913859593339502
Colorado,2002,-44.94570187909976
Colorado,2003,-14.133353893078684
Colorado,2004,-3.274685773671349
Colorado,2005,17.802139923218355
Colorado,2006,-15.743459709496449
Colorado,2007,-20.81842178671462
Colorado,2008,-8.813214408154542
Colorado,2009,-11.726055755281294
Colorado,2010,18.336268045178084
Colorado,2011,6.611258193501749
Colorado,2012,-31.63100744105705
Colorado,2013,2.7151483431713004
Colorado,2014,-2.3813609324277856
Colorado,2015,21.84597925101056
Colorado,2016,11.34338873008805
Colorado,2017,4.370433782048433
Colorado,2018,-16.026203831441926
Colorado,2019,37.185792376550694
Colorado,2020,-5.4262209199617
Colorado,2021,0.7820176928076243
Colorado,2022,16.5624157549897
Colorado,2023,30.455077750525057
Colorado,2024,6.90976648729573
Congo,2002,-56.111269680888014
Congo,2003,-36.95780112665277
Congo,2004,-52.93944792994196
Congo,2005,-46.07605140688209
Congo,2006,-27.634934632213003
Congo,2007,-28.91390236557011
Congo,2008,-53.66235945388216
Congo,2009,-11.157583556975666
Congo,2010,16.49841801540444
Congo,2011,-11.699926314780583
Congo,2012,-24.647747594634126
Congo,2013,4.609007240016339
Congo,2014,25.02436163721859
Congo,2015,25.47954367577364
Congo,2016,23.105521952070887
Congo,2017,28.89214179804459
Congo,2018,53.17880196763204
Congo,2019,39.58846768415101
Congo,2020,43.68489566473947
Congo,2021,36.1092835356727
Congo,2022,3.4245445260742713
Congo,2023,46.29119567307032
Congo,2024,3.9148406925513513
Danube,2002,-18.423931745434345
Danube,2003,-35.0439092798921
Danube,2004,-3.627941373277867
Danube,2005,9.886961011322894
Danube,2006,12.771381543772595
Danube,2007,-34.902648959312515
Danube,2008,5.757222797961271
Danube,2009,-4.045457619344882
Danube,2010,18.75817535899099
Danube,2011,10.308194907994908
Danube,2012,-23.624456145054914
Danube,2013,2.2949994430278746
Danube,2014,7.461146411374802
Danube,2015,-1.9571414209922136
Danube,2016,23.419007525497683
Danube,2017,2.0766088125602646
Danube,2018,36.09714078597377
Danube,2019,14.147008299676212
Danube,2020,0.10675261963588056
Danube,2021,2.4762997709831076
Danube,2022,-23.2831512528906
Danube,2023,10.470959417121428
Danube,2024,-11.123220909693567
Ganges / Brahmaputra Basin,2002,-77.06527925033681
Ganges / Brahmaputra Basin,2003,-7.84606018831305
Ganges / Brahmaputra Basin,2004,-38.18829660094637
Ganges / Brahmaputra Basin,2005,-21.11902384311789
Ganges / Brahmaputra Basin,2006,-23.201442572366744
Ganges / Brahmaputra Basin,2007,-22.955334513409742
Ganges / Brahmaputra Basin,2008,16.528512593889353
Ganges / Brahmaputra Basin,2009,-58.22099173098038
Ganges / Brahmaputra Basin,2010,-23.694416669806195
Ganges / Brahmaputra Basin,2011,29.956517343514555
Ganges / Brahmaputra Basin,2012,-58.78365207451691
Ganges / Brahmaputra Basin,2013,0.8722056257062469
Ganges / Brahmaputra Basin,2014,-33.00816007318185
Ganges / Brahmaputra Basin,2015,-57.6130493600068
