basin,year,month,ET_mm
Amazon Basin,2002,1,127.77744668376874
Amazon Basin,2002,2,124.64453903631
Amazon Basin,2002,3,123.93345327212997
Amazon Basin,2002,4,89.4546621333445
Amazon Basin,2002,5,113.21530342651434
Amazon Basin,2002,6,111.39612841207058
Amazon Basin,2002,7,109.21417191202912
Amazon Basin,2002,8,104.68818445839958
Amazon Basin,2002,9,121.59601834477844
Amazon Basin,2002,10,90.5843245933172
Amazon Basin,2002,11,128.66873713741626
Amazon Basin,2002,12,112.8182977200027
Amazon Basin,2003,1,128.8925232349247
Amazon Basin,2003,2,124.73605869725829
Amazon Basin,2003,3,121.65685250473848
Amazon Basin,2003,4,89.87103685360071
Amazon Basin,2003,5,114.205631561793
Amazon Basin,2003,6,108.843141887931
Amazon Basin,2003,7,118.31975901470408
Amazon Basin,2003,8,118.6877233412743
Amazon Basin,2003,9,126.08633513332173
Amazon Basin,2003,10,94.93070738269058
Amazon Basin,2003,11,125.8188375060674
Amazon Basin,2003,12,113.60620293758528
Amazon Basin,2004,1,121.6542094936251
Amazon Basin,2004,2,126.46143682533634
Amazon Basin,2004,3,122.33262748966791
Amazon Basin,2004,4,115.34598227275175
Amazon Basin,2004,5,83.86530121167675
Amazon Basin,2004,6,113.70847641562438
Amazon Basin,2004,7,115.6925408557754
Amazon Basin,2004,8,122.23637874238436
Amazon Basin,2004,9,115.72525679017424
Amazon Basin,2004,10,126.62717614805716
Amazon Basin,2004,11,92.88426078836306
Amazon Basin,2004,12,113.1870899747011
Amazon Basin,2005,1,124.36672002337684
Amazon Basin,2005,2,123.99430269430562
Amazon Basin,2005,3,122.525022642876
Amazon Basin,2005,4,90.94737586914732
Amazon Basin,2005,5,113.65629617090146
Amazon Basin,2005,6,115.4458124113096
Amazon Basin,2005,7,121.27659655477272
Amazon Basin,2005,8,116.74487514285669
Amazon Basin,2005,9,122.99935263056344
Amazon Basin,2005,10,92.3055406087454
Amazon Basin,2005,11,122.70923134949253
Amazon Basin,2005,12,109.21703564394016
Amazon Basin,2006,1,123.61416554689268
Amazon Basin,2006,2,124.30917044801694
Amazon Basin,2006,3,122.06378312295207
Amazon Basin,2006,4,88.51380523594015
Amazon Basin,2006,5,110.06703169647083
Amazon Basin,2006,6,115.14053579392942
Amazon Basin,2006,7,118.85445826746462
Amazon Basin,2006,8,123.76178892775356
Amazon Basin,2006,9,127.89230282596787
Amazon Basin,2006,10,94.90484708739932
Amazon Basin,2006,11,126.81573443768228
Amazon Basin,2006,12,113.83853390542122
Amazon Basin,2007,1,129.67996463716042
Amazon Basin,2007,2,127.25043334405365
Amazon Basin,2007,3,124.14559974544386
Amazon Basin,2007,4,89.37473883641039
Amazon Basin,2007,5,113.53403308482837
Amazon Basin,2007,6,118.47251442959794
Amazon Basin,2007,7,115.87716052869916
Amazon Basin,2007,8,118.88955680438887
Amazon Basin,2007,9,114.06467761374164
Amazon Basin,2007,10,88.34724732471834
Amazon Basin,2007,11,121.7099384951424
Amazon Basin,2007,12,108.14320431989196
Amazon Basin,2008,1,119.23977625064278
Amazon Basin,2008,2,119.71809408014256
Amazon Basin,2008,3,118.43609484326883
Amazon Basin,2008,4,115.05639867325922
Amazon Basin,2008,5,80.37306322715337
Amazon Basin,2008,6,111.92722700899732
Amazon Basin,2008,7,116.822345510043
Amazon Basin,2008,8,118.32971045187466
Amazon Basin,2008,9,120.05552553806564
