basin,year,month,ET_anomaly_mm
Amazon Basin,2002,1,6.160571732830931
Amazon Basin,2002,2,3.6667533946147017
Amazon Basin,2002,3,5.370084007814825
Amazon Basin,2002,4,-4.805485592247791
Amazon Basin,2002,5,9.33035722013723
Amazon Basin,2002,6,-0.8224642349402131
Amazon Basin,2002,7,-8.42689367715991
Amazon Basin,2002,8,-14.862430375723946
Amazon Basin,2002,9,1.058081488298285
Amazon Basin,2002,10,-8.364346949894426
Amazon Basin,2002,11,15.714482695530563
Amazon Basin,2002,12,3.285227316610417
Amazon Basin,2003,1,7.275648283986897
Amazon Basin,2003,2,3.758273055562995
Amazon Basin,2003,3,3.093483240423339
Amazon Basin,2003,4,-4.389110871991576
Amazon Basin,2003,5,10.32068535541589
Amazon Basin,2003,6,-3.375450759079797
Amazon Basin,2003,7,0.6786934255150499
Amazon Basin,2003,8,-0.8628914928492151
Amazon Basin,2003,9,5.548398276841567
Amazon Basin,2003,10,-4.017964160521046
Amazon Basin,2003,11,12.864583064181701
Amazon Basin,2003,12,4.073132534192993
Amazon Basin,2004,1,0.037334542687290195
Amazon Basin,2004,2,5.483651183641044
Amazon Basin,2004,3,3.7692582253527718
Amazon Basin,2004,4,21.085834547159465
Amazon Basin,2004,5,-20.019644994700357
Amazon Basin,2004,6,1.4898837686135806
Amazon Basin,2004,7,-1.9485247334136204
Amazon Basin,2004,8,2.6857639082608387
Amazon Basin,2004,9,-4.812680066305916
Amazon Basin,2004,10,27.67850460484553
Amazon Basin,2004,11,-20.06999365352263
Amazon Basin,2004,12,3.654019571308808
Amazon Basin,2005,1,2.7498450724390295
Amazon Basin,2005,2,3.0165170526103253
Amazon Basin,2005,3,3.961653378560854
Amazon Basin,2005,4,-3.312771856444968
Amazon Basin,2005,5,9.771349964524347
Amazon Basin,2005,6,3.227219764298809
Amazon Basin,2005,7,3.6355309655836976
Amazon Basin,2005,8,-2.8057396912668366
Amazon Basin,2005,9,2.461415774083278
Amazon Basin,2005,10,-6.643130934466228
Amazon Basin,2005,11,9.754976907606832
Amazon Basin,2005,12,-0.31603475945212267
Amazon Basin,2006,1,1.9972905959548655
Amazon Basin,2006,2,3.331384806321651
Amazon Basin,2006,3,3.500413858636932
Amazon Basin,2006,4,-5.746342489652136
Amazon Basin,2006,5,6.182085490093726
Amazon Basin,2006,6,2.921943146918622
Amazon Basin,2006,7,1.2133926782755964
Amazon Basin,2006,8,4.211174093630035
Amazon Basin,2006,9,7.354365969487716
Amazon Basin,2006,10,-4.043824455812313
Amazon Basin,2006,11,13.861479995796586
Amazon Basin,2006,12,4.305463502028928
Amazon Basin,2007,1,8.063089686222611
Amazon Basin,2007,2,6.272647702358356
Amazon Basin,2007,3,5.582230481128718
Amazon Basin,2007,4,-4.885408889181903
Amazon Basin,2007,5,9.649086878451257
Amazon Basin,2007,6,6.253921782587142
Amazon Basin,2007,7,-1.7639050604898614
Amazon Basin,2007,8,-0.6610580297346473
Amazon Basin,2007,9,-6.473259242738521
Amazon Basin,2007,10,-10.601424218493293
Amazon Basin,2007,11,8.7556840532567
Amazon Basin,2007,12,-1.3898660835003227
Amazon Basin,2008,1,-2.3770987002950363
Amazon Basin,2008,2,-1.259691561552728
Amazon Basin,2008,3,-0.12727442104630882
Amazon Basin,2008,4,20.796250947666934
Amazon Basin,2008,5,-23.511882979223742
Amazon Basin,2008,6,-0.2913656380134739
Amazon Basin,2008,7,-0.8187200791460327
Amazon Basin,2008,8,-1.220904382248861
Amazon Basin,2008,9,-0.48241131841452045
Amazon Basin,2008,10,23.524395758189414
Amazon Basin,2008,11,-25.491783767637756
Amazon Basin,2008,12,-1.558877573012893
Amazon Basin,2009,1,-7.017543147049253
Amazon Basin,2009,2,-3.1596116259498075
Amazon Basin,2009,3,-4.951153143819425
Amazon Basin,2009,4,-10.546785321312854
Amazon Basin,2009,5,2.7116355482907153
Amazon Basin,2009,6,-7.989109892012749
Amazon Basin,2009,7,2.834515333384047
Amazon Basin,2009,8,6.344311793762614
Amazon Basin,2009,9,12.437894245184182
Amazon Basin,2009,10,-5.651091231109135
Amazon Basin,2009,11,6.781504323823668
Amazon Basin,2009,12,-2.303729655561227
Amazon Basin,2010,1,3.2557461590203474
Amazon Basin,2010,2,0.3664008588732628
Amazon Basin,2010,3,2.191568402354534
Amazon Basin,2010,4,-5.229547619679735
Amazon Basin,2010,5,5.676903921624529
Amazon Basin,2010,6,0.9422976937721472
Amazon Basin,2010,7,-5.097131792378448
Amazon Basin,2010,8,-4.088547117066867
Amazon Basin,2010,9,-9.007433358526754
Amazon Basin,2010,10,-12.4480113773011
Amazon Basin,2010,11,1.270970711622624
Amazon Basin,2010,12,-7.0544823662540495
Amazon Basin,2011,1,-9.206654783261655
Amazon Basin,2011,2,-7.546319368302292
Amazon Basin,2011,3,-7.392965442456344
Amazon Basin,2011,4,-11.10202808654553
Amazon Basin,2011,5,5.926334838111728
Amazon Basin,2011,6,-2.754265219337796
Amazon Basin,2011,7,-1.9031157247992212
Amazon Basin,2011,8,2.055726725887638
Amazon Basin,2011,9,-3.7573972019181383
Amazon Basin,2011,10,-13.282430581379984
Amazon Basin,2011,11,5.416809595580432
Amazon Basin,2011,12,-3.05547955350697
Amazon Basin,2012,1,-9.577766155308652
Amazon Basin,2012,2,-6.829807890089029
Amazon Basin,2012,3,-2.333323043900222
Amazon Basin,2012,4,14.490248196785927
Amazon Basin,2012,5,-23.13930497494661
Amazon Basin,2012,6,-1.7616041990034716
Amazon Basin,2012,7,0.7382392310055792
Amazon Basin,2012,8,6.128052036801364
Amazon Basin,2012,9,-0.3424825632681916
Amazon Basin,2012,10,19.501437316405244
Amazon Basin,2012,11,-26.57887413388262
Amazon Basin,2012,12,-0.9337961452803825
Amazon Basin,2013,1,-1.2544184852999507
Amazon Basin,2013,2,-4.4366969358857915
Amazon Basin,2013,3,-3.5095937084062996
