type,start_date,end_date,duration_blocks,basin
Wet,2002-01-01,2002-04-01,2,Amazon Basin
Dry,2002-07-01,2002-07-01,1,Amazon Basin
Wet,2002-10-01,2004-04-01,7,Amazon Basin
Dry,2004-07-01,2004-07-01,1,Amazon Basin
Wet,2004-10-01,2007-04-01,11,Amazon Basin
Dry,2007-07-01,2009-04-01,8,Amazon Basin
Wet,2009-07-01,2009-07-01,1,Amazon Basin
Dry,2009-10-01,2009-10-01,1,Amazon Basin
Wet,2010-01-01,2010-04-01,2,Amazon Basin
Dry,2010-07-01,2012-04-01,8,Amazon Basin
Wet,2012-07-01,2012-07-01,1,Amazon Basin
Dry,2012-10-01,2013-04-01,3,Amazon Basin
Wet,2013-07-01,2013-07-01,1,Amazon Basin
Dry,2013-10-01,2014-04-01,3,Amazon Basin
Wet,2014-07-01,2014-07-01,1,Amazon Basin
Dry,2014-10-01,2015-04-01,3,Amazon Basin
Wet,2015-07-01,2016-04-01,4,Amazon Basin
Dry,2016-07-01,2016-07-01,1,Amazon Basin
Wet,2016-10-01,2016-10-01,1,Amazon Basin
Dry,2017-01-01,2017-01-01,1,Amazon Basin
Wet,2017-04-01,2019-04-01,9,Amazon Basin
Dry,2019-07-01,2019-10-01,2,Amazon Basin
Wet,2020-01-01,2020-01-01,1,Amazon Basin
Dry,2020-04-01,2022-10-01,11,Amazon Basin
Wet,2023-01-01,2024-04-01,6,Amazon Basin
Dry,2024-07-01,2024-07-01,1,Amazon Basin
Wet,2024-10-01,2024-10-01,1,Amazon Basin
Dry,2002-01-01,2002-10-01,4,California
Wet,2003-01-01,2004-01-01,5,California
Dry,2004-04-01,2004-04-01,1,California
Wet,2004-07-01,2005-10-01,6,California
Dry,2006-01-01,2006-01-01,1,California
Wet,2006-04-01,2006-07-01,2,California
Dry,2006-10-01,2007-04-01,3,California
Wet,2007-07-01,2007-07-01,1,California
Dry,2007-10-01,2009-07-01,8,California
Wet,2009-10-01,2011-10-01,9,California
Dry,2012-01-01,2012-07-01,3,California
Wet,2012-10-01,2012-10-01,1,California
Dry,2013-01-01,2013-04-01,2,California
Wet,2013-07-01,2013-07-01,1,California
Dry,2013-10-01,2014-07-01,4,California
Wet,2014-10-01,2014-10-01,1,California
Dry,2015-01-01,2015-04-01,2,California
Wet,2015-07-01,2015-07-01,1,California
Dry,2015-10-01,2015-10-01,1,California
Wet,2016-01-01,2016-04-01,2,California
Dry,2016-07-01,2016-07-01,1,California
Wet,2016-10-01,2017-04-01,3,California
Dry,2017-07-01,2018-01-01,3,California
Wet,2018-04-01,2018-04-01,1,California
Dry,2018-07-01,2018-10-01,2,California
Wet,2019-01-01,2019-07-01,3,California
Dry,2019-10-01,2019-10-01,1,California
Wet,2020-01-01,2020-04-01,2,California
Dry,2020-07-01,2021-07-01,5,California
Wet,2021-10-01,2021-10-01,1,California
Dry,2022-01-01,2022-10-01,4,California
Wet,2023-01-01,2023-07-01,3,California
Dry,2023-10-01,2023-10-01,1,California
Wet,2024-01-01,2024-04-01,2,California
Dry,2024-07-01,2024-10-01,2,California
Dry,2002-01-01,2002-07-01,3,Colorado
Wet,2002-10-01,2003-01-01,2,Colorado
Dry,2003-04-01,2004-07-01,6,Colorado
Wet,2004-10-01,2005-04-01,3,Colorado
Dry,2005-07-01,2006-07-01,5,Colorado
Wet,2006-10-01,2006-10-01,1,Colorado
Dry,2007-01-01,2009-01-01,9,Colorado
Wet,2009-04-01,2009-04-01,1,Colorado
Dry,2009-07-01,2009-10-01,2,Colorado
Wet,2010-01-01,2010-10-01,4,Colorado
Dry,2011-01-01,2011-01-01,1,Colorado
Wet,2011-04-01,2011-10-01,3,Colorado
Dry,2012-01-01,2013-04-01,6,Colorado
Wet,2013-07-01,2013-10-01,2,Colorado
Dry,2014-01-01,2014-04-01,2,Colorado
Wet,2014-07-01,2014-10-01,2,Colorado
Dry,2015-01-01,2015-01-01,1,Colorado
Wet,2015-04-01,2015-10-01,3,Colorado
Dry,2016-01-01,2016-01-01,1,Colorado
Wet,2016-04-01,2017-07-01,6,Colorado
Dry,2017-10-01,2018-07-01,4,Colorado
Wet,2018-10-01,2020-04-01,7,Colorado
Dry,2020-07-01,2021-04-01,4,Colorado
Wet,2021-07-01,2021-10-01,2,Colorado
Dry,2022-01-01,2022-04-01,2,Colorado
Wet,2022-07-01,2023-07-01,5,Colorado
Dry,2023-10-01,2023-10-01,1,Colorado
Wet,2024-01-01,2024-04-01,2,Colorado
Dry,2024-07-01,2024-10-01,2,Colorado
Dry,2002-01-01,2009-10-01,32,Congo
Wet,2010-01-01,2010-04-01,2,Congo
Dry,2010-07-01,2011-07-01,5,Congo
Wet,2011-10-01,2011-10-01,1,Congo
Dry,2012-01-01,2012-04-01,2,Congo
Wet,2012-07-01,2013-01-01,3,Congo
Dry,2013-04-01,2013-10-01,3,Congo
Wet,2014-01-01,2022-07-01,35,Congo
Dry,2022-10-01,2022-10-01,1,Congo
Wet,2023-01-01,2024-04-01,6,Congo
Dry,2024-07-01,2024-07-01,1,Congo
Wet,2024-10-01,2024-10-01,1,Congo
Dry,2002-01-01,2003-10-01,8,Danube
Wet,2004-01-01,2004-01-01,1,Danube
Dry,2004-04-01,2004-04-01,1,Danube
Wet,2004-07-01,2004-10-01,2,Danube
Dry,2005-01-01,2005-04-01,2,Danube
Wet,2005-07-01,2005-07-01,1,Danube
Dry,2005-10-01,2005-10-01,1,Danube
Wet,2006-01-01,2006-01-01,1,Danube
Dry,2006-04-01,2006-04-01,1,Danube
Wet,2006-07-01,2007-01-01,3,Danube
Dry,2007-04-01,2007-10-01,3,Danube
Wet,2008-01-01,2008-04-01,2,Danube
Dry,2008-07-01,2008-07-01,1,Danube
Wet,2008-10-01,2008-10-01,1,Danube
Dry,2009-01-01,2009-04-01,2,Danube
Wet,2009-07-01,2009-07-01,1,Danube
Dry,2009-10-01,2010-01-01,2,Danube
Wet,2010-04-01,2010-07-01,2,Danube
Dry,2010-10-01,2011-04-01,3,Danube
Wet,2011-07-01,2011-07-01,1,Danube
Dry,2011-10-01,2012-01-01,2,Danube
Wet,2012-04-01,2012-04-01,1,Danube
Dry,2012-07-01,2013-01-01,3,Danube
Wet,2013-04-01,2013-04-01,1,Danube
Dry,2013-07-01,2013-07-01,1,Danube
Wet,2013-10-01,2014-01-01,2,Danube
Dry,2014-04-01,2014-04-01,1,Danube
Wet,2014-07-01,2015-04-01,4,Danube
Dry,2015-07-01,2015-07-01,1,Danube
Wet,2015-10-01,2017-04-01,7,Danube
Dry,2017-07-01,2017-10-01,2,Danube
Wet,2018-01-01,2018-07-01,3,Danube
Dry,2018-10-01,2018-10-01,1,Danube
Wet,2019-01-01,2019-10-01,4,Danube
Dry,2020-01-01,2020-04-01,2,Danube
Wet,2020-07-01,2020-07-01,1,Danube
Dry,2020-10-01,2021-04-01,3,Danube
Wet,2021-07-01,2021-07-01,1,Danube
Dry,2021-10-01,2022-01-01,2,Danube
Wet,2022-04-01,2022-04-01,1,Danube
Dry,2022-07-01,2022-07-01,1,Danube
Wet,2022-10-01,2023-01-01,2,Danube
Dry,2023-04-01,2023-04-01,1,Danube
Wet,2023-07-01,2024-04-01,4,Danube
Dry,2024-07-01,2024-07-01,1,Danube
Wet,2024-10-01,2024-10-01,1,Danube
Dry,2002-01-01,2003-04-01,6,Ganges / Brahmaputra Basin
Wet,2003-07-01,2003-10-01,2,Ganges / Brahmaputra Basin
Dry,2004-01-01,2006-01-01,9,Ganges / Brahmaputra Basin
Wet,2006-04-01,2006-07-01,2,Ganges / Brahmaputra Basin
Dry,2006-10-01,2008-01-01,6,Ganges / Brahmaputra Basin
Wet,2008-04-01,2008-10-01,3,Ganges / Brahmaputra Basin
Dry,2009-01-01,2010-07-01,7,Ganges / Brahmaputra Basin
Wet,2010-10-01,2011-07-01,4,Ganges / Brahmaputra Basin
