type,start_date,end_date,duration_blocks,accumulated,basin
Wet,2002-01-01,2012-07-01,22,14.90566227344678,Amazon Basin
Dry,2013-01-01,2018-01-01,11,-9.630502751122378,Amazon Basin
Wet,2018-07-01,2020-07-01,5,7.868297667201958,Amazon Basin
Dry,2021-01-01,2023-07-01,6,-21.937027834820526,Amazon Basin
Wet,2024-01-01,2024-07-01,2,8.793570645293485,Amazon Basin
Dry,2002-01-01,2004-01-01,5,-2.5409106784323203,California
Wet,2004-07-01,2021-07-01,35,9.835992617081764,California
Dry,2022-01-01,2023-07-01,4,-0.38122234530973387,California
Wet,2024-01-01,2024-01-01,1,14.184606377468032,California
Dry,2024-07-01,2024-07-01,1,-21.098465970807535,California
Dry,2002-01-01,2023-07-01,44,-6.909766487295563,Colorado
Wet,2024-01-01,2024-07-01,2,6.9097664872957285,Colorado
Dry,2002-01-01,2023-07-01,44,-3.914840692552076,Congo
Wet,2024-01-01,2024-07-01,2,3.9148406925513513,Congo
Dry,2002-01-01,2018-01-01,33,-6.911556112546759,Danube
Wet,2018-07-01,2024-07-01,13,6.911556112547423,Danube
Dry,2002-01-01,2024-07-01,46,-2.3447910280083306e-13,Ganges / Brahmaputra Basin
Dry,2002-01-01,2002-07-01,2,-16.778926744352667,Mekong Basin
Wet,2003-01-01,2003-07-01,2,17.334875416358138,Mekong Basin
Dry,2004-01-01,2021-07-01,36,-34.36606280064092,Mekong Basin
Wet,2022-01-01,2024-07-01,6,33.810114128635746,Mekong Basin
Dry,2002-01-01,2024-01-01,45,-3.810437469229438,Mississippi / Missouri
Wet,2024-07-01,2024-07-01,1,3.810437469229729,Mississippi / Missouri
Dry,2002-01-01,2024-01-01,45,-35.11297447981389,Murray Darling
Wet,2024-07-01,2024-07-01,1,35.11297447981401,Murray Darling
Dry,2002-01-01,2024-07-01,46,-1.7053025658242404e-13,Nile
Dry,2002-01-01,2024-07-01,46,-4.760636329592671e-13,Yangtze Basin
