system:index,ET_mm,month,year,.geo
0,127.77744668376874,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,124.64453903631,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,123.93345327212997,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,89.4546621333445,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,113.21530342651434,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,111.39612841207058,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,109.21417191202912,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,104.68818445839958,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,121.59601834477844,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,90.5843245933172,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,128.66873713741626,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,112.8182977200027,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,128.8925232349247,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,124.73605869725827,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,121.65685250473847,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,89.87103685360071,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,114.205631561793,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,108.84314188793101,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,118.31975901470409,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,118.6877233412743,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,126.08633513332171,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,94.93070738269058,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,125.8188375060674,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,113.60620293758528,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,121.6542094936251,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,126.46143682533634,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,122.33262748966791,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,115.34598227275175,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,83.86530121167675,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,113.70847641562438,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,115.69254085577539,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,122.23637874238436,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,115.72525679017424,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,126.62717614805717,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,92.88426078836306,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,113.1870899747011,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,124.36672002337684,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,123.99430269430562,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,122.525022642876,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
