system:index,ET_mm,month,year,.geo
0,19.71930958240763,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,24.847199287999597,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,33.58270429450415,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,30.349584431609657,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,40.01734253873813,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,40.09470722165427,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,30.60827053560868,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,22.903146941849727,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,21.080491596970194,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,14.525046732404137,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,17.114312482837676,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,17.682787730273464,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,22.01514663056851,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,27.50797805914127,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,36.65043928745244,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,32.42348606628081,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,46.621933477212714,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,44.096922651764,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,30.491128708971733,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,30.506413240955418,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,23.053505621444852,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,13.069498028567788,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,19.642459007167776,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,17.496277150335455,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,21.404876776614174,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,28.316566625086363,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,36.53314229583791,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,37.952125266653674,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,31.467702185535934,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,42.3300952056332,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,34.361650862570244,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,26.92655388448234,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,23.46007024885777,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,24.038560322385962,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
