system:index,ET_mm,month,year,.geo
0,19.430669270628893,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,15.412569161644832,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,15.199243273665214,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9.282276700463482,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.269215747628957,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,10.07534128300862,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,12.312223893005871,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,11.148121560404352,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,14.894291228179624,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9.69724659820356,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,17.184543526166806,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,19.911548323529598,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,19.27663118503032,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,25.037058139371155,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,21.29985776720645,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,12.556686934365134,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,14.856981666436305,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,14.979804554289545,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,13.595846486007492,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,16.748241992375867,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,12.368789141820868,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.646217800227176,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,19.136172603135343,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,18.127350282285235,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,22.28469561366182,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,24.11219579787073,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,17.05828114318711,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,16.775781624376368,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,10.236768749377248,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,14.374805656554479,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,15.214276406326867,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,15.991570288489841,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,12.787654252264833,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,17.37885379457219,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,18.161325925186095,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,21.112097420090638,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,24.067781686789054,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,31.437106140467684,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,26.4522421188276,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,16.67594183212875,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,20.200636465707984,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,18.64529672421547,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,16.235428480653194,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,19.254314888617127,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,12.699944478287918,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,11.353473730936871,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,13.913326841757714,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,15.629638980458559,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,17.958276812644687,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,15.403081541669785,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,24.2475091021618,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,10.329391148665744,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,11.925533095725745,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,13.207172113368587,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
