system:index,ET_mm,month,year,.geo
0,90.01626590451608,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,90.22358365314984,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,105.73839922789283,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,81.89445625208936,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,99.08519107784404,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,83.3287626668571,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,74.94043758856044,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,81.1967275314926,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,91.64936797764027,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,70.75113499013169,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,104.87448317583458,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,91.59647473939522,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,96.10835121670267,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,97.76319816939666,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,102.79977625643632,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,84.65257848547233,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,103.52576791155091,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,87.61904555529247,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,80.25703425454691,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,77.79115191455641,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,87.632992927687,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,73.85006291194465,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,101.19565778125373,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,91.25313595479926,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,92.59651800464302,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,92.83263891027526,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,97.13483733443937,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,112.59450292628448,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,73.94405528245497,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,84.325039055552,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,74.03440773583449,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,78.97651895126775,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,90.15260800809943,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,100.52500441259222,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,80.01432286475236,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,91.3366530501548,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,92.72341546571549,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,96.73249750864407,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,106.0254867224116,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,81.79880230398227,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,103.49437573321146,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,83.71876558862117,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,76.89360219594045,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,83.33014564358218,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,88.28953656879395,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,73.79143134579422,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,100.79154856705352,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,87.74089541565964,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,97.6359602333042,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,96.63336453686514,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,104.66865898380806,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,82.84080736211196,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,103.574055031441,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,90.547340093397,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,76.05738448266592,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,80.39723442231067,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,92.93088566785619,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,73.36269593623027,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,104.56906971443365,11,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,90.55416336965502,12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,91.97355412507402,1,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,90.55302956882322,2,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,105.17901008775145,3,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,80.74479835662619,4,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,103.87784843388341,5,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,89.67882294779712,6,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,79.48810123341828,7,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,83.95950880360454,8,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,94.03479647307711,9,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,76.43405490313647,10,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,105.05936173130263,11,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,91.50976543622757,12,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,89.6666240065158,1,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,88.89619729131684,2,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,103.64835284044335,3,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,113.12584244644562,4,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,73.93511021428615,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,87.58161759281133,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,75.87793652908809,7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,79.48899825681202,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,86.81764423080972,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,97.54733430185074,10,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,77.23862856852638,11,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,93.91990873350387,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,97.1869042907456,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,101.41128813840044,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,103.27514149722792,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,85.94641835135194,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,106.14250260249332,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,90.70578384531828,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,83.07849995496332,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,79.16081213528179,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,91.88813114352767,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,74.34614131137343,10,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,107.2944014970881,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,89.8129461415446,12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,100.17751562600576,1,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,103.33958214295335,2,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,111.24980373911922,3,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,86.21401353775607,4,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,112.063936251955,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,92.95494681319535,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,82.71922487218588,7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
