system:index,ET_mm,month,year,.geo
0,17.0169415025839,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,24.86112395857792,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,30.676064560847653,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,34.8469789686933,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,82.85762005061679,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,101.09913386649283,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,92.63915382324308,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,83.97889683741832,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.655439109413706,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,19.890984617519823,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,18.90777743265396,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,11.715290497564375,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,14.188180030684384,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,21.22949856915108,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,34.29668919029929,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,33.28777438197326,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,84.27277849224271,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,106.42974444520885,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,90.96278013096733,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,68.7802544128406,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,42.93705187452249,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,17.80984351268516,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,18.77905415307844,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,14.55177849751433,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,14.556805473799653,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,23.76077423640004,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,36.40826125855583,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,53.577205763159,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,57.21329253091245,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,102.1271665343027,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,98.92964874062098,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,87.47798953489806,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,50.43111377846823,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,26.942659720851037,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,13.02314090358372,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,14.493337122230441,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
