system:index,ET_mm,month,year,.geo
0,29.5763425718055,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,36.23373262601655,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,30.209355863115412,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,21.998644039839952,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,35.82514667167409,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,52.03442614528166,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,61.25375990098306,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,82.33234484863263,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,73.58421472333022,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,39.75873743051978,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,35.32893506369858,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,23.68064678401221,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,26.985724130330922,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,35.690544297362415,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,33.209554221632324,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,21.45703293160963,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,34.023733171557566,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,50.43665223297238,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,89.16797954150705,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,100.15763355463216,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,85.7287713064023,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,44.724491314460025,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,39.587014699165316,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,29.866374329301344,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,30.00848010135274,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,34.556578327140464,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,25.466349278768558,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,29.332304193703514,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,25.959550792050866,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,53.83573688724002,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,80.94261294390762,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,96.7626970113176,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,77.1624562630016,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,52.51552253712399,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,26.258311987960024,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,27.8926689947331,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,32.261730398451384,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,37.829752500140955,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,34.65703587342536,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,22.735421029500245,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,34.69476825244502,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,45.225314702071294,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,89.81233822431128,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,89.45552750179615,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,85.66269274571687,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
