system:index,ET_mm,month,year,.geo
0,63.46071673394461,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,66.53325009804458,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,71.61805855624982,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,60.348099495351015,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,93.62748791481067,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,101.34994534051854,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,107.52310137535648,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,102.53499434191531,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,105.51959401073456,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,78.92766130537758,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,94.99518314807835,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,74.82656731380891,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,69.78789731926942,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,73.79291673613251,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,82.28129260510165,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,68.9126494978791,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,100.34134581594931,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,106.24180405770676,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,108.62961411642327,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,103.8379650642323,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,109.67012855143817,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,79.99983345859134,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,91.08286015445388,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,60.800154417723526,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,59.01717826302141,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,58.093396708543175,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,58.44125263580018,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,77.24197272675211,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,71.20407112623823,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,108.57084944390695,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,103.986772966913,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,103.21672869202511,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,108.21821751018526,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,106.15180143193962,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,61.29123152311166,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,59.499724360062466,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,58.45124168537118,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,60.73623809692988,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,66.60807966071827,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,61.502649121802854,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,92.71112894523397,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,100.57506000095266,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,109.01468799215387,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,106.02471259015444,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,107.730377648336,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,82.2043729040283,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,93.99190077254448,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,67.2816087968562,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,70.27659338958105,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,71.78082498545889,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,78.43632058504146,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,68.16353078493341,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,99.73780681501825,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,107.24543158597756,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,106.53156566042142,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,105.513759106461,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,106.34315317098451,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,84.36428050590378,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
