system:index,ET_mm,month,year,.geo
0,22.794192318335668,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,25.122525598945966,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,34.18020443729849,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,33.01094759589059,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,54.9918506671512,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,72.0047881315826,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,72.96836986286957,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,62.463600270639155,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,41.22451309938218,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,20.904123379216202,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,23.17578677328018,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,19.54594713203076,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,21.90905494094483,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,26.129738939199974,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,34.92290514678741,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,30.770719678484156,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,61.4777931391736,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,78.72871432982967,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,76.26745892990658,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,60.801992640910534,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,41.33819115105534,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,18.925647626762768,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,23.360717829839047,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,18.691250383150116,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,21.00119346587121,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,25.35204445613385,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,31.987297292202765,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,43.000382553385805,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,50.105357890616055,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,74.92030115364376,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,86.25895290689579,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,71.70097895201924,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,45.46929954713785,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,29.07398562675204,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,18.323379623237052,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,20.251533179386247,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,21.21092810136498,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,28.32984275511303,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,34.607717796974114,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,32.66624741871597,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,60.90813606659927,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,81.94707743793451,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,81.01162867920502,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,66.3790353173856,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,45.10798573981728,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,21.58996781041374,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,21.604129106042013,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,16.818110482452212,12,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,21.538548388423788,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,25.34904227221186,2,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,33.01117283146046,3,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,30.623420102359177,4,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,58.4063832832723,5,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,69.06289998546664,6,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,71.38378738592765,7,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,61.862255403517025,8,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,44.66710772206222,9,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,21.223335725796105,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,23.361446589655056,11,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,19.55461243398126,12,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,21.743348651502746,1,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,24.713868703327204,2,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,38.63773504983328,3,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,31.92083076213014,4,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,66.34533326530166,5,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,82.07684748091553,6,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,85.22070395609568,7,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,62.49238778754078,8,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,44.41356816118971,9,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,21.613568674278298,10,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,21.8769613026399,11,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,17.549006810096632,12,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,20.623734325276505,1,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,25.89725724016348,2,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,35.10505504835338,3,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,44.51714210005192,4,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,46.709265948817894,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,77.76681336521199,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,80.35002977231339,7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,72.91302166265841,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,48.18419076517478,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,27.697415335070225,10,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,16.81820074890192,11,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,18.17457629734978,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,19.873864526107656,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,25.731231153858342,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,33.64714011041887,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,31.601357412573357,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,61.68528145246457,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,80.67274517418642,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,82.81834616463142,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,76.42049188682516,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,47.10726000998332,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,23.459937938968853,10,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,24.410537792162483,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,16.33622104077378,12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,19.223962591212914,1,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,23.81981709624994,2,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,36.04966213608697,3,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,33.36418868772374,4,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,68.48149369610151,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,89.39582144644054,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,91.60211787133704,7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,72.62484956556236,8,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,42.9885838646803,9,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,18.613093996821643,10,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,21.26529818319135,11,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,16.382540564558827,12,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,18.732400464887064,1,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,24.282968562813068,2,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,34.20507572291905,3,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,35.68000196968787,4,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,62.5572359982241,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,76.49983415138541,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,83.04546833727947,7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,66.8090268150079,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,40.31595876420449,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,19.326082673769097,10,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,23.002249413980365,11,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,19.80978188040333,12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,22.836530039327133,1,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,27.598717292702855,2,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,36.33846257687907,3,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,50.71600755532554,4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,45.83536875756681,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,68.49054505682999,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,62.9351461183874,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,54.533954327734236,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,36.940382274532126,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,26.164723672029748,10,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,16.33416348024063,11,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,18.7703298325729,12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,21.695283321377126,1,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,25.860283911445425,2,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,32.01217806264823,3,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,34.62124562973016,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,60.11696037158304,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,79.29572718970518,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,83.40706533249943,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,76.55877663539742,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,47.70004218575155,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
