system:index,ET_mm,month,year,.geo
0,19.323187075384475,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,26.29981400542215,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,21.978015879555834,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,14.74141489358574,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,17.58302820505516,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,18.951119570297912,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,15.596760443636118,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,16.887638652846096,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,19.21441931729484,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,12.639831320744017,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,14.052278642782904,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,13.987709467699174,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,12.628527959022547,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,20.65264372751399,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,21.97031510631667,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,17.46162575806823,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,23.153469565807782,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,23.86176402024414,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,23.02025116956944,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,27.79493806695622,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,34.547982232378224,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,25.73013385106074,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,26.31899936982806,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,20.31142380685938,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,25.509181201276668,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,23.6891067298512,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,24.937811037629434,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,18.297945144117914,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,14.397282796957022,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,21.478419716473333,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,21.758310154354607,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,25.097248172245283,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,34.18543228532438,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,30.379077491275293,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,20.210711961846677,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,27.039717088047432,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
