system:index,ET_mm,month,year,.geo
0,20.09381207476968,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,15.577336403070465,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,20.20154468340396,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,18.444821289001325,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,33.01892441143347,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,43.44183002885146,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,57.23942122036114,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,70.68889503265245,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,61.113828617948975,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,34.874093641971974,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,31.46881399401697,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,21.30929968537409,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,20.17745836699644,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,14.854769882862216,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,16.224653791636168,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,17.67605798059522,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,34.470403263490596,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,53.30432114503483,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,72.91707212352779,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,85.86473426749727,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,79.88727594336576,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,42.341393529706636,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,36.106637513806135,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,21.412897085647447,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,17.50619386500633,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,15.226623260533861,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
