system:index,ET_mm,month,year,.geo
0,30.47909309781083,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,37.545563360638496,2,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,45.19231791323714,3,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,40.032115006627805,4,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,69.86017504006328,5,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,90.27796319849618,6,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,103.33273382789834,7,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,91.03428756615911,8,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,62.527852518334214,9,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,33.30786711818608,10,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,35.08739841403213,11,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,27.453160218198004,12,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,31.095954144245862,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,39.0853511913849,2,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,46.5780368576098,3,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,41.033821748768766,4,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,74.3226288010689,5,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,88.63047407608335,6,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,107.15051309082794,7,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,99.77997689251909,8,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,71.44168362497189,9,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,34.36280129046626,10,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,35.70051355309084,11,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,26.852541469383073,12,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,28.649373101309923,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,31.23099361102203,2,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,37.513643706572516,3,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,52.870942763811215,4,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,48.99688920798625,5,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,84.37003531518572,6,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,99.04796475927738,7,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,95.77476379237986,8,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,67.94448927749497,9,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,42.9004350363608,10,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,25.247020876297007,11,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,26.457765020449102,12,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,31.061690090183692,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,38.31415488962693,2,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,46.348803986379814,3,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,42.59668778041418,4,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,74.95217027796437,5,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,91.66823566935317,6,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,104.61511399672084,7,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,95.81213584785213,8,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,78.31043848805827,9,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,35.037496589783764,10,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,37.05690978305837,11,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
