,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
3/1/2001,0.884269292,-0.696475953,0.718331697,0.630272853,-1.842141926,1.24418485,-0.228861265,-0.568191287,-1.545739591,-10.11630058,-0.140326006
2/1/2002,-2.481939067,-1.890412362,-0.606786709,-2.290487804,-1.357414402,-0.213842135,-0.164694771,0.01458946,-1.919433537,-1.535021201,0.095693707
3/1/2002,-3.98258168,-0.028774232,-0.580342052,-1.65811385,-1.390870392,-0.513911964,0.126815297,-0.417561469,-0.36868614,-10.49204445,-0.354609592
4/1/2002,-0.937496444,0.302969984,-0.535117663,-1.160321762,4.367820221,-1.25951272,-0.209126242,0.395166895,-1.169526981,-0.350970393,-0.720161653
5/1/2002,-0.320382901,0.651813403,-0.139515518,-0.201797829,6.177892208,2.003436939,-1.163979077,1.00019287,-0.541488393,-1.928451538,-0.708486114
6/1/2002,0.371103497,-1.124133872,-0.046388453,-0.045027451,-0.188208331,1.991911121,0.176358055,7.071235615,-0.83824991,3.037139789,-1.005120607
7/1/2002,0.084053735,-0.563495667,-0.045753834,-0.006715183,0.213546836,0.409819064,-1.362645325,-1.621217147,-1.134846242,-0.90950489,-0.748608
8/1/2002,1.450529349,-0.035775918,-0.114594817,-0.03008404,1.252790036,5.885168158,-0.112084399,-0.005498803,-0.580282201,-0.46697318,-0.322713814
9/1/2002,0.411271743,0.238982719,0.10748299,-0.03282617,-4.97078143,-4.200749978,-1.11575192,-2.900872396,-1.108987414,-1.641851239,-0.801329167
10/1/2002,0.904249846,1.206062107,-0.143608239,-0.4738428,3.197254482,-9.332314771,-0.197157233,-4.613763452,5.713740712,-1.478160309,-1.081001055
11/1/2002,0.422015855,-0.212016928,-0.05532638,0.10076429,-1.122580702,-2.516393389,-0.192744324,0.58191774,-3.780417587,-2.201680121,-1.222656054
1/1/2003,1.040369156,-1.774091995,-0.214692265,-1.660005287,-0.359525119,-0.286700574,-0.100047855,-0.103941927,1.815940551,-8.760412631,-1.266461679
2/1/2003,-1.308808316,0.705991952,-0.176845264,-2.44112543,0.408143274,0.021183189,-0.119790546,0.480878474,-0.748767081,-5.529219047,-0.231547356
3/1/2003,2.453590925,-1.5058541,-0.354831395,-1.463808072,-1.953763068,-0.207160713,-0.425720222,0.396980527,-1.829037607,-1.167366028,-0.992733819
4/1/2003,-0.454587123,-1.235213228,-0.31880977,2.681727777,0.238253075,-1.501221952,-0.044279345,0.052254698,-1.131033348,-3.656449442,0.283996114
5/1/2003,-0.713756629,1.888970748,-0.083969697,0.335088587,-0.740167141,0.205640689,-0.944443964,-3.846606503,-0.994232877,-0.680739403,-0.642921243
