type,start_date,end_date,duration_blocks,accumulated,basin
Dry,1998-01-01,2025-01-01,28,-4.405364961712621e-13,Danube
Dry,1998-01-01,1998-01-01,1,-7.066090693123122,Mississippi / Missouri
Wet,1999-01-01,2023-01-01,25,73.96860182737043,Mississippi / Missouri
Dry,2024-01-01,2025-01-01,2,-66.90251113424775,Mississippi / Missouri
Dry,1998-01-01,1999-01-01,2,-132.16665325263241,Colorado
Wet,2000-01-01,2022-01-01,23,161.6177759726085,Colorado
Dry,2023-01-01,2025-01-01,3,-29.451122719975103,Colorado
Wet,1998-01-01,2025-01-01,28,6.252776074688882e-13,California
Wet,1998-01-01,2025-01-01,28,1.4210854715202004e-13,Yangtze Basin
Wet,1998-01-01,2003-01-01,6,35.22319298226421,Mekong Basin
Dry,2004-01-01,2015-01-01,12,-488.5249771859552,Mekong Basin
Wet,2016-01-01,2019-01-01,4,63.889364766100016,Mekong Basin
Dry,2020-01-01,2020-01-01,1,-87.08537032843483,Mekong Basin
Wet,2021-01-01,2025-01-01,5,476.4977897660251,Mekong Basin
Dry,1998-01-01,1998-01-01,1,-8.12423119915551,Nile
Wet,1999-01-01,2023-01-01,25,197.85154782760586,Nile
Dry,2024-01-01,2025-01-01,2,-189.727316628451,Nile
Wet,1998-01-01,1999-01-01,2,11.087399103667522,Ganges / Bhramaputra Basin
Dry,2000-01-01,2023-01-01,24,-41.991934511579814,Ganges / Bhramaputra Basin
Wet,2024-01-01,2025-01-01,2,30.904535407912444,Ganges / Bhramaputra Basin
Dry,1998-01-01,1998-01-01,1,-32.541571482270164,Congo
Wet,1999-01-01,2004-01-01,6,34.04886779176519,Congo
Dry,2005-01-01,2006-01-01,2,-30.058622974794886,Congo
Wet,2007-01-01,2013-01-01,7,48.83549553109055,Congo
Dry,2014-01-01,2017-01-01,4,-6.641012868289472,Congo
Wet,2018-01-01,2023-01-01,6,69.91140379351972,Congo
Dry,2024-01-01,2025-01-01,2,-83.55455979102136,Congo
Wet,1998-01-01,2019-01-01,22,59.079760001661526,Amazon Basin
Dry,2020-01-01,2021-01-01,2,-3.67199752777141,Amazon Basin
Wet,2022-01-01,2023-01-01,2,57.00511270799433,Amazon Basin
Dry,2024-01-01,2025-01-01,2,-112.4128751818849,Amazon Basin
Wet,1998-01-01,2003-01-01,6,276.4201236473775,Murray
Dry,2004-01-01,2008-01-01,5,-120.82379072287642,Murray
Wet,2009-01-01,2017-01-01,9,299.9296415199226,Murray
Dry,2018-01-01,2025-01-01,8,-455.5259744444236,Murray
