type,start_date,end_date,duration_blocks,basin
Dry,1998-01-01,2001-01-01,4,Danube
Wet,2002-01-01,2003-01-01,2,Danube
Dry,2004-01-01,2006-01-01,3,Danube
Wet,2007-01-01,2007-01-01,1,Danube
Dry,2008-01-01,2008-01-01,1,Danube
Wet,2009-01-01,2009-01-01,1,Danube
Dry,2010-01-01,2011-01-01,2,Danube
Wet,2012-01-01,2012-01-01,1,Danube
Dry,2013-01-01,2015-01-01,3,Danube
Wet,2016-01-01,2016-01-01,1,Danube
Dry,2017-01-01,2018-01-01,2,Danube
Wet,2019-01-01,2020-01-01,2,Danube
Dry,2021-01-01,2021-01-01,1,Danube
Wet,2022-01-01,2025-01-01,4,Danube
Dry,1998-01-01,1998-01-01,1,Mississippi / Missouri
Wet,1999-01-01,2006-01-01,8,Mississippi / Missouri
Dry,2007-01-01,2008-01-01,2,Mississippi / Missouri
Wet,2009-01-01,2009-01-01,1,Mississippi / Missouri
Dry,2010-01-01,2011-01-01,2,Mississippi / Missouri
Wet,2012-01-01,2013-01-01,2,Mississippi / Missouri
Dry,2014-01-01,2014-01-01,1,Mississippi / Missouri
Wet,2015-01-01,2016-01-01,2,Mississippi / Missouri
Dry,2017-01-01,2017-01-01,1,Mississippi / Missouri
Wet,2018-01-01,2019-01-01,2,Mississippi / Missouri
Dry,2020-01-01,2022-01-01,3,Mississippi / Missouri
Wet,2023-01-01,2023-01-01,1,Mississippi / Missouri
Dry,2024-01-01,2024-01-01,1,Mississippi / Missouri
Wet,2025-01-01,2025-01-01,1,Mississippi / Missouri
Dry,1998-01-01,1998-01-01,1,Colorado
Wet,1999-01-01,2006-01-01,8,Colorado
Dry,2007-01-01,2008-01-01,2,Colorado
Wet,2009-01-01,2009-01-01,1,Colorado
Dry,2010-01-01,2012-01-01,3,Colorado
Wet,2013-01-01,2013-01-01,1,Colorado
Dry,2014-01-01,2014-01-01,1,Colorado
Wet,2015-01-01,2017-01-01,3,Colorado
Dry,2018-01-01,2018-01-01,1,Colorado
Wet,2019-01-01,2019-01-01,1,Colorado
Dry,2020-01-01,2023-01-01,4,Colorado
Wet,2024-01-01,2025-01-01,2,Colorado
Wet,1998-01-01,2003-01-01,6,California
Dry,2004-01-01,2004-01-01,1,California
Wet,2005-01-01,2006-01-01,2,California
Dry,2007-01-01,2011-01-01,5,California
Wet,2012-01-01,2018-01-01,7,California
Dry,2019-01-01,2025-01-01,7,California
Wet,1998-01-01,1999-01-01,2,Yangtze Basin
Dry,2000-01-01,2001-01-01,2,Yangtze Basin
Wet,2002-01-01,2005-01-01,4,Yangtze Basin
Dry,2006-01-01,2007-01-01,2,Yangtze Basin
Wet,2008-01-01,2008-01-01,1,Yangtze Basin
Dry,2009-01-01,2010-01-01,2,Yangtze Basin
