model,basin,n_years_evaluated,n_years_total,accuracy,precision,recall,f1,roc_auc
Logistic Regression,Danube,25,25,0.5918367346938775,0.18421052631578946,0.4375,0.25925925925925924,0.47865853658536583
Random Forest,Danube,25,25,0.8367346938775511,0.5,0.1875,0.2727272727272727,0.49085365853658536
Gradient Boosting,Danube,25,25,0.7653061224489796,0.18181818181818182,0.125,0.14814814814814814,0.5015243902439025
Logistic Regression,Mississippi / Missouri,25,25,0.6122448979591837,0.24390243902439024,0.5882352941176471,0.3448275862068966,0.6681190994916485
Random Forest,Mississippi / Missouri,25,25,0.7959183673469388,0.38461538461538464,0.29411764705882354,0.3333333333333333,0.7893972403776326
Gradient Boosting,Mississippi / Missouri,25,25,0.7755102040816326,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.7015250544662309
Logistic Regression,Colorado,25,25,0.42857142857142855,0.14583333333333334,0.3181818181818182,0.2,0.37380382775119614
Random Forest,Colorado,25,25,0.7551020408163265,0.4,0.18181818181818182,0.25,0.645933014354067
Gradient Boosting,Colorado,25,25,0.7346938775510204,0.35714285714285715,0.22727272727272727,0.2777777777777778,0.6232057416267942
Logistic Regression,California,25,25,0.6326530612244898,0.23333333333333334,0.35,0.28,0.5762820512820512
Random Forest,California,25,25,0.7653061224489796,0.38461538461538464,0.25,0.30303030303030304,0.5878205128205128
Gradient Boosting,California,25,25,0.7040816326530612,0.23529411764705882,0.2,0.21621621621621623,0.5121794871794872
Logistic Regression,Yangtze Basin,25,25,0.6122448979591837,0.08823529411764706,0.3,0.13636363636363635,0.4113636363636364
Random Forest,Yangtze Basin,25,25,0.8571428571428571,0.0,0.0,0.0,0.4875
Gradient Boosting,Yangtze Basin,25,25,0.8163265306122449,0.0,0.0,0.0,0.44999999999999996
Logistic Regression,Mekong Basin,25,25,0.5510204081632653,0.0,0.0,0.0,0.3193181818181818
Random Forest,Mekong Basin,25,25,0.8571428571428571,0.0,0.0,0.0,0.38295454545454544
Gradient Boosting,Mekong Basin,25,25,0.8775510204081632,0.0,0.0,0.0,0.4352272727272728
Logistic Regression,Nile,25,25,0.6020408163265306,0.1891891891891892,0.4375,0.2641509433962264,0.5342987804878049
Random Forest,Nile,25,25,0.8163265306122449,0.25,0.0625,0.1,0.5685975609756098
Gradient Boosting,Nile,25,25,0.7857142857142857,0.3076923076923077,0.25,0.27586206896551724,0.6303353658536585
Logistic Regression,Ganges / Bhramaputra Basin,25,25,0.5816326530612245,0.15625,0.2631578947368421,0.19607843137254902,0.4330446369087276
Random Forest,Ganges / Bhramaputra Basin,25,25,0.7857142857142857,0.375,0.15789473684210525,0.2222222222222222,0.654230512991339
Gradient Boosting,Ganges / Bhramaputra Basin,25,25,0.7857142857142857,0.4,0.21052631578947367,0.27586206896551724,0.625582944703531
Logistic Regression,Congo,25,25,0.5204081632653061,0.19047619047619047,0.38095238095238093,0.25396825396825395,0.3865182436611007
Random Forest,Congo,25,25,0.7346938775510204,0.2222222222222222,0.09523809523809523,0.13333333333333333,0.4551638837353123
Gradient Boosting,Congo,25,25,0.6224489795918368,0.05555555555555555,0.047619047619047616,0.05128205128205128,0.38095238095238093
Logistic Regression,Amazon Basin,25,25,0.6020408163265306,0.1111111111111111,0.36363636363636365,0.1702127659574468,0.45141065830721006
Random Forest,Amazon Basin,25,25,0.8367346938775511,0.0,0.0,0.0,0.45663531870428425
Gradient Boosting,Amazon Basin,25,25,0.826530612244898,0.125,0.09090909090909091,0.10526315789473684,0.367816091954023
Logistic Regression,Murray,25,25,0.35714285714285715,0.06521739130434782,0.13043478260869565,0.08695652173913043,0.26028985507246377
Random Forest,Murray,25,25,0.7244897959183674,0.3333333333333333,0.17391304347826086,0.22857142857142856,0.6631884057971015
Gradient Boosting,Murray,25,25,0.6530612244897959,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.5884057971014492
