accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.7435897435897436,0.38461538461538464,0.7142857142857143,0.5,0.8392857142857144,0.41512807680026154,0.522529491031106,Logistic Regression,Danube,train
0.5,0.0,0.0,0.0,0.41666666666666663,0.5482440943768989,0.8227723861413294,Logistic Regression,Danube,test
0.9871794871794872,1.0,0.9285714285714286,0.9629629629629629,0.9988839285714286,0.27601398146357786,0.2987577505167515,Random Forest,Danube,train
0.85,0.0,0.0,0.0,0.0,0.4002663631090548,0.5184732434604703,Random Forest,Danube,test
1.0,1.0,1.0,1.0,1.0,0.04383096883895712,0.03250427278740505,Gradient Boosting,Danube,train
0.85,0.0,0.0,0.0,0.16666666666666669,0.37024820623106425,0.6674292785590873,Gradient Boosting,Danube,test
0.7692307692307693,0.45161290322580644,0.9333333333333333,0.6086956521739131,0.8761904761904762,0.401130866248792,0.4671108815021432,Logistic Regression,Mississippi / Missouri,train
0.7,0.16666666666666666,0.5,0.25,0.6111111111111112,0.42553704189912983,0.5188597664663198,Logistic Regression,Mississippi / Missouri,test
0.9487179487179487,0.8235294117647058,0.9333333333333333,0.875,0.9904761904761905,0.27299261604616404,0.28751936146099016,Random Forest,Mississippi / Missouri,train
0.9,0.5,0.5,0.5,0.7777777777777778,0.3404613188362664,0.397337843403659,Random Forest,Mississippi / Missouri,test
1.0,1.0,1.0,1.0,1.0,0.055010576709722245,0.038441508385901116,Gradient Boosting,Mississippi / Missouri,train
0.85,0.0,0.0,0.0,0.16666666666666669,0.3823895894374926,0.6028792966004379,Gradient Boosting,Mississippi / Missouri,test
0.6923076923076923,0.4,0.8235294117647058,0.5384615384615384,0.7801350048216008,0.4461944469593983,0.5725947338894029,Logistic Regression,Colorado,train
0.55,0.0,0.0,0.0,0.30666666666666664,0.5519951327833752,0.8579752087781388,Logistic Regression,Colorado,test
1.0,1.0,1.0,1.0,1.0,0.2959482113300709,0.33674840295648106,Random Forest,Colorado,train
0.7,0.3333333333333333,0.2,0.25,0.5733333333333334,0.45764414019084887,0.6134469365366345,Random Forest,Colorado,test
1.0,1.0,1.0,1.0,1.0,0.057831131934252836,0.047313498527987594,Gradient Boosting,Colorado,train
0.65,0.25,0.2,0.2222222222222222,0.4266666666666667,0.5286675035113666,0.9459652341204723,Gradient Boosting,Colorado,test
0.7435897435897436,0.46875,0.8333333333333334,0.6,0.8305555555555556,0.41570581404876084,0.529835374828591,Logistic Regression,California,train
0.65,0.14285714285714285,0.5,0.2222222222222222,0.6666666666666667,0.4995793212404178,0.7603751731216524,Logistic Regression,California,test
0.9487179487179487,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9861111111111112,0.3236811490612376,0.36979801238587673,Random Forest,California,train
0.7,0.16666666666666666,0.5,0.25,0.5833333333333333,0.4313565616406779,0.5523721099834101,Random Forest,California,test
1.0,1.0,1.0,1.0,1.0,0.09198790424649839,0.0756571635338331,Gradient Boosting,California,train
0.75,0.0,0.0,0.0,0.1111111111111111,0.45655647182345765,0.7268238404142251,Gradient Boosting,California,test
0.7051282051282052,0.36363636363636365,0.8571428571428571,0.5106382978723404,0.8359375,0.4120218040245123,0.49695411138539725,Logistic Regression,Ganges / Bhramaputra Basin,train
0.65,0.25,0.2,0.2222222222222222,0.5733333333333335,0.4653436177689101,0.7912157008080738,Logistic Regression,Ganges / Bhramaputra Basin,test
0.9743589743589743,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9966517857142857,0.2736994272210792,0.3012699287566973,Random Forest,Ganges / Bhramaputra Basin,train
0.8,1.0,0.2,0.3333333333333333,0.6666666666666666,0.4168851741475084,0.5298700087169437,Random Forest,Ganges / Bhramaputra Basin,test
1.0,1.0,1.0,1.0,1.0,0.04645876855388738,0.036434123472811754,Gradient Boosting,Ganges / Bhramaputra Basin,train
0.75,0.5,0.2,0.2857142857142857,0.6,0.4573778281818464,0.7174122419775969,Gradient Boosting,Ganges / Bhramaputra Basin,test
0.6923076923076923,0.3548387096774194,0.7333333333333333,0.4782608695652174,0.765079365079365,0.44330300415740076,0.5681334334350382,Logistic Regression,Congo,train
