basin,model,feature,value,abs_normalized
Danube,Logistic Regression,anomaly_lag1,-0.19092928176309606,0.521719734750694
Danube,Logistic Regression,anomaly_lag2,0.02266861259910963,0.06194263364510096
Danube,Logistic Regression,anomaly_lag3,0.07549982424742277,0.20630543369960397
Danube,Logistic Regression,raw_lag1,0.3659613946831673,1.0
Danube,Logistic Regression,bar_state_lag1,0.07536158976137727,0.2059277040044672
Danube,Logistic Regression,rolling_autocorr_3,0.10554081054012412,0.2883932897662513
Danube,Logistic Regression,rolling_variance_3,0.05383544700937578,0.1471069019615691
Danube,Logistic Regression,rolling_skew_3,0.05665489554660346,0.15481112589936621
Danube,Logistic Regression,rolling_autocorr_6,-0.30128846954673666,0.8232793784371122
Danube,Logistic Regression,rolling_variance_6,0.19089057506778914,0.5216139675963731
Danube,Logistic Regression,rolling_skew_6,0.0070228561357717975,0.019190155677081367
Danube,Logistic Regression,rolling_autocorr_12,0.12127137980024921,0.33137752113236
Danube,Logistic Regression,rolling_variance_12,-0.20309200494913301,0.5549547244592857
Danube,Logistic Regression,rolling_skew_12,-0.0876133526988263,0.23940599738581153
Danube,Logistic Regression,month_sin,-0.04985121145669009,0.136219864119408
Danube,Logistic Regression,month_cos,-0.10724616340074301,0.29305321533598333
Danube,Random Forest,anomaly_lag1,0.19893204045743296,1.0
Danube,Random Forest,anomaly_lag2,0.05558633333033743,0.279423732861332
Danube,Random Forest,anomaly_lag3,0.053970271239788835,0.27130004355098986
Danube,Random Forest,raw_lag1,0.09060227882638446,0.45544336959521275
Danube,Random Forest,bar_state_lag1,0.13993016118995538,0.7034068562720912
Danube,Random Forest,rolling_autocorr_3,0.004486806299078238,0.022554467790915335
Danube,Random Forest,rolling_variance_3,0.0697449642281924,0.3505969378679161
Danube,Random Forest,rolling_skew_3,0.03837035393290621,0.1928817190266372
Danube,Random Forest,rolling_autocorr_6,0.0751760970905342,0.3778983863920112
Danube,Random Forest,rolling_variance_6,0.05557769115131345,0.2793802899900675
Danube,Random Forest,rolling_skew_6,0.04185751408563192,0.21041112326291397
Danube,Random Forest,rolling_autocorr_12,0.04839599269344589,0.24327902424447087
Danube,Random Forest,rolling_variance_12,0.045740215099472493,0.22992884903957883
Danube,Random Forest,rolling_skew_12,0.04714656615621225,0.23699835404996297
Danube,Random Forest,month_sin,0.008513643487629249,0.04279674339062028
Danube,Random Forest,month_cos,0.02596907073168475,0.1305424237944292
Danube,Gradient Boosting,anomaly_lag1,0.4010572982449546,1.0
Danube,Gradient Boosting,anomaly_lag2,0.09055097765577072,0.22578065042582696
Danube,Gradient Boosting,anomaly_lag3,0.04594404248211588,0.11455730311646029
Danube,Gradient Boosting,raw_lag1,0.07239760573850033,0.18051686393768576
Danube,Gradient Boosting,bar_state_lag1,0.006292791449406496,0.01569050476563834
Danube,Gradient Boosting,rolling_autocorr_3,0.0,0.0
Danube,Gradient Boosting,rolling_variance_3,0.08125692597777219,0.20260677547411873
Danube,Gradient Boosting,rolling_skew_3,0.04588155237535333,0.11440148970267625
Danube,Gradient Boosting,rolling_autocorr_6,0.054697222203813484,0.13638256289854608
Danube,Gradient Boosting,rolling_variance_6,0.02662332815395177,0.06638285419678608
Danube,Gradient Boosting,rolling_skew_6,0.03838902999512984,0.09571956466849504
Danube,Gradient Boosting,rolling_autocorr_12,0.046245560263403235,0.11530911035848483
Danube,Gradient Boosting,rolling_variance_12,0.047633188553573756,0.11876903565156102
Danube,Gradient Boosting,rolling_skew_12,0.03197476594370044,0.07972617898645282
Danube,Gradient Boosting,month_sin,0.005394753848158498,0.01345132945283926
Danube,Gradient Boosting,month_cos,0.005660957114395362,0.01411508315437214
Mississippi / Missouri,Logistic Regression,anomaly_lag1,0.18365494512133623,0.4369653435146749
Mississippi / Missouri,Logistic Regression,anomaly_lag2,0.03763470578415779,0.08954325803851015
Mississippi / Missouri,Logistic Regression,anomaly_lag3,0.3321647167226957,0.7903107071268572
Mississippi / Missouri,Logistic Regression,raw_lag1,0.09946366142014308,0.2366512535285438
Mississippi / Missouri,Logistic Regression,bar_state_lag1,-0.4202963641100943,1.0
