model,basin,n_years_evaluated,n_years_total,accuracy,precision,recall,f1,roc_auc
Logistic Regression,Danube,27,27,0.5063291139240507,0.20134228187919462,0.44776119402985076,0.2777777777777778,0.44806090031768864
Random Forest,Danube,27,27,0.6582278481012658,0.26436781609195403,0.34328358208955223,0.2987012987012987,0.6730204399688305
Gradient Boosting,Danube,27,27,0.629746835443038,0.23404255319148937,0.3283582089552239,0.2732919254658385,0.6538392375472039
Logistic Regression,Mississippi / Missouri,27,27,0.6044303797468354,0.26356589147286824,0.53125,0.35233160621761656,0.5768229166666667
Random Forest,Mississippi / Missouri,27,27,0.7436708860759493,0.38961038961038963,0.46875,0.425531914893617,0.7534102182539683
Gradient Boosting,Mississippi / Missouri,27,27,0.7341772151898734,0.375,0.46875,0.4166666666666667,0.7158978174603174
Logistic Regression,Colorado,27,27,0.5443037974683544,0.1678832116788321,0.4339622641509434,0.24210526315789474,0.4577085874166009
Random Forest,Colorado,27,27,0.7848101265822784,0.2972972972972973,0.20754716981132076,0.24444444444444444,0.6761604132290695
Gradient Boosting,Colorado,27,27,0.7310126582278481,0.24193548387096775,0.2830188679245283,0.2608695652173913,0.6275916493292202
Logistic Regression,California,27,27,0.560126582278481,0.2198581560283688,0.5166666666666667,0.30845771144278605,0.5466796875
Random Forest,California,27,27,0.7468354430379747,0.3387096774193548,0.35,0.3442622950819672,0.7280598958333333
Gradient Boosting,California,27,27,0.7468354430379747,0.35714285714285715,0.4166666666666667,0.38461538461538464,0.680078125
Logistic Regression,Yangtze Basin,27,27,0.5949367088607594,0.2619047619047619,0.4852941176470588,0.3402061855670103,0.5507590132827325
Random Forest,Yangtze Basin,27,27,0.740506329113924,0.4027777777777778,0.4264705882352941,0.4142857142857143,0.7280597722960152
Gradient Boosting,Yangtze Basin,27,27,0.6867088607594937,0.30864197530864196,0.36764705882352944,0.33557046979865773,0.6741579696394687
Logistic Regression,Mekong Basin,27,27,0.6582278481012658,0.31746031746031744,0.6451612903225806,0.425531914893617,0.7326009652019304
Random Forest,Mekong Basin,27,27,0.7468354430379747,0.3783783783783784,0.45161290322580644,0.4117647058823529,0.746507493014986
Gradient Boosting,Mekong Basin,27,27,0.7056962025316456,0.2987012987012987,0.3709677419354839,0.33093525179856115,0.6943738887477775
Logistic Regression,Nile,27,27,0.6392405063291139,0.28368794326241137,0.7547169811320755,0.41237113402061853,0.70062414807375
Random Forest,Nile,27,27,0.7310126582278481,0.32608695652173914,0.5660377358490566,0.41379310344827586,0.7346294569194347
Gradient Boosting,Nile,27,27,0.7626582278481012,0.34285714285714286,0.4528301886792453,0.3902439024390244,0.7072960757586629
Logistic Regression,Ganges / Bhramaputra Basin,27,27,0.6867088607594937,0.3162393162393162,0.6607142857142857,0.4277456647398844,0.7381181318681318
Random Forest,Ganges / Bhramaputra Basin,27,27,0.75,0.35064935064935066,0.48214285714285715,0.40601503759398494,0.7380494505494506
Gradient Boosting,Ganges / Bhramaputra Basin,27,27,0.7531645569620253,0.3472222222222222,0.44642857142857145,0.390625,0.7377747252747253
Logistic Regression,Congo,27,27,0.5126582278481012,0.1590909090909091,0.328125,0.21428571428571427,0.4712921626984128
Random Forest,Congo,27,27,0.6930379746835443,0.2608695652173913,0.28125,0.2706766917293233,0.6790674603174602
Gradient Boosting,Congo,27,27,0.7151898734177216,0.3333333333333333,0.40625,0.36619718309859156,0.6786334325396826
Logistic Regression,Amazon Basin,27,27,0.6075949367088608,0.11304347826086956,0.37142857142857144,0.17333333333333334,0.5164209456024402
Random Forest,Amazon Basin,27,27,0.8481012658227848,0.11764705882352941,0.05714285714285714,0.07692307692307693,0.6103711235383833
Gradient Boosting,Amazon Basin,27,27,0.810126582278481,0.12121212121212122,0.11428571428571428,0.11764705882352941,0.6080325368581596
Logistic Regression,Murray,27,27,0.5284810126582279,0.24324324324324326,0.4931506849315068,0.3257918552036199,0.4954056034725745
Random Forest,Murray,27,27,0.629746835443038,0.2608695652173913,0.3287671232876712,0.2909090909090909,0.6773775297367383
Gradient Boosting,Murray,27,27,0.629746835443038,0.26595744680851063,0.3424657534246575,0.2994011976047904,0.640735103444388
