time,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
1998-01-01,-7.871601,18.989483,-7.5311394,83.82848,24.056793,-9.37715,16.357452,-0.29379082,16.483223,-34.95665,0.576622
1998-02-01,-37.821762,8.9175415,31.675245,184.21118,4.520687,3.10602,3.363429,0.41788673,-10.322556,-14.2973175,-0.904335
1998-03-01,-10.550049,23.014198,17.125366,24.990784,23.52134,-12.411184,-0.49024963,28.790062,-8.091919,-17.881577,-44.61308
1998-04-01,5.008213,-0.68925476,2.3585606,12.350475,-3.5194473,-15.665138,-4.5513268,-4.1261597,-1.9362488,-0.3228302,25.990707
1998-05-01,-11.339569,-29.33638,-6.150691,64.27524,-0.9524689,-27.551193,1.2626877,-12.4144745,-13.590385,-20.864304,1.658184
1998-06-01,9.96067,26.388031,7.173231,14.191615,32.87024,-14.513962,-5.76062,-1.2359314,-0.12369537,-2.4613037,15.668152
1998-07-01,14.382782,8.759422,17.5406,1.1113496,52.932785,-66.29657,13.457092,62.701782,9.186935,-4.723076,54.78123
1998-08-01,-15.236343,-6.6649246,-9.548733,-2.3469083,36.214523,-21.808594,15.466278,104.03699,9.76152,-0.38791656,28.343536
1998-09-01,50.68756,-11.528488,4.8746567,7.8671846,-36.21775,-30.393494,2.6321945,-12.429489,13.116867,-2.4162674,42.575573
1998-10-01,48.714592,32.604324,19.398294,-10.689152,-3.540863,-29.465157,16.120617,22.834343,-18.546234,29.682205,2.1779175
1998-11-01,10.630676,7.05809,4.855068,52.349697,-24.07412,38.054688,-9.789181,13.639692,-22.625671,30.860062,-3.4661865
1998-12-01,-29.767895,-7.9578285,-14.1035,-53.33156,-6.230197,7.776552,-11.273414,-5.26714,-11.092636,-28.652267,-23.139107
1999-01-01,-20.191662,32.885212,-13.023173,-5.6529007,-8.458401,5.001976,4.0255003,-4.9516563,0.53208923,36.913925,6.830681
1999-02-01,36.02353,-15.254082,-13.493013,30.17086,-29.621353,-6.78022,-7.225912,-11.969051,-6.794014,20.171997,-8.658764
1999-03-01,-17.778515,-11.502186,-20.176044,-13.835926,-11.611134,8.188442,3.9655075,-23.152122,10.781952,-10.67038,22.887138
1999-04-01,24.056126,28.945541,30.16995,4.369175,23.396294,64.92367,-1.3497162,-23.269783,-9.743729,9.688461,-3.105999
1999-05-01,-5.4186935,0.4851303,1.9195366,-14.578675,13.792709,79.110916,4.7188034,31.069366,0.271904,28.700943,-3.0324612
