time,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
1998-01-01,60.49687,72.532486,18.492582,179.11328,56.1108,7.441183,31.409813,15.288393,142.53204,214.96582,51.854614
1998-02-01,21.254402,62.284058,58.855175,277.06128,42.94928,19.270348,17.87413,22.363827,111.541565,234.23149,48.877033
1998-03-01,51.100426,91.65541,44.524643,97.847755,89.55072,28.47577,32.024647,63.00702,154.51694,250.59142,4.2024655
1998-04-01,66.95622,84.58068,22.302109,54.740883,93.307076,69.453415,46.97562,57.48193,149.942,228.5582,57.434933
1998-05-01,78.09651,76.35471,10.692433,87.19385,135.3953,157.42252,68.03809,100.38449,93.32071,167.48256,33.059074
1998-06-01,107.63642,128.22733,20.43992,22.412466,215.1215,198.77454,70.86905,212.69164,72.81084,128.01578,58.357098
1998-07-01,108.033745,97.49699,56.29355,6.1081095,229.01996,224.01584,126.4896,382.21512,82.86236,99.90045,88.52675
1998-08-01,64.883255,73.71951,32.721027,3.977224,181.92348,264.23972,144.84964,388.0376,108.74544,86.69683,62.32963
1998-09-01,129.21538,57.766426,34.94278,16.5408,69.25616,234.72812,93.463135,182.42589,145.62831,103.7913,77.719734
1998-10-01,115.3438,99.847946,46.777966,20.006205,63.044487,122.60581,78.21876,96.370705,149.44936,182.45076,45.873276
1998-11-01,79.99481,59.43716,24.256174,112.433525,16.596859,96.89542,23.643368,23.275488,150.8979,213.54599,53.84046
1998-12-01,41.975773,50.46461,12.155479,47.003746,15.401067,30.617878,8.769052,1.2368097,138.59811,200.75195,27.491516
1999-01-01,48.176807,86.428215,13.000548,89.6319,23.595608,21.820309,19.07786,10.6305275,126.58091,286.8364,58.108673
1999-02-01,95.09969,38.112434,13.686916,123.020966,8.8072405,9.384108,7.284789,9.976889,115.07011,268.7008,41.122604
1999-03-01,43.87196,57.139027,7.2232323,59.021046,54.418247,49.075397,36.480404,11.064835,173.39081,257.8026,71.70268
1999-04-01,86.004135,114.21548,50.1135,46.759583,120.22282,150.04222,50.17723,38.338306,142.13452,238.56949,28.338226
1999-05-01,84.01739,106.17622,18.762661,8.339936,150.14047,264.08463,71.49421,143.86833,107.183,217.0478,28.36843
1999-06-01,117.15792,116.99623,16.985262,7.030232,205.12668,232.85023,71.21847,220.0962,76.89798,140.1447,55.822456
1999-07-01,121.32734,75.87356,68.45788,9.141368,181.68526,287.69165,113.926125,342.63174,76.57464,96.91327,18.537455
1999-08-01,80.40988,67.090515,60.631634,7.5764437,180.26009,257.27628,149.26538,314.94025,130.01321,76.05063,41.356983
1999-09-01,65.72325,57.611946,37.723873,4.3168,90.6279,233.15483,94.977875,244.96559,137.59381,136.00232,30.382048
1999-10-01,54.923683,34.388405,2.6738176,19.244453,81.78811,170.81076,90.41911,118.65605,172.60944,132.64226,80.67348
1999-11-01,74.925995,26.94115,2.7733011,56.955456,32.8275,106.63451,25.31266,5.7546806,194.23706,170.66284,62.655056
1999-12-01,112.77735,51.024364,8.476882,22.211926,4.759076,38.449608,18.146343,2.7516568,144.83403,232.3179,91.67089
2000-01-01,52.69264,39.697002,18.546349,132.84256,41.106667,20.688665,10.601841,13.2585535,109.67945,254.23962,28.996752
2000-02-01,50.44812,53.788895,25.31078,167.55545,28.406662,34.02906,8.520929,21.018475,108.43328,240.33533,62.261093
2000-03-01,82.30145,69.903305,41.7197,45.624172,58.560772,26.204737,21.835028,27.31097,148.47366,287.36264,73.23491
2000-04-01,54.118347,71.63427,9.533113,46.046993,85.14468,138.22295,50.295963,78.21472,140.42274,250.02995,45.430782
2000-05-01,56.809517,93.91995,10.502662,22.738209,103.83176,245.38109,72.289276,150.6854,107.47511,197.64189,58.844936
2000-06-01,48.811687,121.62982,20.060328,8.015158,189.58566,284.90552,73.24586,265.36594,80.995926,133.59395,29.147476
2000-07-01,95.82227,81.87974,15.462474,2.474605,134.69354,322.93073,113.10263,306.43472,70.9791,135.69128,25.125763
2000-08-01,42.211834,50.396103,49.231724,6.8442783,167.10387,307.9804,118.80983,288.49194,106.78155,106.71287,41.688465
2000-09-01,76.14125,55.059837,16.582834,9.666696,117.25728,239.03201,84.1061,209.2516,139.10869,140.8491,24.646862
2000-10-01,43.15511,56.783173,72.15473,57.818634,97.2365,175.22379,82.45102,39.807755,172.6427,153.986,75.38898
2000-11-01,66.191696,81.7849,20.938948,23.910738,37.71566,44.527092,32.967743,6.767402,185.09903,183.21263,117.36936
2000-12-01,61.33912,49.387432,10.630501,25.24031,15.774485,26.927877,23.496609,1.6054479,158.22556,207.73488,21.145742
2001-01-01,70.5976,52.55472,34.275726,86.83376,42.31766,11.172689,19.31838,9.0436325,147.0766,297.1144,48.513424
2001-02-01,49.011703,76.98186,28.194084,106.433334,30.15804,8.049917,13.93636,17.48459,120.68128,234.82303,36.415493
2001-03-01,94.380684,50.792973,25.58548,52.875866,42.097958,97.15152,36.52242,22.367903,164.9293,276.56558,47.5733
2001-04-01,86.623055,73.74765,27.214333,45.352592,106.87484,51.391914,50.039303,59.027893,159.2776,219.20592,24.788666
2001-05-01,54.968666,108.80733,16.74573,4.2828298,102.03509,250.01091,66.471275,141.85631,115.96536,196.10677,12.394704
2001-06-01,128.976,103.73029,8.732649,7.3761683,164.23616,252.25652,81.27029,272.39255,79.120514,140.04074,42.760113
2001-07-01,93.144585,94.2532,36.334064,7.9387846,126.10101,264.9655,125.08075,308.54575,79.15809,117.1368,42.19968
2001-08-01,57.700253,66.73135,50.118652,2.0101054,146.30504,332.36703,131.33669,239.47572,89.559616,75.80321,25.941473
2001-09-01,146.97284,74.82711,12.752091,8.220295,73.93706,224.92232,90.016045,163.91678,120.51006,126.97695,30.317207
2001-10-01,23.514141,66.1022,12.071426,17.886806,77.45151,192.63365,62.98673,101.261444,167.85411,153.14456,49.60488
2001-11-01,76.51616,61.526806,17.275393,109.43108,32.871983,41.151447,32.43498,12.29334,162.6562,172.53758,49.137035
2001-12-01,53.964005,55.34908,21.38362,133.83995,31.0411,14.536014,14.515202,2.4365647,142.85344,247.11003,21.150953
2002-01-01,26.683447,52.399563,8.296865,61.103374,28.143707,14.061376,21.857237,23.214481,150.86426,223.09273,27.679237
2002-02-01,50.780407,35.228344,5.108389,37.059032,31.72856,11.809583,10.7954855,27.555372,131.52832,258.80112,72.27204
2002-03-01,55.83289,79.69106,12.360337,48.37497,64.53097,36.460304,42.93045,33.64481,177.58101,254.99255,30.973772
2002-04-01,62.21763,77.191605,9.894265,24.225014,120.24378,60.87189,49.33458,79.87997,152.6857,236.63521,13.998346
2002-05-01,71.75559,99.95911,3.7234027,14.659498,164.1731,213.15285,49.949844,113.59068,109.47165,203.76941,15.343466
2002-06-01,80.06616,84.21219,2.5712092,2.519916,195.95813,238.51877,74.598076,196.78975,70.3871,126.41052,27.474957
2002-07-01,116.483734,76.798904,29.662786,2.4805222,164.36852,297.50366,97.45322,280.9192,75.811554,122.53395,10.297297
2002-08-01,130.52213,86.89872,23.6146,0.852946,155.33244,332.3052,116.66184,289.29333,107.49485,97.93286,19.539457
2002-09-01,91.42283,73.0202,55.121006,2.9662318,75.022804,265.5156,76.91753,184.10486,133.80957,101.03686,24.232515
2002-10-01,93.30844,90.58543,26.619074,3.5081995,85.411385,118.537735,61.170364,36.38356,187.07605,164.03142,8.621741
2002-11-01,77.02621,31.504776,19.271938,80.65263,35.408875,72.14954,35.953354,20.036987,181.67082,170.12442,14.577927
2002-12-01,71.525665,58.94748,21.059772,200.86575,47.01217,36.070827,26.852707,6.299534,168.91643,233.96272,35.559
2003-01-01,84.68958,24.234695,8.527699,54.924957,29.543665,15.308939,12.228175,18.98459,141.1352,214.4259,5.2285967
2003-02-01,37.74526,70.73831,51.879856,62.477455,42.315083,24.421892,13.404088,40.149597,122.70472,246.92201,77.013336
2003-03-01,20.49953,53.42113,30.734268,68.16398,56.343655,51.2803,26.088058,39.95053,157.86612,277.26923,23.696695
2003-04-01,44.386288,77.85653,13.635873,100.021736,95.764496,54.144024,47.69075,54.950405,148.18758,237.20865,42.72765
2003-05-01,63.598904,113.43077,13.155268,26.513552,140.1631,179.75325,59.27014,77.30578,95.18238,206.68942,21.906977
2003-06-01,47.846832,116.67395,11.2411785,1.1637895,177.50204,207.5648,81.49452,242.00597,87.48245,153.61357,43.08252
2003-07-01,94.64238,72.582664,23.27453,5.984893,148.44963,238.82465,124.54714,324.2814,77.58843,95.0967,37.446404
2003-08-01,37.714153,67.8686,42.069633,15.982165,141.26129,280.3453,132.99997,255.75879,95.44508,111.28441,62.38528
2003-09-01,64.72442,82.776054,28.801317,5.4676213,96.88333,291.00333,88.23378,250.64061,131.14238,131.04683,15.503105
2003-10-01,119.35925,38.024437,12.899252,3.867234,47.331333,111.55763,44.686558,81.4135,158.30309,158.83047,46.235775
2003-11-01,49.32536,68.76788,32.03468,60.796974,31.737816,26.156118,32.60313,3.7182662,162.73163,164.0364,31.908283
2003-12-01,50.159138,50.649345,22.222904,148.5755,20.853125,10.482024,18.371885,13.170112,149.73457,204.4754,52.307487
2004-01-01,91.5241,53.36196,19.154684,61.17473,28.433422,15.429479,18.147501,25.036762,124.821396,233.23512,78.23459
2004-02-01,74.68784,53.481018,34.495987,142.62172,43.74228,25.323376,14.332516,7.760269,121.88212,269.0835,35.478783
2004-03-01,60.397118,77.66668,13.519611,26.05375,52.41113,26.956804,23.185158,29.732811,149.1872,282.21368,33.947166
2004-04-01,69.70148,72.213295,45.4689,20.31579,83.317154,89.515076,59.74895,97.15289,147.01306,221.53691,23.36209
2004-05-01,83.64797,120.96807,6.0442204,12.456911,146.22015,206.8391,50.09754,119.25816,87.66523,184.73457,21.778269
2004-06-01,101.184235,112.79552,13.606015,3.0661056,157.46388,246.44763,71.57427,222.67139,71.80317,132.56993,36.32689
2004-07-01,100.57973,105.56604,27.708471,2.0670147,164.80292,300.96,95.48135,351.0274,72.14366,126.54411,25.076416
2004-08-01,88.38315,80.22178,32.218414,6.437036,140.98184,278.55377,115.96763,270.6513,104.03668,107.285065,37.12426
2004-09-01,64.176926,70.81596,45.842888,4.5736423,108.57622,231.5374,84.74162,174.91655,132.63986,121.40879,41.34281
2004-10-01,64.946144,85.28971,53.935524,99.17842,31.738865,72.873505,49.45536,106.48034,177.64682,169.01532,18.533754
2004-11-01,88.64892,89.46764,44.205414,42.95057,48.686447,42.106007,36.925674,4.0387254,167.79996,183.18652,63.73774
2004-12-01,56.032,44.943287,34.243626,136.81056,23.602695,5.5483327,20.353823,3.8027976,167.93628,209.33156,86.04524
2005-01-01,68.702614,81.190605,71.93093,141.70946,28.792227,4.2156057,13.53791,25.850555,128.50177,220.61652,29.67316
2005-02-01,83.28264,50.549614,68.00172,93.64364,59.103756,7.0907226,9.7767515,26.049435,116.23024,256.57706,34.1663
2005-03-01,51.510597,50.763138,27.844591,92.30299,54.452698,36.660736,37.68026,59.643982,162.80621,284.553,14.248484
2005-04-01,85.232834,76.258354,27.59305,48.275204,69.18284,65.69451,39.84144,52.816727,137.55455,227.8794,5.1954713
2005-05-01,95.00446,77.287926,17.682224,67.515,149.50433,146.2195,74.799736,88.0184,108.97637,175.66418,16.370356
2005-06-01,84.013336,110.930885,20.940378,19.29179,140.20647,212.73549,72.74023,149.32936,74.26307,111.014404,106.52788
2005-07-01,138.66241,75.82105,22.446024,4.8912563,168.02324,312.6243,112.14319,356.34207,67.49517,88.70792,29.949745
2005-08-01,166.33873,96.02009,53.83536,7.366558,160.53938,306.59415,123.253975,267.0378,96.624115,76.7616,35.54748
2005-09-01,84.49918,66.04711,26.611021,8.0544,92.162704,286.26843,87.501495,177.27841,115.952675,92.0984,52.023384
2005-10-01,31.57275,44.935,32.74428,25.99075,63.782238,124.82705,50.01216,105.206,166.17355,166.02933,62.933403
2005-11-01,58.39204,54.719177,9.226846,64.52261,46.275467,67.96357,18.073595,4.2743564,157.63913,178.46089,55.868504
2005-12-01,95.47563,35.361584,10.805072,197.37843,14.200835,36.933865,7.4132237,2.5966625,145.81358,281.8166,29.91082
2006-01-01,52.149826,54.636707,14.346304,123.154724,26.510582,6.34513,10.491267,5.221055,127.247505,282.65216,39.2943
2006-02-01,61.210247,31.89198,6.0252557,65.9236,57.23353,23.368196,15.682177,17.242327,138.90639,263.17676,32.706734
2006-03-01,95.282394,72.02041,41.960854,140.04204,46.981125,51.45429,39.144524,31.55632,170.22345,269.29022,23.206158
2006-04-01,87.20583,83.878456,13.0107155,108.472755,92.95667,110.523384,47.47014,62.71999,151.55475,242.81487,24.151651
2006-05-01,90.925644,70.48123,5.509049,18.925795,133.48848,174.42097,77.43392,140.18573,113.96935,190.94223,6.499029
2006-06-01,112.235794,71.72941,10.470352,5.6687164,148.71265,178.22908,73.882866,195.56287,70.396,129.13388,39.80364
2006-07-01,56.645832,68.951065,56.18522,4.5397053,147.78932,336.8692,116.66794,280.4834,76.54952,105.84066,44.577957
2006-08-01,149.17778,94.72443,51.91904,2.9519832,88.19965,333.65408,125.54134,217.63045,96.85386,83.114296,8.754065
2006-09-01,37.906055,87.46536,39.544346,2.8175159,96.264,212.47232,101.08426,181.27869,126.637505,112.461685,18.18891
2006-10-01,36.39637,76.352264,56.961205,11.749458,62.594448,184.17082,64.137,36.490112,169.22012,164.68306,4.872318
2006-11-01,43.288143,47.54536,8.690715,60.91588,48.911232,22.33665,45.82096,11.7155905,180.8055,201.19061,26.586388
2006-12-01,37.34124,78.34041,16.214413,86.63067,14.459287,12.074112,36.0467,6.018602,165.16963,234.95784,25.615541
2007-01-01,75.61691,64.32458,18.83197,23.035461,29.709827,10.440409,17.57416,4.77973,124.14421,243.65718,46.686886
2007-02-01,68.531555,45.817093,18.612526,108.20804,45.09944,14.967079,20.724842,59.83509,124.25627,201.59958,38.142418
2007-03-01,72.30884,73.48192,20.318607,19.052143,53.101673,39.44061,24.176588,30.11465,159.58702,274.5897,36.660877
2007-04-01,14.963827,81.92037,16.282166,35.249348,84.260925,90.099075,50.14402,66.05975,158.48056,234.27933,26.86064
2007-05-01,101.65062,107.81932,18.365423,8.617869,106.42673,221.79427,59.757195,98.3145,105.05014,187.64594,45.362816
2007-06-01,76.11352,100.251335,6.134655,4.6256843,150.02585,180.45549,108.42349,211.50891,79.96991,121.64321,47.505196
2007-07-01,67.793884,80.31227,48.538883,7.494996,201.90367,265.4708,145.75415,393.10187,76.84708,102.340416,19.94021
2007-08-01,105.2286,89.12236,46.842052,4.167096,147.85667,295.9551,153.16312,266.5343,106.81828,91.09526,23.478958
2007-09-01,112.03786,63.953712,36.055878,14.068548,90.02918,244.28075,91.61955,235.46252,136.6575,102.10145,8.751214
2007-10-01,88.56801,83.359024,13.800016,41.32185,40.859154,220.45917,43.467907,62.56339,171.27263,175.8632,33.044613
2007-11-01,91.12465,27.539618,8.896429,23.824507,15.680314,60.746605,28.30585,20.59393,181.7287,210.88406,77.89578
2007-12-01,61.203297,78.21128,59.885933,83.15222,23.025293,9.637591,12.909486,3.4242947,151.31737,253.10977,95.31607
2008-01-01,48.232777,39.913033,45.30846,175.70862,38.775776,25.762144,19.277264,22.639753,140.52893,303.69232,76.54062
2008-02-01,22.828056,66.5461,31.814915,64.3415,26.34712,20.169313,14.517511,10.764469,117.47038,271.43433,59.241005
2008-03-01,84.040634,83.881516,11.21025,17.412384,63.781704,56.515076,35.87917,38.563236,171.31946,289.1976,18.864477
2008-04-01,81.84077,91.01757,7.578936,10.853726,77.01415,104.76797,59.106014,47.885254,150.9606,216.78914,11.692801
2008-05-01,66.90372,122.02453,23.439802,13.699868,114.27269,216.53317,62.555107,99.00697,108.71415,193.35432,12.60025
2008-06-01,98.47651,118.410835,10.578699,1.9004632,155.08902,216.60095,93.77951,297.54022,66.15005,119.591324,43.004097
2008-07-01,123.145424,87.54043,41.62464,4.5092487,175.16777,261.1321,107.60071,341.1421,86.31344,97.06951,34.452496
2008-08-01,57.580425,78.20906,43.87218,4.1234136,171.1375,273.83322,117.6679,311.9359,92.553505,84.90365,32.27539
2008-09-01,73.875465,91.969475,19.621784,1.8462317,86.032974,279.42694,90.8232,171.37476,128.86015,114.20584,34.243042
2008-10-01,57.177895,70.0523,13.549104,18.148727,83.87538,171.93166,62.594,61.445206,161.34431,168.26395,25.968712
2008-11-01,56.489605,42.049747,22.05479,60.057266,55.412315,77.52285,29.170885,4.675939,171.78056,192.25758,79.209206
2008-12-01,92.900566,74.52599,44.217808,77.13601,7.7125793,20.632427,10.657764,1.8321474,135.84576,249.93289,58.27227
2009-01-01,72.4637,40.8199,17.979414,33.963646,14.366817,6.234374,18.069109,8.047265,130.3902,272.48975,26.626627
2009-02-01,72.24989,41.008842,21.2243,114.67842,38.872,10.027747,15.654859,13.403205,139.96573,282.79495,48.40101
2009-03-01,83.877266,75.84407,13.465617,54.932438,59.622704,48.73453,26.331585,21.08692,157.64464,300.22083,20.843771
2009-04-01,30.156635,94.36122,22.260397,17.1872,99.70745,111.884415,62.819458,39.601948,151.67181,258.61853,40.518353
2009-05-01,67.98736,99.79955,27.027538,30.850157,117.00503,210.11768,43.1112,98.135216,111.085495,196.41644,36.343433
2009-06-01,132.87164,100.44474,28.7416,17.38998,156.65894,176.79814,52.65576,127.344444,76.652916,157.25815,51.127647
2009-07-01,86.774765,108.48661,24.390135,1.9603312,168.24153,301.5454,106.31006,273.70117,73.33136,105.5738,21.063606
2009-08-01,69.10092,90.10701,18.864183,3.866886,131.17265,222.93301,115.35618,304.24747,103.357635,89.782684,15.488821
2009-09-01,40.945076,76.79566,21.129183,3.449263,73.04602,301.53088,74.78581,157.65631,119.80117,94.05042,31.022974
2009-10-01,91.90721,147.14421,14.396099,50.050755,41.62862,102.14027,54.740273,95.52667,172.70874,143.1615,31.608234
2009-11-01,77.470924,27.527143,8.339223,28.267286,44.74826,36.65767,26.358074,18.600407,186.26839,151.92308,34.809113
2009-12-01,110.19847,76.30737,31.324114,76.86225,25.231344,10.289976,27.434721,4.0221353,154.54762,254.21028,82.4938
2010-01-01,82.64603,51.570908,62.368168,160.63771,25.847935,28.180708,15.030276,5.56854,122.73164,251.60799,42.785465
2010-02-01,84.68516,44.965206,32.316757,87.21413,29.393322,11.6153345,31.285479,16.419914,141.2348,229.3615,110.94933
