type,start_date,end_date,duration_blocks,accumulated,basin
Dry,1998-01-01,1999-04-01,16,-10.317243190476134,Amazon Basin
Wet,1999-05-01,2025-04-01,312,10.317243190475978,Amazon Basin
Wet,1998-01-01,2015-03-01,207,4.423693589946922,California
Dry,2015-04-01,2015-12-01,9,-15.350027394708995,California
Wet,2016-01-01,2021-04-01,64,11.22844988359785,California
Dry,2021-05-01,2021-09-01,5,-16.49674241481481,California
Wet,2021-10-01,2021-12-01,3,43.48091546296296,California
Dry,2022-01-01,2024-10-01,34,-29.725207511904774,California
Wet,2024-11-01,2024-12-01,2,43.84517777777778,California
Dry,2025-01-01,2025-04-01,4,-41.40625939285715,California
Dry,1998-01-01,1998-01-01,1,-7.531137928571432,Colorado
Wet,1998-02-01,2002-01-01,48,14.977518920105833,Colorado
Dry,2002-02-01,2005-01-01,36,-2.502703259920601,Colorado
Wet,2005-02-01,2006-01-01,12,17.289994980026467,Colorado
Dry,2006-02-01,2006-08-01,7,-0.574793032142864,Colorado
Wet,2006-09-01,2007-02-01,6,2.5436497943121665,Colorado
Dry,2007-03-01,2007-08-01,6,-1.9935638142857144,Colorado
Wet,2007-09-01,2007-09-01,1,5.987756907407409,Colorado
Dry,2007-10-01,2007-11-01,2,-24.084330099999995,Colorado
Wet,2007-12-01,2009-07-01,20,19.391209708201046,Colorado
Dry,2009-08-01,2010-11-01,16,-15.516520768121696,Colorado
Wet,2010-12-01,2011-02-01,3,6.124449986904761,Colorado
Dry,2011-03-01,2011-04-01,2,-3.2571203142857144,Colorado
Wet,2011-05-01,2012-01-01,9,5.7277477121693074,Colorado
Dry,2012-02-01,2015-05-01,40,-13.05932490687831,Colorado
Wet,2015-06-01,2021-01-01,68,3.773034927116381,Colorado
Dry,2021-02-01,2021-06-01,5,-22.27881023214286,Colorado
Wet,2021-07-01,2022-03-01,9,9.144425497883596,Colorado
Dry,2022-04-01,2022-07-01,4,-11.08751446230158,Colorado
Wet,2022-08-01,2025-04-01,33,16.92603038452382,Colorado
Wet,1998-01-01,1998-02-01,2,6.160673464285722,Congo
Dry,1998-03-01,1998-08-01,6,-4.793761452380934,Congo
Wet,1998-09-01,1998-09-01,1,13.11686925925926,Congo
Dry,1998-10-01,1999-10-01,13,-9.628147432539677,Congo
Wet,1999-11-01,1999-12-01,2,15.856749259259288,Congo
Dry,2000-01-01,2000-12-01,12,-10.309559951058205,Congo
Wet,2001-01-01,2024-11-01,287,2.7985513968260207,Congo
