type,start_date,end_date,duration_blocks,basin
Dry,1998-01-01,1998-07-01,3,Amazon Basin
Wet,1998-10-01,1999-07-01,4,Amazon Basin
Dry,1999-10-01,1999-10-01,1,Amazon Basin
Wet,2000-01-01,2000-07-01,3,Amazon Basin
Dry,2000-10-01,2000-10-01,1,Amazon Basin
Wet,2001-01-01,2001-10-01,4,Amazon Basin
Dry,2002-01-01,2002-01-01,1,Amazon Basin
Wet,2002-04-01,2002-10-01,3,Amazon Basin
Dry,2003-01-01,2003-01-01,1,Amazon Basin
Wet,2003-04-01,2003-07-01,2,Amazon Basin
Dry,2003-10-01,2003-10-01,1,Amazon Basin
Wet,2004-01-01,2004-01-01,1,Amazon Basin
Dry,2004-04-01,2004-04-01,1,Amazon Basin
Wet,2004-07-01,2004-07-01,1,Amazon Basin
Dry,2004-10-01,2005-07-01,4,Amazon Basin
Wet,2005-10-01,2006-10-01,5,Amazon Basin
Dry,2007-01-01,2007-07-01,3,Amazon Basin
Wet,2007-10-01,2008-01-01,2,Amazon Basin
Dry,2008-04-01,2008-07-01,2,Amazon Basin
Wet,2008-10-01,2009-04-01,3,Amazon Basin
Dry,2009-07-01,2010-07-01,5,Amazon Basin
Wet,2010-10-01,2012-01-01,6,Amazon Basin
Dry,2012-04-01,2012-04-01,1,Amazon Basin
Wet,2012-07-01,2012-07-01,1,Amazon Basin
Dry,2012-10-01,2012-10-01,1,Amazon Basin
Wet,2013-01-01,2015-04-01,10,Amazon Basin
Dry,2015-07-01,2016-04-01,4,Amazon Basin
Wet,2016-07-01,2017-01-01,3,Amazon Basin
Dry,2017-04-01,2017-07-01,2,Amazon Basin
Wet,2017-10-01,2017-10-01,1,Amazon Basin
Dry,2018-01-01,2018-01-01,1,Amazon Basin
Wet,2018-04-01,2018-10-01,3,Amazon Basin
Dry,2019-01-01,2019-01-01,1,Amazon Basin
Wet,2019-04-01,2019-04-01,1,Amazon Basin
Dry,2019-07-01,2019-07-01,1,Amazon Basin
Wet,2019-10-01,2019-10-01,1,Amazon Basin
Dry,2020-01-01,2020-01-01,1,Amazon Basin
Wet,2020-04-01,2020-04-01,1,Amazon Basin
Dry,2020-07-01,2020-10-01,2,Amazon Basin
Wet,2021-01-01,2021-01-01,1,Amazon Basin
Dry,2021-04-01,2021-04-01,1,Amazon Basin
Wet,2021-07-01,2021-10-01,2,Amazon Basin
Dry,2022-01-01,2025-04-01,14,Amazon Basin
Wet,1998-01-01,1998-07-01,3,California
Dry,1998-10-01,1998-10-01,1,California
Wet,1999-01-01,1999-01-01,1,California
Dry,1999-04-01,1999-04-01,1,California
Wet,1999-07-01,1999-07-01,1,California
Dry,1999-10-01,1999-10-01,1,California
Wet,2000-01-01,2000-04-01,2,California
Dry,2000-07-01,2001-07-01,5,California
Wet,2001-10-01,2001-10-01,1,California
Dry,2002-01-01,2002-07-01,3,California
Wet,2002-10-01,2002-10-01,1,California
Dry,2003-01-01,2003-01-01,1,California
Wet,2003-04-01,2003-10-01,3,California
Dry,2004-01-01,2004-07-01,3,California
Wet,2004-10-01,2006-04-01,7,California
Dry,2006-07-01,2007-04-01,4,California
Wet,2007-07-01,2007-07-01,1,California
Dry,2007-10-01,2009-10-01,9,California
Wet,2010-01-01,2010-04-01,2,California
Dry,2010-07-01,2010-07-01,1,California
Wet,2010-10-01,2011-04-01,3,California
Dry,2011-07-01,2012-07-01,5,California
Wet,2012-10-01,2012-10-01,1,California
Dry,2013-01-01,2013-04-01,2,California
Wet,2013-07-01,2013-07-01,1,California
Dry,2013-10-01,2014-04-01,3,California
Wet,2014-07-01,2014-10-01,2,California
Dry,2015-01-01,2015-04-01,2,California
Wet,2015-07-01,2015-07-01,1,California
Dry,2015-10-01,2015-10-01,1,California
Wet,2016-01-01,2016-04-01,2,California
Dry,2016-07-01,2016-07-01,1,California
Wet,2016-10-01,2017-04-01,3,California
Dry,2017-07-01,2018-10-01,6,California
Wet,2019-01-01,2019-07-01,3,California
Dry,2019-10-01,2020-01-01,2,California
Wet,2020-04-01,2020-04-01,1,California
Dry,2020-07-01,2021-04-01,4,California
Wet,2021-07-01,2021-10-01,2,California
Dry,2022-01-01,2022-04-01,2,California
Wet,2022-07-01,2023-01-01,3,California
Dry,2023-04-01,2023-04-01,1,California
Wet,2023-07-01,2023-07-01,1,California
Dry,2023-10-01,2023-10-01,1,California
Wet,2024-01-01,2024-01-01,1,California
Dry,2024-04-01,2024-07-01,2,California
Wet,2024-10-01,2024-10-01,1,California
Dry,2025-01-01,2025-04-01,2,California
Wet,1998-01-01,1998-10-01,4,Colorado
Dry,1999-01-01,1999-01-01,1,Colorado
Wet,1999-04-01,1999-07-01,2,Colorado
Dry,1999-10-01,1999-10-01,1,Colorado
Wet,2000-01-01,2000-01-01,1,Colorado
Dry,2000-04-01,2000-07-01,2,Colorado
Wet,2000-10-01,2001-04-01,3,Colorado
Dry,2001-07-01,2002-10-01,6,Colorado
Wet,2003-01-01,2003-01-01,1,Colorado
Dry,2003-04-01,2004-01-01,4,Colorado
Wet,2004-04-01,2004-04-01,1,Colorado
Dry,2004-07-01,2004-07-01,1,Colorado
Wet,2004-10-01,2005-04-01,3,Colorado
Dry,2005-07-01,2006-04-01,4,Colorado
Wet,2006-07-01,2006-10-01,2,Colorado
Dry,2007-01-01,2007-04-01,2,Colorado
Wet,2007-07-01,2008-01-01,3,Colorado
Dry,2008-04-01,2008-07-01,2,Colorado
Wet,2008-10-01,2008-10-01,1,Colorado
Dry,2009-01-01,2009-01-01,1,Colorado
Wet,2009-04-01,2009-04-01,1,Colorado
Dry,2009-07-01,2009-10-01,2,Colorado
Wet,2010-01-01,2010-01-01,1,Colorado
Dry,2010-04-01,2010-07-01,2,Colorado
Wet,2010-10-01,2010-10-01,1,Colorado
Dry,2011-01-01,2011-01-01,1,Colorado
Wet,2011-04-01,2011-04-01,1,Colorado
Dry,2011-07-01,2011-07-01,1,Colorado
Wet,2011-10-01,2011-10-01,1,Colorado
Dry,2012-01-01,2013-04-01,6,Colorado
Wet,2013-07-01,2013-07-01,1,Colorado
Dry,2013-10-01,2014-04-01,3,Colorado
Wet,2014-07-01,2014-07-01,1,Colorado
Dry,2014-10-01,2015-01-01,2,Colorado
Wet,2015-04-01,2015-10-01,3,Colorado
Dry,2016-01-01,2016-01-01,1,Colorado
Wet,2016-04-01,2017-01-01,4,Colorado
Dry,2017-04-01,2017-04-01,1,Colorado
Wet,2017-07-01,2017-07-01,1,Colorado
Dry,2017-10-01,2018-07-01,4,Colorado
Wet,2018-10-01,2019-04-01,3,Colorado
Dry,2019-07-01,2019-07-01,1,Colorado
Wet,2019-10-01,2020-01-01,2,Colorado
Dry,2020-04-01,2021-04-01,5,Colorado
Wet,2021-07-01,2021-10-01,2,Colorado
Dry,2022-01-01,2022-04-01,2,Colorado
Wet,2022-07-01,2023-01-01,3,Colorado
Dry,2023-04-01,2023-10-01,3,Colorado
Wet,2024-01-01,2024-04-01,2,Colorado
Dry,2024-07-01,2025-04-01,4,Colorado
Dry,1998-01-01,1998-04-01,2,Congo
Wet,1998-07-01,1998-07-01,1,Congo
Dry,1998-10-01,1998-10-01,1,Congo
Wet,1999-01-01,1999-01-01,1,Congo
Dry,1999-04-01,1999-04-01,1,Congo
Wet,1999-07-01,1999-10-01,2,Congo
Dry,2000-01-01,2000-04-01,2,Congo
Wet,2000-07-01,2001-04-01,4,Congo
Dry,2001-07-01,2001-10-01,2,Congo
Wet,2002-01-01,2003-01-01,5,Congo
Dry,2003-04-01,2004-04-01,5,Congo
Wet,2004-07-01,2004-10-01,2,Congo
Dry,2005-01-01,2005-10-01,4,Congo
Wet,2006-01-01,2006-04-01,2,Congo
Dry,2006-07-01,2006-07-01,1,Congo
Wet,2006-10-01,2006-10-01,1,Congo
Dry,2007-01-01,2007-01-01,1,Congo
Wet,2007-04-01,2008-01-01,4,Congo
Dry,2008-04-01,2008-04-01,1,Congo
Wet,2008-07-01,2008-07-01,1,Congo
Dry,2008-10-01,2008-10-01,1,Congo
Wet,2009-01-01,2009-04-01,2,Congo
Dry,2009-07-01,2009-07-01,1,Congo
Wet,2009-10-01,2010-01-01,2,Congo
Dry,2010-04-01,2010-04-01,1,Congo
Wet,2010-07-01,2010-07-01,1,Congo
Dry,2010-10-01,2010-10-01,1,Congo
Wet,2011-01-01,2011-01-01,1,Congo
Dry,2011-04-01,2011-04-01,1,Congo
Wet,2011-07-01,2011-07-01,1,Congo
Dry,2011-10-01,2012-04-01,3,Congo
Wet,2012-07-01,2013-01-01,3,Congo
Dry,2013-04-01,2013-07-01,2,Congo
Wet,2013-10-01,2014-01-01,2,Congo
Dry,2014-04-01,2014-10-01,3,Congo
Wet,2015-01-01,2015-01-01,1,Congo
Dry,2015-04-01,2015-07-01,2,Congo
Wet,2015-10-01,2016-07-01,4,Congo
Dry,2016-10-01,2016-10-01,1,Congo
Wet,2017-01-01,2019-01-01,9,Congo
Dry,2019-04-01,2019-07-01,2,Congo
Wet,2019-10-01,2019-10-01,1,Congo
Dry,2020-01-01,2021-04-01,6,Congo
Wet,2021-07-01,2021-07-01,1,Congo
Dry,2021-10-01,2022-01-01,2,Congo
Wet,2022-04-01,2022-04-01,1,Congo
Dry,2022-07-01,2023-01-01,3,Congo
Wet,2023-04-01,2023-04-01,1,Congo
Dry,2023-07-01,2025-01-01,7,Congo
Wet,2025-04-01,2025-04-01,1,Congo
Dry,1998-01-01,1998-01-01,1,Danube
Wet,1998-04-01,1998-10-01,3,Danube
Dry,1999-01-01,1999-01-01,1,Danube
Wet,1999-04-01,1999-10-01,3,Danube
Dry,2000-01-01,2000-10-01,4,Danube
Wet,2001-01-01,2001-07-01,3,Danube
Dry,2001-10-01,2002-04-01,3,Danube
Wet,2002-07-01,2002-10-01,2,Danube
Dry,2003-01-01,2003-07-01,3,Danube
Wet,2003-10-01,2005-07-01,8,Danube
Dry,2005-10-01,2005-10-01,1,Danube
Wet,2006-01-01,2006-04-01,2,Danube
Dry,2006-07-01,2006-10-01,2,Danube
Wet,2007-01-01,2007-01-01,1,Danube
Dry,2007-04-01,2007-04-01,1,Danube
Wet,2007-07-01,2007-10-01,2,Danube
Dry,2008-01-01,2008-04-01,2,Danube
Wet,2008-07-01,2008-07-01,1,Danube
Dry,2008-10-01,2008-10-01,1,Danube
Wet,2009-01-01,2009-01-01,1,Danube
Dry,2009-04-01,2009-07-01,2,Danube
Wet,2009-10-01,2010-10-01,5,Danube
Dry,2011-01-01,2012-01-01,5,Danube
Wet,2012-04-01,2012-04-01,1,Danube
Dry,2012-07-01,2012-07-01,1,Danube
Wet,2012-10-01,2013-04-01,3,Danube
Dry,2013-07-01,2014-01-01,3,Danube
Wet,2014-04-01,2015-01-01,4,Danube
Dry,2015-04-01,2015-10-01,3,Danube
