basin,model,feature,value,abs_normalized
Amazon Basin,Logistic Regression,anomaly_lag1,0.6939077121012722,0.7999349832887241
Amazon Basin,Logistic Regression,anomaly_lag2,0.11060749289231536,0.12750802655081162
Amazon Basin,Logistic Regression,anomaly_lag3,0.32461223598650635,0.37421213086515465
Amazon Basin,Logistic Regression,raw_lag1,0.05896447549331749,0.06797409208141418
Amazon Basin,Logistic Regression,bar_state_lag1,-0.24177239448541712,0.2787145797194151
Amazon Basin,Logistic Regression,rolling_autocorr_3,-0.07706737207473402,0.08884306359130205
Amazon Basin,Logistic Regression,rolling_variance_3,-0.14454263569202128,0.16662836981112894
Amazon Basin,Logistic Regression,rolling_skew_3,-0.37218338013049923,0.4290520205683789
Amazon Basin,Logistic Regression,rolling_autocorr_6,0.364179392602004,0.41982504482190447
Amazon Basin,Logistic Regression,rolling_variance_6,0.2061067736483391,0.2375993459343694
Amazon Basin,Logistic Regression,rolling_skew_6,-0.14406232576677205,0.16607466979407023
Amazon Basin,Logistic Regression,rolling_autocorr_12,-0.0812535183390433,0.09366884198169366
Amazon Basin,Logistic Regression,rolling_variance_12,-0.4409724703722231,0.5083519026612429
Amazon Basin,Logistic Regression,rolling_skew_12,-0.8674551389769848,1.0
Amazon Basin,Logistic Regression,month_sin,-0.03569046841496974,0.04114387800740976
Amazon Basin,Logistic Regression,month_cos,0.13418795115732193,0.15469151674583853
Amazon Basin,Random Forest,anomaly_lag1,0.06455551774380151,0.4281192148556606
Amazon Basin,Random Forest,anomaly_lag2,0.059068746133285735,0.3917320486445757
Amazon Basin,Random Forest,anomaly_lag3,0.091072260973302,0.603972924789432
Amazon Basin,Random Forest,raw_lag1,0.05341608848831589,0.35424475960421015
Amazon Basin,Random Forest,bar_state_lag1,0.033310383539118776,0.22090776661268038
Amazon Basin,Random Forest,rolling_autocorr_3,0.0018208761110157109,0.012075684282964733
Amazon Basin,Random Forest,rolling_variance_3,0.03911428402974465,0.25939806779821634
Amazon Basin,Random Forest,rolling_skew_3,0.0912425001163349,0.6051019165596195
Amazon Basin,Random Forest,rolling_autocorr_6,0.050710964432545934,0.3363049207287858
Amazon Basin,Random Forest,rolling_variance_6,0.04215718443729468,0.2795779715290539
Amazon Basin,Random Forest,rolling_skew_6,0.07538089819184886,0.49991096155537396
Amazon Basin,Random Forest,rolling_autocorr_12,0.10962501739279056,0.7270110753506581
Amazon Basin,Random Forest,rolling_variance_12,0.11124256232926492,0.7377383081635907
Amazon Basin,Random Forest,rolling_skew_12,0.15078864835713168,1.0
Amazon Basin,Random Forest,month_sin,0.012456944655561212,0.08261195249961964
Amazon Basin,Random Forest,month_cos,0.014037123068643067,0.09309137804191459
Amazon Basin,Gradient Boosting,anomaly_lag1,0.06845880645770407,0.4509918201971884
Amazon Basin,Gradient Boosting,anomaly_lag2,0.056746172360967385,0.3738315183468414
Amazon Basin,Gradient Boosting,anomaly_lag3,0.15179611556540346,1.0
Amazon Basin,Gradient Boosting,raw_lag1,0.05585334404448866,0.36794975837457106
Amazon Basin,Gradient Boosting,bar_state_lag1,0.005448319210437265,0.03589234935389227
Amazon Basin,Gradient Boosting,rolling_autocorr_3,0.0,0.0
Amazon Basin,Gradient Boosting,rolling_variance_3,0.05821114113960068,0.3834824160208474
Amazon Basin,Gradient Boosting,rolling_skew_3,0.05039410182775809,0.33198545061612655
Amazon Basin,Gradient Boosting,rolling_autocorr_6,0.046240935042985175,0.3046252855071356
Amazon Basin,Gradient Boosting,rolling_variance_6,0.048739633130962315,0.32108616843994386
Amazon Basin,Gradient Boosting,rolling_skew_6,0.10078112618718404,0.6639242764006112
Amazon Basin,Gradient Boosting,rolling_autocorr_12,0.09264789628311608,0.6103443157160201
Amazon Basin,Gradient Boosting,rolling_variance_12,0.1211626396102281,0.798193281553529
Amazon Basin,Gradient Boosting,rolling_skew_12,0.13630561632758836,0.8979519391512967
Amazon Basin,Gradient Boosting,month_sin,0.0,0.0
Amazon Basin,Gradient Boosting,month_cos,0.007214152811576287,0.0475252794493807
California,Logistic Regression,anomaly_lag1,0.646201459611498,0.7287559039723742
California,Logistic Regression,anomaly_lag2,-0.10464755123212818,0.11801663345439457
California,Logistic Regression,anomaly_lag3,0.31508788292875567,0.3553414365429286
California,Logistic Regression,raw_lag1,0.46453222437930325,0.5238778032246546
California,Logistic Regression,bar_state_lag1,-0.43898427852864963,0.49506602000116295
California,Logistic Regression,rolling_autocorr_3,-0.5514917110510852,0.6219466614357889
California,Logistic Regression,rolling_variance_3,0.2817950694221949,0.3177953523583709
California,Logistic Regression,rolling_skew_3,0.14445610308698326,0.16291086382375577
California,Logistic Regression,rolling_autocorr_6,-0.8867186613365595,1.0
California,Logistic Regression,rolling_variance_6,-0.42196837091016853,0.47587627204566957
California,Logistic Regression,rolling_skew_6,0.5902720361182053,0.6656813055321095
California,Logistic Regression,rolling_autocorr_12,0.31219696673630215,0.3520811959294109
California,Logistic Regression,rolling_variance_12,-0.6984585976143551,0.7876890699035947
California,Logistic Regression,rolling_skew_12,0.6530433134963313,0.7364718280677581
California,Logistic Regression,month_sin,0.19820496738996288,0.2235263291867644
California,Logistic Regression,month_cos,0.16643123925807332,0.1876933987237958
California,Random Forest,anomaly_lag1,0.06139849183904654,0.47256000534583487
California,Random Forest,anomaly_lag2,0.040688850591846154,0.3131660546907871
California,Random Forest,anomaly_lag3,0.03230028438269159,0.24860256503645348
California,Random Forest,raw_lag1,0.12099479137593297,0.9312492464687382
California,Random Forest,bar_state_lag1,0.028376728180818715,0.21840449853357888
California,Random Forest,rolling_autocorr_3,0.019364930177953082,0.14904423926901028
California,Random Forest,rolling_variance_3,0.030994965900791545,0.23855604287754237
California,Random Forest,rolling_skew_3,0.07649800791786687,0.5887750325427905
California,Random Forest,rolling_autocorr_6,0.12992739788487415,1.0
California,Random Forest,rolling_variance_6,0.040060189965356895,0.3083275014932059
California,Random Forest,rolling_skew_6,0.0899731826791516,0.6924881444856987
California,Random Forest,rolling_autocorr_12,0.10485309903694964,0.8070129991355457
California,Random Forest,rolling_variance_12,0.07712986078415647,0.5936381551526151
California,Random Forest,rolling_skew_12,0.07524131500901891,0.5791027622648813
California,Random Forest,month_sin,0.018517250918066677,0.14251998592686674
California,Random Forest,month_cos,0.05368065335547816,0.41315884277959164
California,Gradient Boosting,anomaly_lag1,0.06319271642817284,0.3248524454896851
California,Gradient Boosting,anomaly_lag2,0.061050414654119395,0.3138395944901688
California,Gradient Boosting,anomaly_lag3,0.06264855702169461,0.32205510548086314
California,Gradient Boosting,raw_lag1,0.19452744563124852,1.0
California,Gradient Boosting,bar_state_lag1,0.0,0.0
California,Gradient Boosting,rolling_autocorr_3,0.018958375321417746,0.09745861443816907
California,Gradient Boosting,rolling_variance_3,0.022361085450718427,0.11495079976070166
California,Gradient Boosting,rolling_skew_3,0.05507843668045404,0.28313966958093006
California,Gradient Boosting,rolling_autocorr_6,0.09683741689565352,0.49780850502309654
California,Gradient Boosting,rolling_variance_6,0.046998598696556655,0.24160394716562755
California,Gradient Boosting,rolling_skew_6,0.11642846642797938,0.5985194842309518
California,Gradient Boosting,rolling_autocorr_12,0.046875419205153486,0.24097072293856053
California,Gradient Boosting,rolling_variance_12,0.10400953939687639,0.5346779682391948
California,Gradient Boosting,rolling_skew_12,0.07516154622186216,0.3863801633644047
California,Gradient Boosting,month_sin,0.005631631394143182,0.028950317914617843
California,Gradient Boosting,month_cos,0.03024035057394964,0.1554554447359272
Colorado,Logistic Regression,anomaly_lag1,0.1651739006708036,0.13946734377327646
Colorado,Logistic Regression,anomaly_lag2,0.46318502604723466,0.3910980184884763
Colorado,Logistic Regression,anomaly_lag3,0.22928153340813698,0.19359769497983995
Colorado,Logistic Regression,raw_lag1,-0.61703189895906,0.5210011970517819
Colorado,Logistic Regression,bar_state_lag1,-0.11119473248557386,0.09388913089999011
Colorado,Logistic Regression,rolling_autocorr_3,0.1592921205502112,0.13450096441948015
Colorado,Logistic Regression,rolling_variance_3,-1.1843195417797352,1.0
Colorado,Logistic Regression,rolling_skew_3,-0.6370623563274148,0.5379142485228859
Colorado,Logistic Regression,rolling_autocorr_6,-0.07378697098040793,0.062303262234045906
Colorado,Logistic Regression,rolling_variance_6,-0.15153156213210875,0.12794820720799288
Colorado,Logistic Regression,rolling_skew_6,0.5534503568187235,0.46731505923395167
Colorado,Logistic Regression,rolling_autocorr_12,-0.10698029549752902,0.0903306005883889
Colorado,Logistic Regression,rolling_variance_12,-0.31698543947952407,0.26765195396773955
Colorado,Logistic Regression,rolling_skew_12,-0.12145585526729266,0.10255328142671274
Colorado,Logistic Regression,month_sin,-0.0030783757324026996,0.002599278002097874
Colorado,Logistic Regression,month_cos,0.5852746535192832,0.4941864360692404
Colorado,Random Forest,anomaly_lag1,0.08102583002835077,0.5738373542846285
Colorado,Random Forest,anomaly_lag2,0.049778770875478724,0.3525408893525759
Colorado,Random Forest,anomaly_lag3,0.05459168460683991,0.38662668250073745
Colorado,Random Forest,raw_lag1,0.08569400496741265,0.6068980851087592
Colorado,Random Forest,bar_state_lag1,0.059395157538267206,0.42064561445593746
Colorado,Random Forest,rolling_autocorr_3,0.00457918866614853,0.03243051639253062
Colorado,Random Forest,rolling_variance_3,0.14119999233817956,1.0
Colorado,Random Forest,rolling_skew_3,0.11721544128391818,0.830137731191816
Colorado,Random Forest,rolling_autocorr_6,0.046752796795110685,0.33111047685566364
Colorado,Random Forest,rolling_variance_6,0.0863698384517019,0.6116844414895061
Colorado,Random Forest,rolling_skew_6,0.07185332905388879,0.5088762956997704
Colorado,Random Forest,rolling_autocorr_12,0.05240411857364987,0.3711340043711896
Colorado,Random Forest,rolling_variance_12,0.07360089385723154,0.5212528176414803
Colorado,Random Forest,rolling_skew_12,0.04292755267184363,0.304019511339848
Colorado,Random Forest,month_sin,0.018546178887742727,0.13134688310268386
Colorado,Random Forest,month_cos,0.014065221404235374,0.09961205501023408
Colorado,Gradient Boosting,anomaly_lag1,0.0388829521624754,0.2517013482507941
Colorado,Gradient Boosting,anomaly_lag2,0.054134536283949514,0.35042955876049336
Colorado,Gradient Boosting,anomaly_lag3,0.08049431098255377,0.5210645147561667
Colorado,Gradient Boosting,raw_lag1,0.06955575863138332,0.45025588985554604
Colorado,Gradient Boosting,bar_state_lag1,0.045623705833585874,0.295336326895301
Colorado,Gradient Boosting,rolling_autocorr_3,0.0,0.0
Colorado,Gradient Boosting,rolling_variance_3,0.1544805080810795,1.0
Colorado,Gradient Boosting,rolling_skew_3,0.1093518621833931,0.707868348840486
Colorado,Gradient Boosting,rolling_autocorr_6,0.09564260504554027,0.6191240968429622
Colorado,Gradient Boosting,rolling_variance_6,0.09005430803970126,0.5829493258297417
Colorado,Gradient Boosting,rolling_skew_6,0.12282382410319378,0.7950765156645483
Colorado,Gradient Boosting,rolling_autocorr_12,0.0443810933075041,0.2872925125557625
Colorado,Gradient Boosting,rolling_variance_12,0.056574784862470855,0.36622604084637933
Colorado,Gradient Boosting,rolling_skew_12,0.02413511461358891,0.15623404475677627
Colorado,Gradient Boosting,month_sin,0.007274740782436145,0.04709164199937754
Colorado,Gradient Boosting,month_cos,0.006589895087144289,0.04265842447699334
Congo,Logistic Regression,anomaly_lag1,0.5249772805393592,0.28451581585311997
Congo,Logistic Regression,anomaly_lag2,-0.35197810888022313,0.19075747184260655
Congo,Logistic Regression,anomaly_lag3,0.7513239683597177,0.40718629120149563
Congo,Logistic Regression,raw_lag1,1.845160273305778,1.0
Congo,Logistic Regression,bar_state_lag1,-1.3885631154091198,0.7525433619494628
Congo,Logistic Regression,rolling_autocorr_3,0.4631288361955785,0.25099653558324214
Congo,Logistic Regression,rolling_variance_3,-0.1366763403677228,0.07407288263520562
Congo,Logistic Regression,rolling_skew_3,0.6695445345742291,0.3628652449657813
Congo,Logistic Regression,rolling_autocorr_6,1.1475193089249183,0.621907660557329
Congo,Logistic Regression,rolling_variance_6,0.25042378898564716,0.1357192611441766
Congo,Logistic Regression,rolling_skew_6,-0.19758899028051474,0.10708500130805196
Congo,Logistic Regression,rolling_autocorr_12,0.010082745201663398,0.005464427858941063
Congo,Logistic Regression,rolling_variance_12,-0.30437001151933873,0.1649558663942137
Congo,Logistic Regression,rolling_skew_12,-0.20623616766612413,0.11177141121547814
Congo,Logistic Regression,month_sin,-0.44379090714801767,0.24051618364453758
Congo,Logistic Regression,month_cos,-0.49456460923900775,0.2680334149796911
Congo,Random Forest,anomaly_lag1,0.11684345920421978,1.0
Congo,Random Forest,anomaly_lag2,0.06681220270138559,0.5718095232409268
Congo,Random Forest,anomaly_lag3,0.09138956073969846,0.782153843801964
Congo,Random Forest,raw_lag1,0.054118463635525416,0.46317067300221576
Congo,Random Forest,bar_state_lag1,0.06880412081624974,0.5888572735251996
Congo,Random Forest,rolling_autocorr_3,0.0012848146718755353,0.010996034186474466
Congo,Random Forest,rolling_variance_3,0.06663684813796852,0.5703087583319507
Congo,Random Forest,rolling_skew_3,0.07977704422836923,0.6827685928823314
Congo,Random Forest,rolling_autocorr_6,0.09096716733122094,0.7785388069710254
