model,basin,n_years_evaluated,n_years_total,accuracy,precision,recall,f1,roc_auc
Logistic Regression,Amazon Basin,25,25,0.5918367346938775,0.18421052631578946,0.4375,0.25925925925925924,0.5548780487804879
Random Forest,Amazon Basin,25,25,0.8163265306122449,0.375,0.1875,0.25,0.5876524390243902
Gradient Boosting,Amazon Basin,25,25,0.7551020408163265,0.16666666666666666,0.125,0.14285714285714285,0.4961890243902439
Logistic Regression,California,25,25,0.6122448979591837,0.2682926829268293,0.5789473684210527,0.36666666666666664,0.5709526982011992
Random Forest,California,25,25,0.7551020408163265,0.3076923076923077,0.21052631578947367,0.25,0.5902731512325118
Gradient Boosting,California,25,25,0.7346938775510204,0.26666666666666666,0.21052631578947367,0.23529411764705882,0.5149900066622252
Logistic Regression,Colorado,25,25,0.5102040816326531,0.1282051282051282,0.2631578947368421,0.1724137931034483,0.45569620253164556
Random Forest,Colorado,25,25,0.7142857142857143,0.09090909090909091,0.05263157894736842,0.06666666666666667,0.5043304463690872
Gradient Boosting,Colorado,25,25,0.6836734693877551,0.125,0.10526315789473684,0.11428571428571428,0.37375083277814786
Logistic Regression,Congo,25,25,0.6632653061224489,0.19444444444444445,0.6363636363636364,0.2978723404255319,0.5924764890282131
Random Forest,Congo,25,25,0.8571428571428571,0.0,0.0,0.0,0.6133751306165098
Gradient Boosting,Congo,25,25,0.8571428571428571,0.0,0.0,0.0,0.5924764890282131
Logistic Regression,Danube,25,25,0.5612244897959183,0.14285714285714285,0.2777777777777778,0.18867924528301888,0.4298611111111111
Random Forest,Danube,25,25,0.7040816326530612,0.17647058823529413,0.16666666666666666,0.17142857142857143,0.5826388888888889
Gradient Boosting,Danube,25,25,0.7244897959183674,0.23529411764705882,0.2222222222222222,0.22857142857142856,0.5152777777777777
Logistic Regression,Ganges / Bhramaputra Basin,25,25,0.6428571428571429,0.3902439024390244,0.6153846153846154,0.47761194029850745,0.6511752136752137
Random Forest,Ganges / Bhramaputra Basin,25,25,0.7551020408163265,0.55,0.4230769230769231,0.4782608695652174,0.7280982905982907
Gradient Boosting,Ganges / Bhramaputra Basin,25,25,0.7448979591836735,0.52,0.5,0.5098039215686274,0.7681623931623932
Logistic Regression,Mekong Basin,25,25,0.5918367346938775,0.25,0.6111111111111112,0.3548387096774194,0.5847222222222221
Random Forest,Mekong Basin,25,25,0.7448979591836735,0.23076923076923078,0.16666666666666666,0.1935483870967742,0.6381944444444444
Gradient Boosting,Mekong Basin,25,25,0.7551020408163265,0.2857142857142857,0.2222222222222222,0.25,0.6770833333333334
Logistic Regression,Mississippi / Missouri,25,25,0.5306122448979592,0.16666666666666666,0.2727272727272727,0.20689655172413793,0.4527511961722488
Random Forest,Mississippi / Missouri,25,25,0.6938775510204082,0.1,0.045454545454545456,0.0625,0.4940191387559809
Gradient Boosting,Mississippi / Missouri,25,25,0.6122448979591837,0.05555555555555555,0.045454545454545456,0.05,0.4796650717703349
Logistic Regression,Murray,25,25,0.6326530612244898,0.2222222222222222,0.5,0.3076923076923077,0.5274390243902438
Random Forest,Murray,25,25,0.7551020408163265,0.1,0.0625,0.07692307692307693,0.6158536585365854
Gradient Boosting,Murray,25,25,0.7551020408163265,0.21428571428571427,0.1875,0.2,0.6608231707317074
Logistic Regression,Nile,25,25,0.5204081632653061,0.2,0.45,0.27692307692307694,0.4403846153846154
Random Forest,Nile,25,25,0.7142857142857143,0.0,0.0,0.0,0.4685897435897436
Gradient Boosting,Nile,25,25,0.6836734693877551,0.17647058823529413,0.15,0.16216216216216217,0.4769230769230769
Logistic Regression,Yangtze Basin,25,25,0.6530612244897959,0.23529411764705882,0.5,0.32,0.5167682926829268
Random Forest,Yangtze Basin,25,25,0.7959183673469388,0.25,0.125,0.16666666666666666,0.5853658536585366
Gradient Boosting,Yangtze Basin,25,25,0.7755102040816326,0.25,0.1875,0.21428571428571427,0.6120426829268293
