accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.7051282051282052,0.3103448275862069,0.75,0.43902439024390244,0.8017676767676767,0.43037296141719705,0.5440958168347457,Logistic Regression,Amazon Basin,train
0.45,0.26666666666666666,1.0,0.42105263157894735,0.8125,0.5720518265342286,1.000518541138581,Logistic Regression,Amazon Basin,test
0.9487179487179487,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9873737373737375,0.28657278145562476,0.31123854696619635,Random Forest,Amazon Basin,train
0.75,0.42857142857142855,0.75,0.5454545454545454,0.796875,0.4426785455214766,0.5806125086588989,Random Forest,Amazon Basin,test
1.0,1.0,1.0,1.0,1.0,0.060136299373840255,0.04367384230170335,Gradient Boosting,Amazon Basin,train
0.8,0.5,0.5,0.5,0.71875,0.3752654010119489,0.49539172114786634,Gradient Boosting,Amazon Basin,test
0.7692307692307693,0.38461538461538464,0.8333333333333334,0.5263157894736842,0.8914141414141414,0.3788945934296713,0.4259123018930443,Logistic Regression,California,train
0.4,0.2222222222222222,0.2857142857142857,0.25,0.3406593406593406,0.6439265776718985,1.3224570302593783,Logistic Regression,California,test
0.9487179487179487,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9886363636363636,0.27002545740684725,0.2739102478074066,Random Forest,California,train
0.65,0.5,0.14285714285714285,0.2222222222222222,0.5054945054945055,0.5144926558993107,0.7879186507241748,Random Forest,California,test
1.0,1.0,1.0,1.0,1.0,0.055918348490599255,0.03911792080293005,Gradient Boosting,California,train
0.65,0.5,0.2857142857142857,0.36363636363636365,0.42857142857142855,0.5577953988373395,1.5112151262473672,Gradient Boosting,California,test
0.7564102564102564,0.45454545454545453,0.9375,0.6122448979591837,0.8608870967741936,0.4012535295682978,0.4814959387080775,Logistic Regression,Colorado,train
0.5,0.0,0.0,0.0,0.3137254901960784,0.5350143846163625,0.7937064116357849,Logistic Regression,Colorado,test
0.9358974358974359,0.8235294117647058,0.875,0.8484848484848485,0.9889112903225807,0.3068699506792613,0.3436131259726798,Random Forest,Colorado,train
0.75,0.0,0.0,0.0,0.5294117647058824,0.4121385919505229,0.5094114636623134,Random Forest,Colorado,test
1.0,1.0,1.0,1.0,1.0,0.06955353090519316,0.05515000952527754,Gradient Boosting,Colorado,train
0.75,0.0,0.0,0.0,0.5882352941176471,0.4474372372340148,0.5797047685584212,Gradient Boosting,Colorado,test
0.6794871794871795,0.36666666666666664,0.6470588235294118,0.46808510638297873,0.7434908389585343,0.4539186551080686,0.5991449780582163,Logistic Regression,Danube,train
0.75,0.16666666666666666,1.0,0.2857142857142857,0.9473684210526316,0.37197633315953643,0.44261331361494693,Logistic Regression,Danube,test
0.9743589743589743,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9980713596914175,0.32609073694622603,0.3787466827609034,Random Forest,Danube,train
