basin,model,feature,value,abs_normalized
Amazon Basin,Logistic Regression,anomaly_lag1,0.3860255588668176,0.5928655136271254
Amazon Basin,Logistic Regression,anomaly_lag2,0.4112612590418337,0.6316229896603712
Amazon Basin,Logistic Regression,anomaly_lag3,0.41341142231452777,0.6349252519685719
Amazon Basin,Logistic Regression,raw_lag1,0.2112450153128121,0.32443417703284566
Amazon Basin,Logistic Regression,bar_state_lag1,-0.6511182553107704,1.0
Amazon Basin,Logistic Regression,rolling_autocorr_3,-0.022739331677891213,0.03492350505061177
Amazon Basin,Logistic Regression,rolling_variance_3,0.09421480979848505,0.1446969256813688
Amazon Basin,Logistic Regression,rolling_skew_3,-0.03481501926573321,0.05346957942242987
Amazon Basin,Logistic Regression,rolling_autocorr_6,0.415898001841877,0.6387441888622432
Amazon Basin,Logistic Regression,rolling_variance_6,-0.42889510008010806,0.658705383518086
Amazon Basin,Logistic Regression,rolling_skew_6,-0.08347163187229784,0.12819734539996563
Amazon Basin,Logistic Regression,rolling_autocorr_12,-0.3803149437947446,0.5840950406362438
Amazon Basin,Logistic Regression,rolling_variance_12,0.09761821210326616,0.14992393671511212
Amazon Basin,Logistic Regression,rolling_skew_12,-0.19842205956914236,0.30474043378562327
Amazon Basin,Logistic Regression,month_sin,0.0757899862925217,0.11639972566327159
Amazon Basin,Logistic Regression,month_cos,0.4596150290578792,0.70588564413466
Amazon Basin,Random Forest,anomaly_lag1,0.11997239218055875,1.0
Amazon Basin,Random Forest,anomaly_lag2,0.10745757421840395,0.8956858512638477
Amazon Basin,Random Forest,anomaly_lag3,0.10507526436386629,0.87582870070414
Amazon Basin,Random Forest,raw_lag1,0.07222798115498218,0.6020383510089462
Amazon Basin,Random Forest,bar_state_lag1,0.06246688230506613,0.5206771422132962
Amazon Basin,Random Forest,rolling_autocorr_3,0.0026040427815113634,0.02170535015749517
Amazon Basin,Random Forest,rolling_variance_3,0.045355011630561125,0.37804540533210107
Amazon Basin,Random Forest,rolling_skew_3,0.04424713428471954,0.3688109695948006
Amazon Basin,Random Forest,rolling_autocorr_6,0.07216141488852007,0.6014835044709033
Amazon Basin,Random Forest,rolling_variance_6,0.044766897064105235,0.37314332281322643
Amazon Basin,Random Forest,rolling_skew_6,0.03561088580154707,0.2968256709256293
Amazon Basin,Random Forest,rolling_autocorr_12,0.10423088161749602,0.8687905585864145
Amazon Basin,Random Forest,rolling_variance_12,0.07518747389292817,0.6267064657656475
Amazon Basin,Random Forest,rolling_skew_12,0.038098796737606196,0.31756303300402156
Amazon Basin,Random Forest,month_sin,0.024760339979386675,0.20638364818234434
