model,basin,n_years_evaluated,n_years_total,accuracy,precision,recall,f1,roc_auc
Logistic Regression,Amazon Basin,27,27,0.6234177215189873,0.13675213675213677,0.47058823529411764,0.2119205298013245,0.5492282019190655
Random Forest,Amazon Basin,27,27,0.8607594936708861,0.2727272727272727,0.17647058823529413,0.21428571428571427,0.6352732582394659
Gradient Boosting,Amazon Basin,27,27,0.8227848101265823,0.21052631578947367,0.23529411764705882,0.2222222222222222,0.6435127242386317
Logistic Regression,California,27,27,0.6772151898734177,0.41379310344827586,0.7792207792207793,0.5405405405405406,0.7370537412378417
Random Forest,California,27,27,0.6962025316455697,0.42276422764227645,0.6753246753246753,0.52,0.7543335325762104
Gradient Boosting,California,27,27,0.6835443037974683,0.3838383838383838,0.4935064935064935,0.4318181818181818,0.7317285225235016
Logistic Regression,Colorado,27,27,0.5506329113924051,0.18382352941176472,0.44642857142857145,0.2604166666666667,0.5203296703296704
Random Forest,Colorado,27,27,0.7531645569620253,0.2962962962962963,0.2857142857142857,0.2909090909090909,0.7172390109890109
Gradient Boosting,Colorado,27,27,0.7183544303797469,0.2962962962962963,0.42857142857142855,0.35036496350364965,0.7243818681318681
Logistic Regression,Congo,27,27,0.49050632911392406,0.11486486486486487,0.3617021276595745,0.17435897435897435,0.38606343431147666
Random Forest,Congo,27,27,0.7468354430379747,0.0975609756097561,0.0851063829787234,0.09090909090909091,0.5925808747923753
Gradient Boosting,Congo,27,27,0.7246835443037974,0.19696969696969696,0.2765957446808511,0.23008849557522124,0.5800838408605552
Logistic Regression,Danube,27,27,0.5443037974683544,0.1875,0.375,0.25,0.49869791666666663
Random Forest,Danube,27,27,0.7151898734177216,0.30303030303030304,0.3125,0.3076923076923077,0.6775793650793651
Gradient Boosting,Danube,27,27,0.7531645569620253,0.390625,0.390625,0.390625,0.6877480158730158
Logistic Regression,Ganges / Bhramaputra Basin,27,27,0.6740506329113924,0.4076923076923077,0.6708860759493671,0.507177033492823,0.7054959141163275
Random Forest,Ganges / Bhramaputra Basin,27,27,0.7120253164556962,0.44642857142857145,0.6329113924050633,0.5235602094240838,0.7547935694066121
Gradient Boosting,Ganges / Bhramaputra Basin,27,27,0.6772151898734177,0.3904761904761905,0.5189873417721519,0.44565217391304346,0.715216578539764
Logistic Regression,Mekong Basin,27,27,0.5949367088607594,0.29850746268656714,0.5405405405405406,0.38461538461538464,0.613971409425955
Random Forest,Mekong Basin,27,27,0.7215189873417721,0.42045454545454547,0.5,0.4567901234567901,0.7051597051597052
Gradient Boosting,Mekong Basin,27,27,0.6930379746835443,0.37362637362637363,0.4594594594594595,0.4121212121212121,0.6526133571588117
Logistic Regression,Mississippi / Missouri,27,27,0.5474683544303798,0.2116788321167883,0.453125,0.2885572139303483,0.4946676587301588
Random Forest,Mississippi / Missouri,27,27,0.6740506329113924,0.208955223880597,0.21875,0.21374045801526717,0.6673487103174602
Gradient Boosting,Mississippi / Missouri,27,27,0.6613924050632911,0.25287356321839083,0.34375,0.2913907284768212,0.6532738095238095
Logistic Regression,Murray,27,27,0.5379746835443038,0.15602836879432624,0.4489795918367347,0.23157894736842105,0.4875793013834748
Random Forest,Murray,27,27,0.7721518987341772,0.17142857142857143,0.12244897959183673,0.14285714285714285,0.6389971719024687
Gradient Boosting,Murray,27,27,0.7120253164556962,0.18181818181818182,0.24489795918367346,0.20869565217391303,0.6104104563173585
Logistic Regression,Nile,27,27,0.5949367088607594,0.1984126984126984,0.4807692307692308,0.2808988764044944,0.5531031468531469
Random Forest,Nile,27,27,0.7436708860759493,0.22641509433962265,0.23076923076923078,0.22857142857142856,0.699009324009324
Gradient Boosting,Nile,27,27,0.7120253164556962,0.2,0.25,0.2222222222222222,0.6292249417249417
Logistic Regression,Yangtze Basin,27,27,0.5316455696202531,0.23129251700680273,0.4927536231884058,0.3148148148148148,0.5368773103326879
Random Forest,Yangtze Basin,27,27,0.680379746835443,0.3181818181818182,0.4057971014492754,0.35668789808917195,0.6850906530540397
Gradient Boosting,Yangtze Basin,27,27,0.6993670886075949,0.3522727272727273,0.4492753623188406,0.39490445859872614,0.703690664789063
