year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,3284.2780000000002,2532.973,31318.699999999997,4615.161,643.976,42395.088
2002,2,2125.1220000000003,5216.206,31511.892999999996,5860.182,686.908,45400.311
2002,3,3284.2780000000002,5924.579,58193.967000000004,53385.611000000004,171.727,120960.16200000001
2002,4,3327.21,3992.651,29537.032999999996,12342.874,0.0,49199.768
2002,5,8006.77,21315.606,88460.83899999999,59610.714,407.851,177801.78
2002,6,47246.375,77684.974,192784.956,25351.189,1094.76,344162.254
2002,7,96918.39,413969.252,387136.917,19061.69,5709.921,922796.1699999999
2002,8,1166777.217,1964019.531,1166412.3,20027.654,3005.2219999999998,4320241.924
2002,9,717260.489,1826358.926,1143916.069,34409.785,6289.4980000000005,3728234.7670000005
2002,10,675788.436,1400776.638,827079.87,108874.878,13738.155999999999,3026257.978
2002,11,154339.586,520096.5,382822.279,42781.473,38273.641,1138313.479
2002,12,36363.179,93376.524,94664.475,2704.7,2103.656,229212.534
2003,1,14231.869999999999,36019.726,192098.048,12578.997,1309.419,256238.06000000003
2003,2,74572.42300000001,40763.682,163677.239,33980.468,858.635,313852.44700000004
2003,3,216697.931,58730.613,194158.77000000002,19619.802,1395.281,490602.39700000006
2003,4,63689.228,22839.682999999997,80217.946,16743.376,3434.5389999999998,186924.77199999997
2003,5,14553.858999999999,51797.139,110162.831,34839.103,493.716,211846.64800000002
2003,6,38488.30100000001,45700.831000000006,255293.561,44541.674,515.18,384539.54699999996
2003,7,219638.75400000002,529541.48,546435.12,27648.038,3219.88,1326483.2719999996
2003,8,504362.021,1165789.7929999998,778824.598,16700.445,5967.514,2471644.3709999993
2003,9,849468.767,1657980.6619999998,935804.4859999999,25157.998,3606.2670000000003,3472018.1799999997
2003,10,206608.973,371423.902,273088.767,56390.831999999995,2404.178,909916.6519999999
2003,11,91487.529,234493.135,164922.26,42309.224,3198.413,536410.561
2003,12,51067.297000000006,135857.474,119350.224,8242.892,1609.941,316127.828
2004,1,6246.568,41021.272,168871.978,11698.896999999999,2125.121,229963.836
2004,2,44005.028,27154.322,136823.439,12858.056,1051.828,221892.67300000004
2004,3,3262.813,13373.235,130662.734,20263.78,1030.362,168592.924
2004,4,4228.776,7963.8369999999995,33272.094,15691.549,944.499,62100.755
