year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,0.0,279.056,558.113,21.466,0.0,858.6350000000001
2002,2,0.0,257.59,4464.901,1674.338,85.863,6482.692
2002,3,0.0,0.0,2318.313,429.317,0.0,2747.63
2002,4,107.329,64.398,1223.555,515.181,0.0,1910.4630000000002
2002,5,0.0,214.659,6804.68,0.0,107.329,7126.668
2002,6,21.466,2189.5190000000002,41858.441000000006,794.237,1245.02,46108.683000000005
2002,7,64719.59,6074.841,170503.385,2339.779,4142.913,247780.508
2002,8,99966.54400000001,9294.720000000001,63410.172999999995,6353.896,64.398,179089.731
2002,9,3284.2780000000002,3928.254,32885.709,16958.035,64.398,57120.674
2002,10,622.5110000000001,343.454,2468.575,4099.98,0.0,7534.5199999999995
2002,11,708.374,2382.7110000000002,4872.751,1631.406,150.261,9745.503
2002,12,536.647,407.851,21.466,0.0,0.0,965.964
2003,1,665.442,364.92,386.386,21.466,0.0,1438.214
2003,2,0.0,0.0,42.932,1094.759,0.0,1137.691
2003,3,0.0,214.659,965.964,1438.213,85.863,2704.699
2003,4,0.0,0.0,0.0,128.795,0.0,128.795
2003,5,0.0,472.25,6353.897,686.908,64.398,7577.453
2003,6,601.044,257.59000000000003,28356.41,2683.2329999999997,128.796,32027.073
2003,7,2876.426,407.852,56240.572,2125.1209999999996,579.578,62229.549
2003,8,7191.066000000001,2618.835,37372.075,8071.166,579.579,55832.72099999999
2003,9,18482.111,4207.3099999999995,18804.1,17043.898999999998,493.715,59031.134999999995
2003,10,4486.366,8414.62,167133.24300000002,13738.154999999999,5430.864,199203.24800000002
2003,11,3262.812,2189.518,33701.411,11011.99,643.976,50809.707
2003,12,0.0,0.0,300.522,171.726,0.0,472.248
2004,1,0.0,493.715,236.125,965.964,0.0,1695.804
2004,2,0.0,0.0,193.193,923.032,21.466,1137.691
2004,3,364.91999999999996,708.374,8543.416000000001,15820.344000000001,150.261,25587.315000000002
2004,4,386.386,0.0,4464.901,1330.884,42.932,6225.103
2004,5,2962.29,407.851,11999.42,729.84,0.0,16099.401
2004,6,21.466,364.919,11076.387999999999,1223.554,622.51,13308.837
2004,7,1738.7359999999999,3048.1530000000002,39175.208,3992.652,3627.732,51582.481
2004,8,3606.2650000000003,1609.94,16077.934000000001,9595.242,493.714,31383.095
2004,9,515.181,1202.089,12171.146,22947.012000000002,193.19299999999998,37028.621
2004,10,1245.02,4185.844,12299.942000000001,3606.2659999999996,21.466,21358.538
2004,11,2704.699,6246.567,11054.922,1781.667,171.727,21959.582000000002
2004,12,0.0,64.398,493.71500000000003,364.91999999999996,0.0,923.033
2005,1,0.0,0.0,64.398,944.498,0.0,1008.8960000000001
2005,2,257.59,64.398,815.703,42.932,64.398,1245.0209999999997
2005,3,300.522,0.0,343.454,2940.8230000000003,171.72699999999998,3756.5260000000003
2005,4,0.0,0.0,150.261,4486.366,42.932,4679.559
2005,5,0.0,21.466,6439.76,622.51,536.647,7620.383000000001
2005,6,0.0,858.635,260295.107,815.702,429.317,262398.761
2005,7,193.193,965.964,135277.896,1416.7469999999998,944.498,138798.298
2005,8,4658.093,2404.1769999999997,59181.396,4980.082,1051.827,72275.575
