year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,0.0,279.056,729.84,21.466,0.0,1030.3619999999999
2002,2,0.0,279.056,9487.914,1803.133,85.863,11655.966
2002,3,21.466,386.386,5581.125,1824.598,0.0,7813.575
2002,4,0.0,5581.126,9831.367,772.772,42.932,16228.197000000002
2002,5,107.33,18482.112,50680.913,858.634,193.192,70322.18100000001
2002,6,193.193,94235.157,357406.691,9788.436,2082.1890000000003,463705.66599999997
2002,7,3777.9930000000004,17301.488999999998,149660.029,16700.446,3541.8689999999997,190981.826
2002,8,3799.458,10797.331,75774.511,2640.301,880.101,93891.702
2002,9,1502.611,4057.048,35375.75,16035.002999999999,279.057,57249.469
2002,10,558.113,64.398,2597.37,3348.675,0.0,6568.5560000000005
2002,11,150.261,1524.076,2876.425,1502.6109999999999,150.261,6203.634000000001
2002,12,0.0,601.044,1567.009,257.59,21.466,2447.109
2003,1,665.442,858.635,2812.029,472.249,85.863,4894.218
2003,2,0.0,0.0,42.932,1094.759,0.0,1137.691
2003,3,0.0,236.125,5495.262000000001,2597.37,107.32900000000001,8436.086000000001
2003,4,0.0,107.32900000000001,1309.418,150.261,64.398,1631.4059999999997
2003,5,0.0,5280.603999999999,8049.700000000001,2575.904,107.33,16013.538
2003,6,193.19299999999998,25780.506999999998,87988.59,13351.769,214.659,127528.718
2003,7,622.5110000000001,11527.171,124544.962,19297.814000000002,236.125,156228.583
2003,8,85.864,3692.1289999999995,47074.646,2017.7920000000001,858.635,53729.066000000006
2003,9,7534.519,4894.218,28334.945,16979.502,1652.8719999999998,59396.056000000004
2003,10,3563.334,8972.733,175247.34100000001,9659.641,5452.33,202895.37900000002
2003,11,1008.896,2189.518,36212.917,11119.319,665.442,51196.092
2003,12,0.0,0.0,536.647,708.373,0.0,1245.02
2004,1,0.0,493.715,472.25,1953.3940000000002,0.0,2919.3590000000004
2004,2,0.0,0.0,1245.021,1309.4180000000001,0.0,2554.4390000000003
2004,3,128.795,1030.362,12450.203,15584.220000000001,171.727,29365.307
2004,4,0.0,429.317,7105.203,1416.747,64.398,9015.664999999999
2004,5,343.454,4293.173,32134.404000000002,2897.893,21.466,39690.39
2004,6,21.466,20070.586,48620.191,4507.831,321.988,73542.062
2004,7,1652.8719999999998,17859.601000000002,75667.183,6031.91,3069.619,104281.18500000001
2004,8,1567.008,2532.9730000000004,26939.663,3541.868,4507.832,39089.344000000005
2004,9,515.181,1309.418,18181.59,21787.856,794.237,42588.282
2004,10,515.181,4228.776,13652.291000000001,3820.924,21.466,22238.638
2004,11,107.329,1588.474,4786.889,2168.053,171.727,8822.472
2004,12,0.0,64.398,2769.097,2833.495,21.466,5688.456
2005,1,0.0,0.0,107.33,1567.008,0.0,1674.338
2005,2,0.0,0.0,1609.94,321.988,85.864,2017.7920000000001
2005,3,0.0,85.863,1073.2939999999999,1180.622,214.659,2554.438
2005,4,0.0,236.125,6096.3060000000005,4271.707,2575.904,13180.042000000001
2005,5,0.0,128.796,16636.046,1073.2939999999999,2382.712,20220.847999999998
2005,6,0.0,23075.808,464800.424,3563.334,4099.98,495539.546
2005,7,150.261,10732.935,272938.503,11011.99,815.703,295649.392
2005,8,0.0,2382.7110000000002,63474.57,3799.459,1051.827,70708.56700000001
2005,9,536.647,751.3050000000001,19770.065,7792.109,4314.639999999999,33164.766
2005,10,214.659,1245.02,29172.113999999998,7427.191000000001,1073.2939999999999,39132.278
2005,11,601.044,364.92,15541.289,4464.900000000001,472.249,21444.402000000002
2005,12,0.0,21.466,4121.447,1738.7359999999999,0.0,5881.649
2006,1,0.0,21.466,14382.130000000001,2704.699,2962.289,20070.584000000003
2006,2,0.0,515.181,23419.261000000002,3026.6879999999996,1846.0649999999998,28807.195
2006,3,0.0,21.466,10647.07,150.261,0.0,10818.797
2006,4,21.466,6568.5560000000005,20950.684999999998,7942.371,21.466,35504.544
2006,5,85.863,11591.568000000001,25093.597999999998,1287.953,21.466,38080.448
2006,6,880.0999999999999,10797.331,151549.024,2189.5170000000003,85.864,165501.836
2006,7,4615.161,4593.695,318682.267,8822.471,923.033,337636.62700000004
2006,8,8543.415,1738.736,154103.46099999998,815.702,815.7040000000001,166017.01799999998
2006,9,19705.667,11376.909,178574.55,11935.022,1738.736,223330.884
2006,10,794.237,1781.667,23204.602000000003,7298.394,3241.3469999999998,36320.247
2006,11,64.398,128.796,1309.417,14510.927,171.726,16185.264000000001
2006,12,0.0,386.385,10711.469000000001,2919.358,21.466,14038.678000000002
2007,1,0.0,214.659,2382.712,3370.14,407.851,6375.362
2007,2,85.863,42.932,923.033,1373.8149999999998,0.0,2425.643
2007,3,0.0,472.249,9058.595,8693.676,364.919,18589.439
2007,4,0.0,107.329,1395.281,171.727,21.466,1695.8029999999999
2007,5,0.0,15541.288,15906.208,1245.019,150.261,32842.776
2007,6,64.398,7684.782,41600.851,12686.328,729.8389999999999,62766.198000000004
2007,7,4207.3099999999995,5023.013,468256.43000000005,6890.543,364.92,484742.216
2007,8,4829.82,25587.314,59481.918,3692.128,2511.507,96102.68699999999
2007,9,3627.732,4851.286999999999,53256.816999999995,14382.132,42.932,76160.9
2007,10,1266.486,14188.938999999998,117375.362,5259.139,5087.411,143177.33699999997
2007,11,64.398,257.59,4250.242,1116.2250000000001,193.193,5881.648000000001
2007,12,0.0,601.0440000000001,2769.097,2532.973,128.796,6031.910000000001
2008,1,0.0,0.0,1266.486,450.783,0.0,1717.2690000000002
2008,2,0.0,1352.35,3477.4700000000003,407.851,2210.984,7448.654999999999
2008,3,0.0,64.398,7491.5869999999995,3649.1980000000003,193.19299999999998,11398.376
2008,4,21.466,536.6469999999999,33744.345,880.101,171.727,35354.286
2008,5,901.567,3627.731,25673.177,579.578,64.398,30846.451
2008,6,24385.225,14038.678,124480.56400000001,4765.423,150.261,167820.151
2008,7,93934.635,7212.532,113082.19,7899.438999999999,2940.823,225069.61900000004
2008,8,17387.353,3305.7430000000004,62723.264,2275.382,300.522,85992.264
2008,9,6632.953,1330.8839999999998,9466.447,8178.496,193.19299999999998,25801.972999999998
2008,10,4937.149,3069.62,26810.869,6160.704,1159.1570000000002,42137.498999999996
2008,11,1352.35,901.566,17108.297,2854.96,1674.338,23891.511
2008,12,0.0,85.863,3906.788,1094.759,0.0,5087.41
2009,1,0.0,364.92,7169.6,3541.868,21.466,11097.854000000001
2009,2,0.0,1438.213,2575.904,1309.4180000000001,193.193,5516.728
2009,3,0.0,686.908,21809.321,12729.259,21.466,35246.954
2009,4,0.0,1652.872,16850.704999999998,558.113,85.863,19147.553
2009,5,42.932,3134.0170000000003,17408.818,751.305,1008.896,22345.968
2009,6,601.0450000000001,12664.862,67424.289,8650.744,236.12500000000003,89577.065
2009,7,772.771,1051.828,24342.293,7040.805,880.1010000000001,34087.798
2009,8,7835.0419999999995,23912.976,106599.497,1266.4859999999999,665.442,140279.44300000003
2009,9,815.703,11698.899000000001,41901.373,6997.872,257.591,61671.438
2009,10,42.932,1416.748,9037.131,5838.716,0.0,16335.527
2009,11,193.19299999999998,665.441,7126.6669999999995,1545.543,85.864,9616.707999999999
2009,12,0.0,0.0,1910.462,1888.9959999999999,21.466,3820.9239999999995
2010,1,0.0,0.0,128.795,386.385,0.0,515.18
2010,2,0.0,1888.996,2661.767,579.578,279.056,5409.397
