year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,1430399.535,7576399.343,874369.174,149788.824,3520.401,10034477.277
2002,2,1181803.325,1610841.614,529498.55,53428.543,3777.996,3379350.028
2002,3,20993.618,121539.741,175483.468,42824.405,4507.8330000000005,365349.06499999994
2002,4,5731.388,509363.565,265511.314,13888.416000000001,3198.415,797693.098
2002,5,187461.419,7026121.832,2198963.4499999997,116709.92,10496.807999999999,9539753.429
2002,6,1031542.259,7981417.328,3296040.997,82772.383,4014.121,12395787.087999998
2002,7,2446786.889,10303723.649,6531934.632,46645.331,6697.35,19335787.851000004
2002,8,2983648.231,9253742.216,6280376.137,28506.674000000003,19340.746,18565614.003999997
2002,9,1039420.231,4827759.426,1929030.168,10217.755000000001,9101.528,7815529.107999999
2002,10,240847.033,3118239.217,1403481.337,60920.132,14704.119999999999,4838191.839000001
2002,11,23805.648,1794718.2410000002,2880740.866,233548.638,2597.371,4935410.764
2002,12,937865.213,13833914.333,2023737.575,210472.829,3069.619,17009059.569
2003,1,2698173.66,13250171.529,1087589.634,145731.776,3370.143,17185036.742
2003,2,1331699.48,2127288.9159999997,668168.053,53170.952000000005,4486.367,4184813.7679999997
2003,3,216590.604,523573.969,422727.326,24685.746,3670.6659999999997,1191248.311
2003,4,28270.545,1113606.263,346824.017,31554.825,4121.448,1524377.098
2003,5,918417.13,9174898.082,2563582.673,140279.445,11291.047,12808468.377000002
2003,6,1404468.771,8375745.308999999,3920225.491,41150.07,5495.263,13747084.904000001
2003,7,2854015.859,12188233.609000001,6898228.192,51883.004,11119.321,22003479.985000003
2003,8,2891709.925,9048528.522,7524623.667,37973.121,12321.404999999999,19515156.64
2003,9,1280567.784,5226552.313,2346691.55,10067.492,12385.806999999999,8876264.946
2003,10,297001.74199999997,3555906.7860000003,1015958.036,29494.102,9724.038,4908084.704
2003,11,15391.028,1427372.848,3288055.6999999997,144250.628,6740.282999999999,4881810.486999999
2003,12,1824791.9170000001,18799871.011,2195593.311,294082.384,3563.335,23117901.958
2004,1,897402.0499999999,7379514.4059999995,601688.265,76547.284,794.238,8955946.242999999
2004,2,1903120.865,2952393.925,880229.352,99773.35,3670.665,5839188.157
2004,3,238185.267,707042.739,558584.798,39110.812,1738.7350000000001,1544662.351
2004,4,28442.273,765107.91,291313.287,30975.247,2532.976,1118371.6930000002
2004,5,573052.794,9693449.039,2672242.892,102306.327,19405.146,13060456.198
2004,6,2454514.599,12466946.433,4996395.28,67510.151,18653.841,20004020.303999998
2004,7,2411518.467,11327666.986,6517187.585,47976.214,13866.949999999999,20318216.202
2004,8,2956472.443,7853631.019,6840012.763,22496.229,16056.470000000001,17688668.924
2004,9,1703660.028,5322976.99,2943614.388,9638.175,12385.806999999999,9992275.388
2004,10,222622.512,3033942.756,1780507.834,57249.469,12299.942,5106622.512999999
2004,11,13544.964,2384836.397,3946564.109,145452.718,4550.767,6494948.955000001
