year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,343.454,0.0,3670.663,0.0,21.466,4035.583
2002,2,0.0,751.3059999999999,6074.841,18911.429,128.79500000000002,25866.371
2002,3,1395.281,4293.175,5538.1939999999995,15176.37,257.59000000000003,26660.61
2002,4,0.0,21.466,21.466,42.932,0.0,85.864
2002,5,0.0,0.0,0.0,0.0,0.0,0.0
2002,6,0.0,42.932,2790.563,39583.058,150.261,42566.814
2002,7,42.932,0.0,4099.98,64333.207,107.33000000000001,68583.44900000001
2002,8,0.0,0.0,1588.474,67338.426,321.988,69248.888
2002,9,21.466,150.261,128.796,26961.129,729.84,27991.492000000002
2002,10,150.261,64.398,107.329,9895.766,128.796,10346.55
2002,11,21.466,2296.848,128.79500000000002,4250.242,236.12399999999997,6933.475
2002,12,0.0,0.0,0.0,0.0,0.0,0.0
2003,1,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,686.908,321.988,85.864,0.0,643.9760000000001,1738.736
2003,3,2962.29,9766.971,7706.247,28206.151,1760.202,50401.861
2003,4,0.0,64.398,300.523,2490.042,0.0,2854.9629999999997
2003,5,0.0,0.0,0.0,214.659,0.0,214.659
2003,6,0.0,0.0,0.0,987.4300000000001,0.0,987.4300000000001
2003,7,279.056,558.112,5516.729,14618.259,279.057,21251.213
2003,8,4078.517,9702.572,40377.296,37887.256,880.101,92925.742
2003,9,2082.191,1051.828,11613.034,115228.775,708.374,130684.20199999999
2003,10,64.398,21.466,493.714,3627.733,429.318,4636.629
2003,11,0.0,0.0,729.8389999999999,772.771,515.1809999999999,2017.7909999999997
2003,12,0.0,0.0,0.0,0.0,0.0,0.0
2004,1,0.0,0.0,0.0,0.0,0.0,0.0
2004,2,21.466,0.0,279.05600000000004,1073.2930000000001,64.398,1438.213
2004,3,3005.223,6461.227,12643.398000000001,11355.444,450.784,33916.076
2004,4,0.0,0.0,85.864,21.466,42.932,150.262
2004,5,0.0,0.0,0.0,4851.286,193.193,5044.479
2004,6,0.0,0.0,21.466,8543.416000000001,21.466,8586.348000000002
2004,7,21.466,85.864,450.784,82149.873,150.262,82858.24900000001
2004,8,42.932,300.522,3906.7910000000006,193579.188,214.66,198044.093
2004,9,42.932,257.591,4185.845,96403.216,193.19400000000002,101082.778
2004,10,21.466,64.398,85.864,15605.687,42.932,15820.347
2004,11,0.0,64.398,0.0,515.182,0.0,579.58
2004,12,128.795,128.796,150.261,858.635,0.0,1266.487
2005,1,0.0,21.466,64.398,1824.598,0.0,1910.462
2005,2,0.0,0.0,171.727,0.0,0.0,171.727
2005,3,3777.993,6632.951,9251.791,10496.810000000001,4722.49,34882.035
2005,4,85.863,364.921,429.31800000000004,2296.8480000000004,0.0,3176.9500000000007
2005,5,0.0,0.0,0.0,42.932,21.466,64.398
2005,6,21.466,0.0,150.261,11720.364000000001,0.0,11892.091000000002
2005,7,0.0,193.193,923.033,118126.66799999999,171.727,119414.62099999998
2005,8,107.329,257.59000000000003,1760.2,190251.981,407.853,192784.953
2005,9,0.0,64.398,1030.362,58022.241,257.591,59374.592000000004
2005,10,128.796,214.659,128.79500000000002,30545.928,236.12500000000003,31254.303
2005,11,42.932,0.0,21.466,429.318,0.0,493.716
2005,12,0.0,0.0,0.0,0.0,0.0,0.0
2006,1,0.0,0.0,193.192,4915.684,193.19299999999998,5302.069
2006,2,0.0,21.466,643.976,171.727,0.0,837.169
2006,3,8436.088,21100.949,18138.659,128408.818,5108.876,181193.38999999998
2006,4,171.727,450.783,0.0,257.592,0.0,880.102
2006,5,0.0,0.0,0.0,0.0,0.0,0.0
2006,6,0.0,0.0,858.635,20650.163999999997,64.398,21573.196999999996
2006,7,128.79500000000002,1502.611,5602.593,142662.156,257.591,150153.74599999998
2006,8,21.466,171.728,3756.5280000000002,200534.13199999998,429.319,204913.17299999998
2006,9,64.398,42.932,837.169,43532.779,128.795,44606.073000000004
2006,10,107.33,472.248,858.634,21229.747,64.398,22732.357
2006,11,300.523,1953.395,5194.74,24149.1,407.853,32005.610999999997
2006,12,0.0,536.6469999999999,472.24899999999997,2039.257,42.932,3091.085
2007,1,364.92,1695.8039999999999,10389.48,6697.349,965.965,20113.518
2007,2,343.455,429.31899999999996,4636.63,2640.303,85.863,8135.570000000001
2007,3,3756.529,7577.45,11591.568,34173.663,794.237,57893.447
2007,4,150.261,236.125,815.7040000000001,85.864,0.0,1287.9540000000002
