year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,8350.223,407.85200000000003,3091.085,128.79500000000002,0.0,11977.955
2002,2,39325.469,4851.286,10196.287,3885.3219999999997,21.466,58279.83
2002,3,122226.648,23226.069,49199.769,22367.435,236.124,217256.045
2002,4,58193.967000000004,4808.356,38681.494,47825.952000000005,815.702,150325.47100000002
2002,5,7899.44,5302.07,10496.809000000001,227173.274,1073.2939999999999,251944.887
2002,6,128.79500000000002,64.398,128.796,579.578,0.0,901.567
2002,7,0.0,0.0,0.0,0.0,0.0,0.0
2002,8,0.0,0.0,0.0,0.0,0.0,0.0
2002,9,0.0,64.398,64.398,13201.508000000002,450.783,13781.087000000001
2002,10,0.0,64.398,0.0,47911.816,279.057,48255.271
2002,11,622.51,1846.065,0.0,53664.669,300.522,56433.765999999996
2002,12,1781.667,1781.667,1266.4859999999999,9144.459,236.124,14210.403
2003,1,12772.19,6504.157,6718.816,1846.065,279.056,28120.284
2003,2,74035.77799999999,14832.914,12965.383,7083.736,64.398,108982.209
2003,3,467118.742,47890.351,103894.799,29150.646,300.522,648355.0599999999
2003,4,493392.962,40913.941999999995,107758.652,141696.192,622.511,784384.2590000001
2003,5,37822.86,12793.658,36062.657999999996,279378.26300000004,815.703,366873.142
2003,6,27862.696000000004,7319.862,20371.108,1309.4180000000001,21.466,56884.55
2003,7,0.0,0.0,0.0,0.0,0.0,0.0
2003,8,0.0,0.0,0.0,0.0,0.0,0.0
2003,9,0.0,21.466,0.0,5302.0689999999995,150.261,5473.796
2003,10,0.0,0.0,42.932,60018.564000000006,493.715,60555.211
2003,11,0.0,0.0,450.784,83609.553,944.499,85004.836
2003,12,2039.2579999999998,1116.225,579.577,9122.993999999999,128.79500000000002,12986.848999999998
2004,1,13287.372,3391.6059999999998,2382.711,1631.407,193.19299999999998,20886.288999999997
2004,2,118255.463,15841.811,25587.313,21895.187,171.727,181751.50100000002
2004,3,1025488.8790000001,102993.23,448357.57,104109.456,214.66000000000003,1681163.7950000002
2004,4,152901.374,7384.258,48663.119,106642.429,429.318,316020.4980000001
2004,5,20585.768,3863.855,24492.556,361077.353,772.7710000000001,410792.303
2004,6,42.932,0.0,1824.599,0.0,0.0,1867.531
2004,7,0.0,0.0,0.0,0.0,0.0,0.0
2004,8,0.0,0.0,0.0,0.0,0.0,0.0
2004,9,0.0,0.0,0.0,11849.159,300.522,12149.681
2004,10,0.0,42.932,64.398,129632.373,601.046,130340.74900000001
2004,11,193.193,214.659,171.727,83802.746,407.85200000000003,84790.177
2004,12,1116.224,42.932,1073.293,2168.0530000000003,150.261,4550.763000000001
2005,1,7920.905000000001,493.71500000000003,1738.7350000000001,236.126,0.0,10389.481000000002
2005,2,272337.46,32198.8,41407.659,19405.145,171.727,365520.791
2005,3,257912.396,23311.931,114584.8,39969.445,107.33000000000001,435885.902
2005,4,271951.072,14210.405,88954.55500000001,161036.937,772.772,536925.741
2005,5,32671.051,8199.964,36663.703,426741.442,1373.816,505649.97599999997
2005,6,19491.009000000002,7341.325999999999,20134.983,1974.86,21.466,48963.644
2005,7,128.79500000000002,0.0,0.0,0.0,0.0,128.79500000000002
2005,8,0.0,0.0,0.0,0.0,0.0,0.0
2005,9,257.59,0.0,386.38599999999997,8350.223,214.65900000000002,9208.858
2005,10,0.0,64.398,128.795,116559.659,601.0450000000001,117353.897
2005,11,343.454,858.635,1352.35,139012.95799999998,536.646,142104.043
2005,12,1588.475,2769.0969999999998,1760.201,3219.88,0.0,9337.653
2006,1,44477.276,9724.037,24213.498,1953.394,729.841,81098.04599999999
2006,2,154296.655,19512.476,40527.56,21744.925,42.932,236124.54799999998
2006,3,477937.535,53128.019,271779.34599999996,40549.026,279.057,843672.9829999999
2006,4,257311.352,8543.414999999999,137188.362,87022.627,321.98900000000003,490387.74499999994
2006,5,9852.832,1051.828,8758.074999999999,40935.409,64.398,60662.542
2006,6,128.795,0.0,386.386,493.71500000000003,0.0,1008.8960000000001
2006,7,0.0,0.0,0.0,0.0,0.0,0.0
2006,8,0.0,0.0,0.0,665.442,0.0,665.442
2006,9,0.0,0.0,107.329,83867.144,622.51,84596.983
2006,10,0.0,601.0450000000001,837.1690000000001,100717.84999999999,493.715,102649.779
2006,11,300.522,1266.4859999999999,3370.1409999999996,79960.35500000001,450.784,85348.28800000002
2006,12,1373.816,1180.623,1781.667,8758.073,107.33,13201.509
2007,1,6482.692,4486.367,4529.296,3434.539,150.261,19083.155
2007,2,28935.989,18718.236,7019.338,6611.4890000000005,236.125,61521.17700000001
2007,3,790544.963,65363.568,286783.98600000003,50015.471,515.182,1193223.17
2007,4,413110.616,14403.597,180871.4,196691.74500000002,601.044,805678.402
2007,5,26510.347,1223.555,13029.782,52462.581,193.19299999999998,93419.458
2007,6,11462.773000000001,7362.792,13931.348,407.85099999999994,42.932,33207.696
2007,7,0.0,0.0,0.0,0.0,0.0,0.0
2007,8,0.0,0.0,0.0,0.0,0.0,0.0
2007,9,0.0,21.466,558.113,94857.668,515.181,95952.428
2007,10,0.0,0.0,4271.7080000000005,124995.745,708.374,129975.82699999999
2007,11,42.932,708.374,7534.519,68755.174,343.454,77384.453
2007,12,944.499,2447.109,5087.41,7019.339,601.0450000000001,16099.402
