year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,868058.211,1042232.254,178574.54799999998,256839.105,815.705,2346519.823
2002,2,351074.259,244861.15,135986.273,139613.999,429.319,871965.0000000001
2002,3,303656.159,143821.311,237348.097,110055.502,1846.068,796727.137
2002,4,274033.265,26767.939,121131.891,25093.597999999998,3692.13,450718.82300000003
2002,5,901.5699999999999,429.318,901.567,1330.885,21.466,3584.806
2002,6,257.591,343.454,257.591,0.0,107.329,965.965
2002,7,2532.973,3005.221,7040.803999999999,3219.88,0.0,15798.878
2002,8,0.0,0.0,0.0,0.0,0.0,0.0
2002,9,0.0,0.0,0.0,0.0,0.0,0.0
2002,10,64.398,171.727,407.851,965.964,0.0,1609.94
2002,11,944.4979999999999,236.125,665.442,5731.387,21.466,7598.918
2002,12,28935.989,78715.337,6246.569,53814.931,193.19299999999998,167906.019
2003,1,672117.773,753645.135,151613.425,315805.84,1008.899,1894191.0720000002
2003,2,703608.201,443678.016,224168.057,211631.987,3219.8830000000003,1586306.1439999999
2003,3,613494.488,173701.801,303784.952,225799.464,2125.123,1318905.8279999997
2003,4,393941.595,89577.063,207231.484,76160.898,1416.7469999999998,768327.787
2003,5,39175.209,3541.868,19705.666,2468.575,64.398,64955.716
2003,6,2039.2569999999998,601.045,1846.064,3112.551,407.851,8006.767999999999
2003,7,236.125,128.79500000000002,42.932,4636.627,0.0,5044.479
2003,8,0.0,236.124,622.509,279.057,42.932,1180.622
2003,9,0.0,21.466,21.466,901.566,21.466,965.964
2003,10,279.057,300.522,1438.2130000000002,6010.445,42.932,8071.169
2003,11,5709.923,4765.424,8929.803,26660.608,343.455,46409.213
2003,12,82815.31700000001,136651.712,43833.305,90392.769,257.591,353950.694
2004,1,1021388.9,955789.21,263193.003,511209.632,837.171,2752417.916
2004,2,606367.82,324563.914,336842.395,361399.342,6289.4980000000005,1635462.9689999998
2004,3,2429335.137,316449.818,1078080.256,277403.40499999997,4743.956,4106012.5719999997
2004,4,450847.608,20972.155,92646.688,17430.285,1159.159,583055.895
2004,5,24385.227000000003,665.442,5302.071,2275.382,429.319,33057.441000000006
2004,6,1996.3260000000002,751.306,2704.7,2640.302,686.908,8779.542
2004,7,171.727,21.466,85.863,2103.656,21.466,2404.178
2004,8,64.398,64.398,128.795,1373.816,0.0,1631.4070000000002
2004,9,536.6469999999999,794.2370000000001,128.796,407.85200000000003,64.398,1931.93
2004,10,643.976,2146.5879999999997,2726.167,3692.13,21.466,9230.327000000001
2004,11,25651.713,53664.666,13652.293,45164.183,236.126,138368.981
2004,12,454368.01499999996,637772.388,67145.235,176406.501,643.977,1336336.116
2005,1,753022.632,514601.234,297516.923,627511.7,1910.4650000000001,2194562.954
2005,2,632277.125,370672.596,426440.923,365112.938,2597.372,1797100.9540000001
2005,3,528554.051,226121.448,460185.264,439642.428,3992.6549999999997,1658495.8460000001
2005,4,330059.175,56626.962,228246.567,136587.315,4400.504,755920.523
2005,5,66179.269,10668.538,43575.714,5452.332,3456.0060000000003,129331.859
2005,6,880.101,579.579,1180.623,3584.801,300.522,6525.625999999999
2005,7,858.635,1373.816,987.4300000000001,193.193,85.864,3498.9380000000006
2005,8,214.659,107.33,1137.691,343.454,64.398,1867.532
2005,9,214.659,214.659,64.398,0.0,21.466,515.182
2005,10,858.634,214.65900000000002,515.181,1266.486,0.0,2854.96
2005,11,193.19400000000002,171.728,1073.295,3756.528,64.398,5259.143
2005,12,17773.738,46752.661,6697.351,20564.301,107.33000000000001,91895.38100000001
2006,1,607612.842,685813.0009999999,127614.584,176771.416,665.443,1598477.2859999998
2006,2,772749.7609999999,645092.248,291699.667,309773.931,2146.588,2021462.1949999998
2006,3,697662.159,163097.663,445395.28500000003,139528.138,1652.873,1447336.1179999998
2006,4,234257.00999999998,40420.229,115722.488,25587.313,622.51,416609.55000000005
2006,5,6783.216,772.77,3670.664,2017.792,0.0,13244.442000000001
2006,6,279.057,1846.0649999999998,2039.258,429.318,0.0,4593.698
2006,7,150.261,214.659,1051.828,193.193,42.932,1652.873
2006,8,279.057,64.398,150.261,300.523,0.0,794.239
2006,9,4765.423000000001,150.261,364.91999999999996,85.864,0.0,5366.468000000001
2006,10,472.25,1202.089,3241.345,2039.2579999999998,42.932,6997.873999999999
2006,11,9938.697,8285.829,12385.807,18525.042999999998,171.728,49307.104
2006,12,64397.606999999996,108896.345,21723.458,44885.129,343.45500000000004,240245.99399999998
2007,1,1198332.042,1250215.045,329264.933,530528.912,1803.134,3310144.066
2007,2,416137.299,354852.252,425367.627,185465.101,1094.761,1382917.0399999998
2007,3,1579759.04,273990.331,884930.383,310160.318,3928.254,3052768.3260000004
2007,4,906074.259,38788.825,253082.58000000002,34710.309,1137.692,1233793.6649999998
2007,5,4786.889,1180.623,6912.011,7534.518,279.056,20693.097
2007,6,343.455,665.443,1287.952,3992.652,0.0,6289.502
2007,7,923.0319999999999,279.056,1373.815,1008.896,0.0,3584.799
2007,8,85.863,257.59,85.864,3005.2219999999998,171.727,3606.2659999999996
2007,9,386.386,85.864,0.0,107.329,0.0,579.579
2007,10,85.863,64.398,42.932,3627.732,107.33,3928.255
2007,11,1094.76,2103.656,6590.022,16743.376,321.989,26853.803
2007,12,28292.015,53857.859000000004,22152.776,25136.529000000002,708.375,130147.554
2008,1,716208.665,882912.591,155777.799,188985.498,686.9079999999999,1944571.4610000001
2008,2,372132.278,335661.769,161509.188,265489.847,1652.873,1136445.9549999998
2008,3,604693.486,265768.908,413604.32999999996,415729.455,3391.609,1703187.788
