year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,364.92,837.169,6289.499,2726.166,0.0,10217.754
2002,2,2575.904,1116.225,15412.492,3606.266,214.65900000000002,22925.546
2002,3,8178.4980000000005,1459.68,14382.131000000001,4357.571,107.32900000000001,28485.209000000003
2002,4,2189.5190000000002,1395.281,13824.017999999998,9444.981,42.932,26896.731
2002,5,27970.025,6053.374,127335.526,46065.751000000004,64.398,207489.07399999996
2002,6,3241.344,34044.865,753001.159,12428.738,3198.4170000000004,805914.523
2002,7,1524.076,43940.630000000005,261883.58299999998,46022.82,2554.439,355925.548
2002,8,2532.9700000000003,3692.129,64054.147,20907.754,579.58,91766.58
2002,9,450.783,1395.282,39389.866,72554.635,300.522,114091.08799999999
2002,10,1137.691,4572.228,7319.862,19512.474000000002,1116.225,33658.48
2002,11,12858.054,11269.58,17623.474000000002,19319.281000000003,42.932,61113.321
2002,12,815.7040000000001,3906.788,9831.368,2532.973,150.261,17237.093999999997
2003,1,5108.877,8350.223,9230.323,7942.371,2125.1220000000003,32756.916
2003,2,6310.965999999999,6504.158,11419.841,515.181,214.659,24964.805
2003,3,29408.239,14510.927,145560.048,10990.525,923.0330000000001,201392.772
2003,4,12128.214,12278.476,180678.207,34860.57,515.181,240460.64800000002
2003,5,944.4979999999999,2103.6549999999997,11956.489,10775.865,321.98799999999994,26102.495
2003,6,1867.531,11634.501,45464.708,37779.927,300.522,97047.189
2003,7,14768.518,16528.719,142855.348,171040.032,536.6469999999999,345729.26399999997
2003,8,40677.82,33035.969,347961.71,31855.347,1030.3629999999998,454561.20900000003
2003,9,9423.516,17966.93,61864.633,94063.429,1545.543,184864.051
2003,10,31340.167,6847.613,29987.819,226679.56,1008.897,295864.056
2003,11,14897.312,12235.545,20478.436999999998,9316.187,85.863,57013.34399999999
2003,12,2511.507,10475.344,8801.007,21787.856,751.3050000000001,44327.019
2004,1,1395.281,2404.178,16228.196000000002,1373.816,686.908,22088.379
2004,2,23569.521999999997,13502.032,30030.748,7448.658,515.182,75066.14199999999
2004,3,45572.034,19426.609,164578.806,22388.901,751.306,252717.65600000005
2004,4,5988.978,2554.44,91358.734,29494.102,150.262,129546.516
2004,5,2661.767,128.796,15455.423999999999,5559.659,85.864,23891.51
2004,6,21.466,1266.487,23633.921,29515.568,257.59,54695.03199999999
2004,7,1073.2939999999999,144186.232,297237.866,92754.01299999999,3262.812,538514.2170000001
2004,8,622.51,96424.676,66179.27,49156.837999999996,1781.6680000000001,214164.962
2004,9,13459.099,10368.014,26231.29,277424.87,1051.8290000000002,328535.102
2004,10,16786.307,2532.973,19576.872,72318.506,729.841,111944.499
2004,11,1223.555,2897.892,7233.999,8629.278,279.057,20263.781000000003
2004,12,1481.144,6375.363,8285.825,28292.014,1116.226,45550.57200000001
2005,1,4743.956999999999,8715.143,26338.618,3649.196,321.988,43768.90199999999
2005,2,8285.825,2597.371,36062.657,17043.898,364.92,64354.671
2005,3,28098.82,21465.868,132809.32200000001,24234.966,450.784,207059.76000000004
2005,4,6740.282999999999,2919.3579999999997,275750.532,48942.175,128.796,334481.144
2005,5,3777.992,5194.74,5709.92,38423.902,493.715,53600.269
2005,6,300.522,25887.837,74508.025,16120.868,880.1020000000001,117697.35399999999
2005,7,407.85200000000003,11033.458,281889.767,69527.945,4142.912,367001.934
2005,8,7233.997,12922.452,73263.007,40978.344,4014.117,138411.917
2005,9,4829.8189999999995,30996.712000000003,60834.268,90006.38,6761.749,193428.928
2005,10,2447.11,4872.751,28635.469,105569.135,944.499,142468.964
2005,11,37221.814,26682.073999999997,40892.479999999996,30717.657,601.044,136115.069
2005,12,1481.144,8285.824999999999,24149.101000000002,26746.472,944.498,61607.04
2006,1,6396.83,7577.451,83673.949,5473.796,214.659,103336.685
2006,2,15670.085,10153.356,28742.797000000002,41879.909,837.17,97283.317
2006,3,35311.352,26016.630999999998,335511.507,21766.388,1008.896,419614.774
2006,4,3842.39,7319.861,278669.88899999997,57614.387,107.33,347553.85699999996
2006,5,3649.199,2275.383,28442.274999999998,32091.472,107.33000000000001,66565.659
2006,6,1051.828,320721.52300000004,449795.78300000005,13180.041,8479.018,793228.1930000001
2006,7,5838.714999999999,154554.24500000002,540145.617,28764.262000000002,4271.709,733574.5480000001
2006,8,2919.3599999999997,23698.321,365885.709,29515.565,601.045,422619.99999999994
2006,9,11892.091,5774.3189999999995,63538.967,118191.06599999999,300.523,199696.96599999996
2006,10,9552.312,3928.254,19662.734,71996.521,150.261,105290.082
2006,11,8092.631,2833.495,12729.26,15755.949999999999,837.169,40248.505
2006,12,2532.974,5065.9439999999995,13866.951000000001,28399.343,837.1679999999999,50702.38
2007,1,2339.781,880.101,4786.889,923.0319999999999,450.783,9380.586
2007,2,27433.378,12428.737,63581.898,14747.052,407.852,118598.917
2007,3,25458.517,8071.166,51281.958,50616.515,1073.294,136501.45
2007,4,16528.717,6117.773,52977.76,21337.071,171.727,97133.048
2007,5,59760.975,1824.6,71309.614,13716.689,794.236,147406.11400000003
2007,6,2704.699,17387.354,169215.434,11570.104,2318.314,203195.90500000003
