year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,191260.878,10861.728,487854.766,558.112,2854.96,693390.4439999999
2002,2,128.795,3863.8559999999998,102048.73300000001,880.1,579.578,107501.062
2002,3,214.659,4293.174,82021.08,8715.142,407.852,95651.90699999999
2002,4,364.92,11999.42,192870.818,39132.276,279.056,244646.49000000002
2002,5,0.0,48641.656,205986.46300000002,10303.617,1567.008,266498.744
2002,6,1116.225,160586.154,156872.55800000002,1266.4859999999999,214.659,320056.082
2002,7,4529.298,148307.678,209335.13900000002,1459.678,472.249,364104.0420000001
2002,8,13137.110999999999,209850.31900000002,687294.1410000001,1030.361,708.374,912020.3060000001
2002,9,28184.682999999997,639639.915,966844.13,193.19299999999998,300.522,1635162.4430000002
2002,10,229641.849,1393971.959,2101444.015,1695.803,1846.064,3728599.6899999995
2002,11,96574.938,532074.4539999999,2161312.318,1781.6680000000001,965.964,2792709.342
2002,12,110398.955,272251.59500000003,2114366.4680000003,407.85200000000003,1309.4180000000001,2498734.288
2003,1,766245.6,133968.479,803553.277,2575.9039999999995,3091.085,1709434.345
2003,2,213885.902,2082.1890000000003,91015.278,2683.233,300.523,309967.125
2003,3,1245.02,665.441,30760.587,3563.334,279.056,36513.437999999995
2003,4,493.71500000000003,2919.357,13824.019,23891.511,343.454,41472.056
2003,5,21.466,41386.192,71760.395,19040.224,300.52200000000005,132508.799
2003,6,21.466,175783.988,71416.94099999999,236.125,321.988,247780.508
2003,7,3498.9359999999997,119951.267,118019.33799999999,321.988,1116.2250000000001,242907.75400000002
2003,8,4207.3099999999995,155970.992,109669.117,536.647,386.386,270770.452
2003,9,70536.839,508225.875,293331.078,429.317,1137.691,873660.8
2003,10,12686.328000000001,777472.249,902425.0630000001,1073.2930000000001,2876.426,1696533.3590000002
2003,11,16507.252,1179506.478,2116813.5749999997,3327.21,1738.735,3317893.2499999995
2003,12,1094.7600000000002,80647.264,269568.363,171.727,579.579,352061.693
2004,1,1524.076,2017.792,33315.026,1695.804,257.591,38810.289000000004
2004,2,279.057,214.658,22453.297,3348.675,0.0,26295.686999999998
2004,3,2382.712,472.249,54995.552,26145.427,21.466,84017.406
2004,4,4185.844,901.5659999999999,70772.965,192312.705,751.306,268924.38599999994
2004,5,3069.619,2361.245,114134.01699999999,251086.25,214.65900000000002,370865.79
2004,6,1888.9959999999999,65964.611,237734.48099999997,12815.122,536.647,318939.85699999996
2004,7,364.919,128537.614,217792.69,236.125,558.113,347489.461
2004,8,8736.607999999998,201650.358,237240.766,708.373,923.032,449259.13700000005
2004,9,4421.968,347661.188,463984.722,880.101,1953.394,818901.373
2004,10,30760.588,674500.483,3920526.0100000002,558.112,1502.611,4627847.804
2004,11,9165.925,775411.525,2612396.054,1953.3940000000002,643.976,3399570.874
2004,12,2897.892,75152.002,232303.615,1717.269,150.261,312221.03899999993
2005,1,1888.997,7813.576,198645.135,62401.277,107.329,270856.314
2005,2,923.0319999999999,7019.339000000001,54780.893,10754.401000000002,2253.9159999999997,75731.58099999999
2005,3,1996.326,3735.0609999999997,80647.263,38252.176,1116.226,125747.052
2005,4,4486.367,13265.905999999999,71803.326,213520.982,1223.554,304300.135
2005,5,300.522,86013.73,180549.41,42051.635,1073.2930000000001,309988.59
2005,6,321.988,85927.867,71717.463,1567.008,107.329,159641.655
2005,7,279.056,128902.534,109497.389,1266.486,3992.652,243938.117
2005,8,4486.367,249089.925,403450.977,64.398,2382.7110000000002,659474.378
2005,9,8479.018,629164.572,375137.49799999996,1266.487,1116.225,1015163.7999999999
2005,10,20714.561999999998,845991.297,1272281.956,2253.916,1609.94,2142851.671
2005,11,10775.865999999998,568480.564,1005869.0769999999,536.6469999999999,901.567,1586563.7210000001
2005,12,36685.166999999994,357878.941,911462.1930000001,2253.916,1159.156,1309439.373
2006,1,34280.99,20499.904000000002,255701.411,30932.315,665.442,342080.062
2006,2,923.032,9230.323,53085.09,3026.6870000000004,364.92,66630.052
2006,3,1395.2820000000002,3692.13,65148.909,20456.970999999998,665.441,91358.733
2006,4,1051.8269999999998,1180.622,53900.793,144937.536,236.125,201306.903
2006,5,321.988,1309.418,54630.631,190595.437,1309.419,248166.893
2006,6,901.567,837.1679999999999,20392.574,42502.416999999994,880.1,65513.825999999994
2006,7,515.1800000000001,34924.966,69978.728,1545.542,12020.885,118985.301
2006,8,6139.237999999999,606174.628,409590.214,1159.1570000000002,987.43,1024050.6670000001
2006,9,4207.3099999999995,389798.685,563371.689,579.579,6053.375,964010.638
2006,10,8264.359,557017.7910000001,464263.779,1631.405,1287.952,1032465.2860000002
2006,11,98120.47899999999,823795.59,4108395.2809999995,5838.715999999999,1846.065,5037996.131
2006,12,714083.542,300221.621,1339727.7110000001,601.0450000000001,150.262,2354784.181
2007,1,167798.685,55639.528,76869.27100000001,3863.856,3627.7309999999998,307799.071
2007,2,4014.117,944.4979999999999,127807.77399999999,343.454,4035.583,137145.426
2007,3,450.78299999999996,1545.5430000000001,34710.307,1674.338,3176.948,41557.919
2007,4,5194.74,2704.699,65814.349,3563.334,1695.8039999999999,78972.926
2007,5,279.056,13566.428,51711.274,880.101,1287.952,67724.811
2007,6,0.0,38595.63,65857.28099999999,429.317,815.703,105697.93099999998
2007,7,1245.0210000000002,150905.047,138970.026,42.932,729.84,291892.86600000004
2007,8,9573.777,125725.58499999999,186001.74000000002,472.249,493.715,322267.06600000005
2007,9,13587.894,323855.54000000004,681562.754,472.249,880.101,1020358.538
2007,10,20177.916,461430.28500000003,1039119.7059999999,1974.859,1008.8960000000001,1523711.6619999998
2007,11,3799.4590000000003,399136.337,2120548.636,2661.767,558.113,2526704.312
2007,12,30073.68,164793.46300000002,402012.76399999997,1888.996,429.317,599198.2200000001
2008,1,493.715,987.43,84554.05200000001,85.864,0.0,86121.06100000002
2008,2,21.466,729.8389999999999,21358.538,923.033,64.398,23097.274
2008,3,2532.9719999999998,536.646,20092.052,4701.025000000001,472.249,28334.944
2008,4,4550.764,3928.254,26317.154000000002,76869.272,1030.362,112695.806
2008,5,472.25,23333.398,73520.595,10647.070000000002,279.057,108252.37000000001
2008,6,0.0,63581.899,61113.324,1073.2939999999999,944.498,126713.015
2008,7,21.466,68969.832,133131.31,85.863,236.125,202444.59600000002
2008,8,1245.021,230779.539,190745.69700000001,64.398,1481.145,424315.8
2008,9,3176.9480000000003,490108.683,294103.84900000005,64.398,987.43,788441.3080000001
2008,10,9595.243,683022.4330000001,1146255.8509999998,2039.257,1330.884,1842243.6679999998
2008,11,6203.636,496119.126,2275510.733,3305.743,193.193,2781332.431
