year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,1063719.588,9013989.945,5055984.528,872179.656,1330.884,16007204.601
2002,2,854878.168,4089698.511,3199208.471,460206.727,5237.674,8609229.551
2002,3,47804.486000000004,1337430.866,1467449.6239999998,314389.094,837.1700000000001,3167911.2399999998
2002,4,2125.121,563221.427,866856.12,221849.742,1008.896,1655061.306
2002,5,364.919,109647.65000000001,408066.136,56906.015,14467.995,589452.715
2002,6,22818.218,457995.747,730590.799,35998.26,858.636,1248261.66
2002,7,75624.25099999999,492062.077,516404.371,42738.543,3498.938,1130328.1800000002
2002,8,21830.788,313723.65200000006,335790.561,18224.527000000002,2704.699,692274.2270000001
2002,9,1974.8600000000001,426634.114,492663.119,76289.692,2490.042,1000051.827
2002,10,2940.824,268173.081,2519212.722,845239.9940000001,729.84,3636296.461
2002,11,12299.943,2279546.318,6359263.196,1417970.8,1116.2259999999999,10070196.483000001
2002,12,117826.147,12575542.253999999,6497245.792,881388.515,4228.776,20076231.484
2003,1,1160315.994,11773792.111,2823598.723,648698.511,9423.517,16415828.856000002
2003,2,960597.564,3529503.771,2271281.96,591985.692,13673.757,7367042.744
2003,3,158954.75,1053695.033,1289003.867,275085.089,7384.26,2784122.9990000003
2003,4,6632.9529999999995,323597.95,649278.088,212941.40300000002,23505.125,1215955.5189999999
2003,5,4357.571,169430.091,227666.988,57421.196,4421.969,463297.815
2003,6,32241.734,455484.24,302625.798,11505.707999999999,236.125,802093.605
2003,7,165544.769,771311.543,762124.156,26510.344,1846.064,1727336.876
2003,8,12106.749,162539.54499999998,375266.293,35032.295,1395.283,586340.1650000002
2003,9,601.045,65835.814,286998.647,37264.746,3134.0170000000003,393834.269
2003,10,2575.9049999999997,430133.05,3087306.905,526214.275,26553.278000000002,4072783.4129999997
2003,11,2490.04,1652292.207,7228587.896,1387424.869,2039.2579999999998,10272834.269999998
2003,12,360562.176,14347614.003999999,6116076.388,1196228.39,2275.382,22022756.34
2004,1,533963.451,7654234.58,3674655.966,515481.34,2447.109,12380782.446
2004,2,1328179.074,4351045.446,2610871.978,463684.199,9917.234,8763697.931
2004,3,180592.343,1689256.4309999999,1231239.22,190681.302,2404.178,3294173.474
2004,4,15863.276,435928.83400000003,673513.053,211159.736,10840.264000000001,1347305.163
2004,5,16872.171,336005.221,400617.482,67638.949,16442.855,837576.6780000001
2004,6,278347.903,1551767.553,879563.915,70622.702,3413.073,2783715.146
2004,7,70901.762,483561.591,473708.761,91358.728,4507.834000000001,1124038.6760000002
2004,8,1910.463,68969.833,155606.07200000001,6461.228,1996.326,234943.92200000002
2004,9,515.181,37393.542,201671.826,60147.358,25072.133,324800.04000000004
2004,10,3649.198,612592.92,3399978.7290000003,535508.992,6074.84,4557804.679
2004,11,5795.784,2740654.608,7707469.93,1239460.648,3799.4580000000005,11697180.428000001
2004,12,337164.378,14234660.604,4969627.34,805120.285,3155.481,20349728.088
2005,1,1232913.5559999999,9698772.577,3442888.998,617508.606,4164.379,14996248.116
2005,2,1094973.895,2792172.701,2036316.574,446683.238,9659.639,6379806.047
2005,3,92281.764,1208700.059,1304223.17,267099.791,10496.808,2882801.592
2005,4,13137.111,413690.19500000007,648183.335,160886.67599999998,16185.264,1252082.581
2005,5,5988.978,110828.274,387587.7,66243.668,5624.058,576272.6780000001
2005,6,300865.597,916356.412,372282.539,4765.424,150.261,1594420.233
2005,7,128129.762,738576.0989999999,644469.7359999999,57356.799,4980.084,1573512.4799999997
2005,8,3735.061,102864.437,149316.574,9552.309,1738.736,267207.11699999997
2005,9,429.31899999999996,37436.474,208240.377,24857.477,1202.0900000000001,272165.737
2005,10,4357.572,106685.36099999999,3009536.066,374300.32899999997,1245.023,3496124.3510000003
2005,11,56304.972,5906462.192,9674258.56,1727637.399,5946.046,17370609.169
2005,12,551586.928,17658230.325,5577433.375,1031370.532,7792.115,24826413.275
2006,1,1350439.18,6431087.991,3630221.6210000003,422190.68,5988.98,11839928.452
2006,2,645650.36,2114323.532,1974366.079,292472.445,14553.86,5041366.276000001
2006,3,82772.385,1150742.213,1135222.395,210365.501,6010.445,2585112.939
2006,4,18245.987,556652.873,652970.218,108917.81,21723.457000000002,1358510.345
2006,5,42.932,17602.01,147191.45,31254.305,1695.804,197786.50100000002
2006,6,50852.641,178982.401,158804.486,17687.875,880.1,407207.503
2006,7,169473.023,607226.456,365134.404,47589.831,1352.351,1190776.065
2006,8,71459.873,601344.809,338881.647,10453.876999999999,2962.29,1025102.496
2006,9,9638.173,160672.018,214079.095,46022.822,2082.1910000000003,432494.299
2006,10,2404.176,175612.26,1787977.95,348283.7,1588.475,2315866.561
