year,month,forest,savannas,shrublands_grasslands,croplands,other,total_burned_area
2002,1,4486.366,16528.717,11462.773000000001,1781.667,128.796,34388.319
2002,2,2812.029,8543.416000000001,14274.803,643.976,0.0,26274.224
2002,3,2339.78,26510.344999999998,12729.26,944.498,150.261,42674.14399999999
2002,4,837.169,2833.495,6375.362999999999,2618.836,279.056,12943.918999999998
2002,5,257.591,1996.326,193.19299999999998,114005.22200000001,4464.901,120917.23300000001
2002,6,0.0,729.8389999999999,107.33,259908.722,12085.283,272831.174
2002,7,0.0,0.0,0.0,150.261,0.0,150.261
2002,8,0.0,0.0,0.0,150.261,21.466,171.727
2002,9,279.057,686.9069999999999,214.659,84038.86899999999,2833.4950000000003,88052.987
2002,10,901.567,3305.743,1846.0639999999999,20285.246,1245.021,27583.641
2002,11,965.9639999999999,5645.523,3305.7439999999997,10325.082,171.727,20414.04
2002,12,343.454,1888.998,1867.53,1631.4060000000002,21.466,5752.854
2003,1,12965.382,69163.025,48384.065,11355.443,4529.298,146397.213
2003,2,6418.294,30331.27,28356.412,5516.729,965.9639999999999,71588.669
2003,3,19555.405,10582.672999999999,21337.072,2876.426,364.92,54716.49599999999
2003,4,11570.103,16571.65,27068.458,4808.354,107.32900000000001,60125.89399999999
2003,5,7706.246000000001,2296.849,11355.444,66694.45,7040.803999999999,95093.793
2003,6,21.466,2082.189,708.374,477529.684,13459.099,493800.812
2003,7,42.932,5731.387,2575.9049999999997,3498.937,1567.0079999999998,13416.168999999998
2003,8,343.454,1524.076,1631.406,300.522,193.193,3992.651
2003,9,343.454,4894.219,1180.625,41536.454,429.31800000000004,48384.07
2003,10,1481.146,26510.345999999998,16764.843,26123.961,1051.827,71932.123
2003,11,2210.984,17709.342,13265.905999999999,18353.315,1287.953,52827.50000000001
2003,12,12815.123,85026.302,53128.021,13909.882,1395.281,166274.609
2004,1,5044.478999999999,11291.045,10346.549,12321.407,236.125,39239.604999999996
2004,2,25136.530000000002,171383.48500000002,143563.722,23912.975,20328.177,384324.889
2004,3,30524.463,37500.871,47332.239,4379.036,64.398,119801.007
2004,4,8929.801000000001,2425.6440000000002,8328.755,3885.322,257.591,23827.113
2004,5,1695.8039999999999,2897.892,880.101,272315.993,7770.644,285560.434
2004,6,0.0,1481.1449999999998,536.6469999999999,508290.273,14747.051,525055.116
